arm,split,direction,entry_time_server,entry_time_utc,exit_time_server,exit_reason,entry,sl_initial,tp,tp_binding,r_pips,hl_e,ts_bars,swap_events,swap_weighted,gross_r,cost_pips_x1,net_r_x1,net_r_x1_5,net_r_x2,feature_time_utc,decision_time_utc,execution_time_utc
control,validation,1,2022-04-14 17:00:00,2022-04-14 14:00:00,2022-04-15 03:00:00,SL,1.07707,1.07222,1.08434,TP_cap,48.5,7.28,15,1,1,0.6118,2.30,0.5644,0.5407,0.5169,2022-04-14 14:00:00,2022-04-14 14:00:00,2022-04-14 14:00:00
control,validation,-1,2022-04-20 18:00:00,2022-04-20 15:00:00,2022-04-21 08:00:00,SL,1.08642,1.08989,1.08121,TP_cap,34.7,8.39,17,1,3,0.5895,3.90,0.4771,0.4209,0.3648,2022-04-20 15:00:00,2022-04-20 15:00:00,2022-04-20 15:00:00
control,validation,-1,2022-04-21 10:00:00,2022-04-21 07:00:00,2022-04-21 17:00:00,TP,1.09022,1.09366,1.08506,TP_cap,34.4,nan,nan,0,0,1.5000,1.50,1.4564,1.4346,1.4128,2022-04-21 07:00:00,2022-04-21 07:00:00,2022-04-21 07:00:00
control,validation,1,2022-04-25 10:00:00,2022-04-25 07:00:00,2022-04-25 16:00:00,SL,1.07146,1.06763,1.07720,TP_cap,38.3,21.46,43,0,0,0.2718,1.50,0.2326,0.2130,0.1934,2022-04-25 07:00:00,2022-04-25 07:00:00,2022-04-25 07:00:00
control,validation,1,2022-04-26 11:00:00,2022-04-26 08:00:00,2022-04-26 17:00:00,SL,1.06763,1.06420,1.07278,TP_cap,34.3,63.42,127,0,0,-1.0000,1.50,-1.0437,-1.0655,-1.0874,2022-04-26 08:00:00,2022-04-26 08:00:00,2022-04-26 08:00:00
control,validation,1,2022-04-27 10:00:00,2022-04-27 07:00:00,2022-04-27 10:00:00,SL,1.06207,1.05905,1.06660,TP_cap,30.2,43.94,88,0,0,-1.0000,1.50,-1.0496,-1.0745,-1.0993,2022-04-27 07:00:00,2022-04-27 07:00:00,2022-04-27 07:00:00
control,validation,1,2022-04-27 12:00:00,2022-04-27 09:00:00,2022-04-27 15:00:00,SL,1.05882,1.05511,1.06438,TP_cap,37.1,54.82,110,0,0,-1.0000,1.50,-1.0405,-1.0607,-1.0809,2022-04-27 09:00:00,2022-04-27 09:00:00,2022-04-27 09:00:00
control,validation,1,2022-05-12 11:00:00,2022-05-12 08:00:00,2022-05-12 14:00:00,SL,1.04595,1.04192,1.05199,TP_cap,40.3,4.61,10,0,0,-1.0000,1.50,-1.0372,-1.0559,-1.0745,2022-05-12 08:00:00,2022-05-12 08:00:00,2022-05-12 08:00:00
control,validation,1,2022-05-13 13:00:00,2022-05-13 10:00:00,2022-05-16 06:00:00,SL,1.03743,1.03342,1.04344,TP_cap,40.1,39.46,79,1,1,0.3741,2.30,0.3167,0.2880,0.2593,2022-05-13 10:00:00,2022-05-13 10:00:00,2022-05-13 10:00:00
control,validation,-1,2022-05-23 10:00:00,2022-05-23 07:00:00,2022-05-23 11:00:00,SL,1.06061,1.06368,1.05601,TP_cap,30.7,8.97,18,0,0,-1.0000,1.50,-1.0489,-1.0733,-1.0978,2022-05-23 07:00:00,2022-05-23 07:00:00,2022-05-23 07:00:00
control,validation,1,2022-05-31 16:00:00,2022-05-31 13:00:00,2022-05-31 17:00:00,TP,1.06817,1.06450,1.07204,TP_mean,36.7,6.41,13,0,0,1.0534,1.50,1.0126,0.9922,0.9717,2022-05-31 13:00:00,2022-05-31 13:00:00,2022-05-31 13:00:00
control,validation,1,2022-06-01 18:00:00,2022-06-01 15:00:00,2022-06-02 18:00:00,TP,1.06675,1.06268,1.07285,TP_cap,40.7,16.71,34,1,3,1.5000,3.90,1.4041,1.3562,1.3082,2022-06-01 15:00:00,2022-06-01 15:00:00,2022-06-01 15:00:00
control,validation,1,2022-06-09 18:00:00,2022-06-09 15:00:00,2022-06-10 04:00:00,TIME_STOP,1.06489,1.06031,1.07041,TP_mean,45.8,4.56,10,1,1,-0.5500,2.30,-0.6002,-0.6253,-0.6504,2022-06-09 15:00:00,2022-06-09 15:00:00,2022-06-09 15:00:00
control,validation,1,2022-06-14 18:00:00,2022-06-14 15:00:00,2022-06-15 09:00:00,TP,1.04102,1.03633,1.04805,TP_cap,46.9,34.45,69,1,1,1.5000,2.30,1.4509,1.4264,1.4019,2022-06-14 15:00:00,2022-06-14 15:00:00,2022-06-14 15:00:00
control,validation,-1,2022-06-22 18:00:00,2022-06-22 15:00:00,2022-06-23 06:00:00,TIME_STOP,1.05971,1.06400,1.05328,TP_cap,42.9,5.90,12,1,3,0.6205,3.90,0.5295,0.4840,0.4385,2022-06-22 15:00:00,2022-06-22 15:00:00,2022-06-22 15:00:00
control,validation,-1,2022-06-23 10:00:00,2022-06-23 07:00:00,2022-06-23 10:00:00,TP,1.05781,1.06098,1.05322,TP_mean,31.7,4.91,10,0,0,1.4457,1.50,1.3985,1.3748,1.3512,2022-06-23 07:00:00,2022-06-23 07:00:00,2022-06-23 07:00:00
control,validation,-1,2022-06-27 18:00:00,2022-06-27 15:00:00,2022-06-28 04:00:00,TIME_STOP,1.05969,1.06327,1.05472,TP_mean,35.8,4.61,10,1,1,0.5779,2.30,0.5137,0.4816,0.4495,2022-06-27 15:00:00,2022-06-27 15:00:00,2022-06-27 15:00:00
control,validation,1,2022-06-29 10:00:00,2022-06-29 07:00:00,2022-06-29 16:00:00,SL,1.04907,1.04601,1.05366,TP_cap,30.6,7.28,15,0,0,0.3527,1.50,0.3036,0.2791,0.2546,2022-06-29 07:00:00,2022-06-29 07:00:00,2022-06-29 07:00:00
control,validation,1,2022-06-30 10:00:00,2022-06-30 07:00:00,2022-06-30 13:00:00,SL,1.04407,1.04103,1.04863,TP_cap,30.4,56.32,113,0,0,-1.0000,1.50,-1.0493,-1.0740,-1.0987,2022-06-30 07:00:00,2022-06-30 07:00:00,2022-06-30 07:00:00
control,validation,1,2022-07-01 17:00:00,2022-07-01 14:00:00,2022-07-04 14:00:00,TP,1.04001,1.03591,1.04615,TP_cap,41.0,27.62,56,1,1,1.5000,2.30,1.4438,1.4158,1.3877,2022-07-01 14:00:00,2022-07-01 14:00:00,2022-07-01 14:00:00
control,validation,1,2022-07-05 11:00:00,2022-07-05 08:00:00,2022-07-05 11:00:00,SL,1.03747,1.03429,1.04224,TP_cap,31.8,7.38,15,0,0,-1.0000,1.50,-1.0472,-1.0708,-1.0944,2022-07-05 08:00:00,2022-07-05 08:00:00,2022-07-05 08:00:00
control,validation,1,2022-07-07 10:00:00,2022-07-07 07:00:00,2022-07-07 16:00:00,SL,1.02005,1.01662,1.02519,TP_cap,34.3,27.78,56,0,0,-1.0000,1.50,-1.0438,-1.0656,-1.0875,2022-07-07 07:00:00,2022-07-07 07:00:00,2022-07-07 07:00:00
control,validation,1,2022-07-08 11:00:00,2022-07-08 08:00:00,2022-07-08 15:00:00,SL,1.01085,1.00651,1.01736,TP_cap,43.4,22.48,45,0,0,0.3303,1.50,0.2958,0.2785,0.2612,2022-07-08 08:00:00,2022-07-08 08:00:00,2022-07-08 08:00:00
control,validation,1,2022-07-11 11:00:00,2022-07-11 08:00:00,2022-07-11 16:00:00,SL,1.01109,1.00728,1.01680,TP_cap,38.1,8.64,18,0,0,-1.0000,1.50,-1.0394,-1.0591,-1.0788,2022-07-11 08:00:00,2022-07-11 08:00:00,2022-07-11 08:00:00
control,validation,1,2022-07-13 10:00:00,2022-07-13 07:00:00,2022-07-13 15:00:00,SL,1.00334,1.00003,1.00831,TP_cap,33.1,9.19,19,0,0,0.3332,1.50,0.2879,0.2653,0.2426,2022-07-13 07:00:00,2022-07-13 07:00:00,2022-07-13 07:00:00
control,validation,1,2022-07-14 10:00:00,2022-07-14 07:00:00,2022-07-14 13:00:00,SL,1.00069,0.99649,1.00699,TP_cap,42.0,7.17,15,0,0,0.2794,1.50,0.2437,0.2259,0.2080,2022-07-14 07:00:00,2022-07-14 07:00:00,2022-07-14 07:00:00
control,validation,1,2022-07-14 16:00:00,2022-07-14 13:00:00,2022-07-14 16:00:00,SL,1.00021,0.99565,1.00631,TP_mean,45.6,5.75,12,0,0,-1.0000,1.50,-1.0329,-1.0493,-1.0658,2022-07-14 13:00:00,2022-07-14 13:00:00,2022-07-14 13:00:00
control,validation,-1,2022-07-18 18:00:00,2022-07-18 15:00:00,2022-07-19 08:00:00,SL,1.01940,1.02449,1.01177,TP_cap,50.9,35.53,72,1,1,0.9423,2.30,0.8971,0.8745,0.8518,2022-07-18 15:00:00,2022-07-18 15:00:00,2022-07-18 15:00:00
control,validation,-1,2022-07-19 11:00:00,2022-07-19 08:00:00,2022-07-20 15:00:00,SL,1.02415,1.02893,1.01697,TP_cap,47.8,31.37,63,1,1,0.4409,2.30,0.3928,0.3688,0.3447,2022-07-19 08:00:00,2022-07-19 08:00:00,2022-07-19 08:00:00
control,validation,-1,2022-07-21 16:00:00,2022-07-21 13:00:00,2022-07-21 16:00:00,TP,1.02649,1.03162,1.01879,TP_cap,51.3,7.15,15,0,0,1.5000,1.50,1.4708,1.4562,1.4416,2022-07-21 13:00:00,2022-07-21 13:00:00,2022-07-21 13:00:00
control,validation,1,2022-07-26 15:00:00,2022-07-26 12:00:00,2022-07-27 01:00:00,TIME_STOP,1.01315,1.00890,1.01952,TP_cap,42.5,4.74,10,1,1,-0.3273,2.30,-0.3815,-0.4086,-0.4357,2022-07-26 12:00:00,2022-07-26 12:00:00,2022-07-26 12:00:00
control,validation,-1,2022-08-10 15:00:00,2022-08-10 12:00:00,2022-08-10 15:00:00,SL,1.02589,1.02854,1.02192,TP_cap,26.5,5.60,12,0,0,-1.0000,1.50,-1.0566,-1.0849,-1.1133,2022-08-10 12:00:00,2022-08-10 12:00:00,2022-08-10 12:00:00
control,validation,-1,2022-08-11 10:00:00,2022-08-11 07:00:00,2022-08-11 15:00:00,SL,1.03119,1.03442,1.02635,TP_cap,32.3,14.99,30,0,0,-1.0000,1.50,-1.0465,-1.0697,-1.0930,2022-08-11 07:00:00,2022-08-11 07:00:00,2022-08-11 07:00:00
control,validation,1,2022-08-19 10:00:00,2022-08-19 07:00:00,2022-08-19 14:00:00,SL,1.00806,1.00524,1.01229,TP_cap,28.2,10.71,22,0,0,-1.0000,1.50,-1.0532,-1.0799,-1.1065,2022-08-19 07:00:00,2022-08-19 07:00:00,2022-08-19 07:00:00
control,validation,1,2022-08-24 14:00:00,2022-08-24 11:00:00,2022-08-24 17:00:00,TP,0.99218,0.98875,0.99732,TP_cap,34.3,9.11,19,0,0,1.5000,1.50,1.4562,1.4344,1.4125,2022-08-24 11:00:00,2022-08-24 11:00:00,2022-08-24 11:00:00
control,validation,-1,2022-08-31 18:00:00,2022-08-31 15:00:00,2022-09-01 05:00:00,TIME_STOP,1.00543,1.01047,0.99955,TP_mean,50.4,5.44,11,1,3,0.5993,3.90,0.5219,0.4832,0.4445,2022-08-31 15:00:00,2022-08-31 15:00:00,2022-08-31 15:00:00
control,validation,1,2022-09-01 18:00:00,2022-09-01 15:00:00,2022-09-02 10:00:00,TIME_STOP,0.99319,0.98848,0.99967,TP_mean,47.1,7.74,16,1,1,0.9003,2.30,0.8514,0.8270,0.8026,2022-09-01 15:00:00,2022-09-01 15:00:00,2022-09-01 15:00:00
control,validation,1,2022-09-07 15:00:00,2022-09-07 12:00:00,2022-09-07 17:00:00,TP,0.98785,0.98404,0.99340,TP_mean,38.1,5.17,11,0,0,1.4574,1.50,1.4180,1.3983,1.3786,2022-09-07 12:00:00,2022-09-07 12:00:00,2022-09-07 12:00:00
control,validation,-1,2022-09-09 11:00:00,2022-09-09 08:00:00,2022-09-09 18:00:00,TP,1.00964,1.01384,1.00335,TP_cap,42.0,216.09,433,0,0,1.5000,1.50,1.4643,1.4464,1.4285,2022-09-09 08:00:00,2022-09-09 08:00:00,2022-09-09 08:00:00
control,validation,-1,2022-09-12 10:00:00,2022-09-12 07:00:00,2022-09-12 10:00:00,SL,1.01441,1.01884,1.00777,TP_cap,44.3,54.66,110,0,0,-1.0000,1.50,-1.0339,-1.0508,-1.0678,2022-09-12 07:00:00,2022-09-12 07:00:00,2022-09-12 07:00:00
control,validation,-1,2022-09-13 12:00:00,2022-09-13 09:00:00,2022-09-13 15:00:00,TP,1.01548,1.01904,1.01014,TP_cap,35.6,9.62,20,0,0,1.5000,1.50,1.4578,1.4368,1.4157,2022-09-13 09:00:00,2022-09-13 09:00:00,2022-09-13 09:00:00
control,validation,1,2022-09-21 10:00:00,2022-09-21 07:00:00,2022-09-21 14:00:00,SL,0.98976,0.98606,0.99531,TP_cap,37.0,10.91,22,0,0,0.2551,1.50,0.2145,0.1943,0.1740,2022-09-21 07:00:00,2022-09-21 07:00:00,2022-09-21 07:00:00
control,validation,1,2022-09-22 10:00:00,2022-09-22 07:00:00,2022-09-22 11:00:00,TP,0.98205,0.97768,0.98860,TP_cap,43.7,37.22,75,0,0,1.5000,1.50,1.4657,1.4485,1.4313,2022-09-22 07:00:00,2022-09-22 07:00:00,2022-09-22 07:00:00
control,validation,1,2022-09-22 17:00:00,2022-09-22 14:00:00,2022-09-23 10:00:00,SL,0.98383,0.97828,0.99216,TP_cap,55.5,22.19,45,1,1,-1.0000,2.30,-1.0414,-1.0622,-1.0829,2022-09-22 14:00:00,2022-09-22 14:00:00,2022-09-22 14:00:00
control,validation,-1,2022-10-04 16:00:00,2022-10-04 13:00:00,2022-10-04 18:00:00,SL,0.99242,0.99765,0.98458,TP_cap,52.3,7.82,16,0,0,-1.0000,1.50,-1.0287,-1.0430,-1.0574,2022-10-04 13:00:00,2022-10-04 13:00:00,2022-10-04 13:00:00
control,validation,-1,2022-10-18 10:00:00,2022-10-18 07:00:00,2022-10-18 15:00:00,SL,0.98626,0.99002,0.98061,TP_cap,37.6,12.82,26,0,0,0.4272,1.50,0.3873,0.3674,0.3475,2022-10-18 07:00:00,2022-10-18 07:00:00,2022-10-18 07:00:00
control,validation,-1,2022-10-25 17:00:00,2022-10-25 14:00:00,2022-10-26 10:00:00,SL,0.99678,1.00164,0.98950,TP_cap,48.6,18.38,37,1,1,-1.0000,2.30,-1.0474,-1.0711,-1.0947,2022-10-25 14:00:00,2022-10-25 14:00:00,2022-10-25 14:00:00
control,validation,-1,2022-10-27 11:00:00,2022-10-27 08:00:00,2022-10-27 15:00:00,TP,1.00664,1.01014,1.00139,TP_cap,35.0,18.54,38,0,0,1.5000,1.50,1.4571,1.4357,1.4143,2022-10-27 08:00:00,2022-10-27 08:00:00,2022-10-27 08:00:00
control,validation,1,2022-11-03 09:00:00,2022-11-03 07:00:00,2022-11-03 10:00:00,SL,0.98117,0.97713,0.98723,TP_cap,40.4,7.70,16,0,0,-1.0000,1.50,-1.0371,-1.0557,-1.0742,2022-11-03 07:00:00,2022-11-03 07:00:00,2022-11-03 07:00:00
control,validation,-1,2022-11-04 17:00:00,2022-11-04 15:00:00,2022-11-07 10:00:00,SL,0.99292,0.99896,0.98547,TP_mean,60.4,nan,nan,1,1,-1.0000,2.30,-1.0381,-1.0571,-1.0762,2022-11-04 15:00:00,2022-11-04 15:00:00,2022-11-04 15:00:00
control,validation,-1,2022-11-10 16:00:00,2022-11-10 14:00:00,2022-11-10 22:00:00,SL,1.01228,1.01910,1.00204,TP_cap,68.2,6.30,13,0,0,-1.0000,1.50,-1.0220,-1.0330,-1.0440,2022-11-10 14:00:00,2022-11-10 14:00:00,2022-11-10 14:00:00
control,validation,-1,2022-11-14 15:00:00,2022-11-14 13:00:00,2022-11-15 09:00:00,SL,1.03341,1.03891,1.02517,TP_cap,55.0,12.87,26,1,1,-1.0000,2.30,-1.0418,-1.0628,-1.0837,2022-11-14 13:00:00,2022-11-14 13:00:00,2022-11-14 13:00:00
control,validation,-1,2022-11-16 12:00:00,2022-11-16 10:00:00,2022-11-16 22:00:00,SL,1.04204,1.04834,1.03258,TP_cap,63.0,7.46,15,0,0,0.2809,1.50,0.2571,0.2452,0.2333,2022-11-16 10:00:00,2022-11-16 10:00:00,2022-11-16 10:00:00
control,validation,-1,2022-12-01 16:00:00,2022-12-01 14:00:00,2022-12-02 10:00:00,TIME_STOP,1.04895,1.05510,1.03972,TP_cap,61.5,8.97,18,1,1,-0.6519,2.30,-0.6893,-0.7080,-0.7266,2022-12-01 14:00:00,2022-12-01 14:00:00,2022-12-01 14:00:00
control,validation,-1,2022-12-13 16:00:00,2022-12-13 14:00:00,2022-12-14 01:00:00,TIME_STOP,1.06465,1.06943,1.05748,TP_cap,47.8,4.17,9,1,1,0.2722,2.30,0.2240,0.1999,0.1759,2022-12-13 14:00:00,2022-12-13 14:00:00,2022-12-13 14:00:00
control,validation,-1,2022-12-15 17:00:00,2022-12-15 15:00:00,2022-12-15 17:00:00,TP,1.06990,1.07476,1.06260,TP_cap,48.6,9.25,19,0,0,1.5000,1.50,1.4692,1.4537,1.4383,2022-12-15 15:00:00,2022-12-15 15:00:00,2022-12-15 15:00:00
control,validation,-1,2022-12-27 09:00:00,2022-12-27 07:00:00,2022-12-27 11:00:00,SL,1.06639,1.06858,1.06311,TP_cap,21.9,4.44,9,0,0,0.1928,1.50,0.1242,0.0900,0.0557,2022-12-27 07:00:00,2022-12-27 07:00:00,2022-12-27 07:00:00
control,validation,-1,2022-12-30 11:00:00,2022-12-30 09:00:00,2022-12-30 16:00:00,SL,1.06713,1.06987,1.06433,TP_mean,27.4,3.25,7,0,0,-1.0000,1.50,-1.0548,-1.0821,-1.1095,2022-12-30 09:00:00,2022-12-30 09:00:00,2022-12-30 09:00:00
challenger,train,-1,2015-02-03 17:00:00,2015-02-03 15:00:00,2015-02-03 18:00:00,SL,1.14364,1.14870,1.13605,TP_cap,50.6,4.14,9,0,0,-1.0000,1.50,-1.0296,-1.0444,-1.0593,2015-02-03 15:00:00,2015-02-03 15:00:00,2015-02-03 15:00:00
challenger,train,1,2015-02-23 15:00:00,2015-02-23 13:00:00,2015-02-23 19:00:00,SL,1.13032,1.12603,1.13675,TP_cap,42.9,7.59,16,0,0,0.5791,1.50,0.5441,0.5266,0.5091,2015-02-23 13:00:00,2015-02-23 13:00:00,2015-02-23 13:00:00
challenger,train,1,2015-03-04 17:00:00,2015-03-04 15:00:00,2015-03-05 05:00:00,TIME_STOP,1.10953,1.10583,1.11507,TP_cap,37.0,5.51,12,1,3,-0.6007,3.90,-0.7062,-0.7590,-0.8117,2015-03-04 15:00:00,2015-03-04 15:00:00,2015-03-04 15:00:00
challenger,train,1,2015-06-12 12:00:00,2015-06-12 09:00:00,2015-06-12 17:00:00,TP,1.11668,1.11111,1.12504,TP_cap,55.7,11.52,24,0,0,1.5000,1.50,1.4731,1.4596,1.4462,2015-06-12 09:00:00,2015-06-12 09:00:00,2015-06-12 09:00:00
challenger,train,-1,2015-08-12 10:00:00,2015-08-12 07:00:00,2015-08-12 10:00:00,SL,1.10741,1.11117,1.10177,TP_cap,37.6,10.21,21,0,0,-1.0000,1.50,-1.0399,-1.0598,-1.0798,2015-08-12 07:00:00,2015-08-12 07:00:00,2015-08-12 07:00:00
challenger,train,1,2016-01-22 15:00:00,2016-01-22 13:00:00,2016-01-25 05:00:00,TIME_STOP,1.08179,1.07761,1.08802,TP_mean,41.8,6.63,14,1,1,-0.1867,2.30,-0.2418,-0.2693,-0.2968,2016-01-22 13:00:00,2016-01-22 13:00:00,2016-01-22 13:00:00
challenger,train,1,2016-04-13 12:00:00,2016-04-13 09:00:00,2016-04-13 13:00:00,SL,1.13374,1.13054,1.13855,TP_cap,32.0,5.26,11,0,0,-1.0000,1.50,-1.0468,-1.0702,-1.0936,2016-04-13 09:00:00,2016-04-13 09:00:00,2016-04-13 09:00:00
challenger,train,-1,2016-07-14 15:00:00,2016-07-14 12:00:00,2016-07-14 20:00:00,SL,1.11514,1.11879,1.10966,TP_cap,36.5,20.63,42,0,0,0.6147,1.50,0.5737,0.5532,0.5326,2016-07-14 12:00:00,2016-07-14 12:00:00,2016-07-14 12:00:00
challenger,train,1,2016-10-21 10:00:00,2016-10-21 07:00:00,2016-10-21 10:00:00,SL,1.09076,1.08821,1.09459,TP_cap,25.5,9.83,20,0,0,-1.0000,1.50,-1.0588,-1.0882,-1.1175,2016-10-21 07:00:00,2016-10-21 07:00:00,2016-10-21 07:00:00
challenger,train,1,2016-10-25 17:00:00,2016-10-25 14:00:00,2016-10-25 18:00:00,TP,1.08541,1.08318,1.08875,TP_cap,22.3,9.86,20,0,0,1.5000,1.50,1.4327,1.3991,1.3655,2016-10-25 14:00:00,2016-10-25 14:00:00,2016-10-25 14:00:00
challenger,train,1,2016-11-15 16:00:00,2016-11-15 14:00:00,2016-11-16 02:00:00,TIME_STOP,1.07338,1.06897,1.08000,TP_cap,44.1,4.91,10,1,1,-0.2243,2.30,-0.2764,-0.3024,-0.3285,2016-11-15 14:00:00,2016-11-15 14:00:00,2016-11-15 14:00:00
challenger,train,1,2016-11-16 10:00:00,2016-11-16 08:00:00,2016-11-16 18:00:00,SL,1.07051,1.06660,1.07638,TP_cap,39.1,6.52,14,0,0,-1.0000,1.50,-1.0383,-1.0575,-1.0767,2016-11-16 08:00:00,2016-11-16 08:00:00,2016-11-16 08:00:00
challenger,train,1,2017-03-01 14:00:00,2017-03-01 12:00:00,2017-03-01 21:00:00,SL,1.05349,1.05043,1.05746,TP_mean,30.6,7.62,16,0,0,0.3946,1.50,0.3456,0.3211,0.2966,2017-03-01 12:00:00,2017-03-01 12:00:00,2017-03-01 12:00:00
challenger,train,-1,2017-03-21 11:00:00,2017-03-21 09:00:00,2017-03-22 03:00:00,TIME_STOP,1.07954,1.08217,1.07559,TP_cap,26.3,7.69,16,1,1,-0.1405,2.30,-0.2278,-0.2715,-0.3151,2017-03-21 09:00:00,2017-03-21 09:00:00,2017-03-21 09:00:00
challenger,train,-1,2017-05-04 18:00:00,2017-05-04 15:00:00,2017-05-04 19:00:00,SL,1.09448,1.09722,1.09117,TP_mean,27.4,5.10,11,0,0,-1.0000,1.50,-1.0547,-1.0821,-1.1094,2017-05-04 15:00:00,2017-05-04 15:00:00,2017-05-04 15:00:00
challenger,train,-1,2017-06-02 17:00:00,2017-06-02 14:00:00,2017-06-05 20:00:00,SL,1.12758,1.13059,1.12307,TP_cap,30.1,27.65,56,1,1,0.6458,2.30,0.5693,0.5311,0.4928,2017-06-02 14:00:00,2017-06-02 14:00:00,2017-06-02 14:00:00
challenger,train,-1,2017-08-21 18:00:00,2017-08-21 15:00:00,2017-08-22 11:00:00,TP,1.18147,1.18439,1.17709,TP_cap,29.2,19.27,39,1,1,1.5000,2.30,1.4212,1.3818,1.3424,2017-08-21 15:00:00,2017-08-21 15:00:00,2017-08-21 15:00:00
challenger,train,-1,2017-09-07 13:00:00,2017-09-07 10:00:00,2017-09-07 15:00:00,SL,1.19801,1.20095,1.19360,TP_cap,29.4,22.82,46,0,0,-1.0000,1.50,-1.0510,-1.0765,-1.1020,2017-09-07 10:00:00,2017-09-07 10:00:00,2017-09-07 10:00:00
challenger,train,1,2017-10-05 18:00:00,2017-10-05 15:00:00,2017-10-06 07:00:00,SL,1.17143,1.16870,1.17541,TP_mean,27.3,7.36,15,1,1,-1.0000,2.30,-1.0842,-1.1264,-1.1685,2017-10-05 15:00:00,2017-10-05 15:00:00,2017-10-05 15:00:00
challenger,train,-1,2017-11-09 14:00:00,2017-11-09 12:00:00,2017-11-09 15:00:00,TP,1.16399,1.16643,1.16046,TP_mean,24.4,9.11,19,0,0,1.4467,1.50,1.3851,1.3544,1.3236,2017-11-09 12:00:00,2017-11-09 12:00:00,2017-11-09 12:00:00
challenger,train,1,2017-12-06 16:00:00,2017-12-06 14:00:00,2017-12-07 08:00:00,TIME_STOP,1.18078,1.17795,1.18503,TP_cap,28.3,7.52,16,1,3,-0.5476,3.90,-0.6853,-0.7542,-0.8231,2017-12-06 14:00:00,2017-12-06 14:00:00,2017-12-06 14:00:00
challenger,train,1,2018-04-03 17:00:00,2018-04-03 14:00:00,2018-04-04 07:00:00,TIME_STOP,1.22580,1.22259,1.23062,TP_cap,32.1,6.77,14,1,1,0.7568,2.30,0.6852,0.6493,0.6135,2018-04-03 14:00:00,2018-04-03 14:00:00,2018-04-03 14:00:00
challenger,train,1,2018-04-06 11:00:00,2018-04-06 08:00:00,2018-04-06 16:00:00,TP,1.22270,1.22020,1.22645,TP_cap,25.0,4.08,9,0,0,1.5000,1.50,1.4400,1.4100,1.3800,2018-04-06 08:00:00,2018-04-06 08:00:00,2018-04-06 08:00:00
challenger,train,-1,2018-04-09 16:00:00,2018-04-09 13:00:00,2018-04-10 14:00:00,SL,1.23132,1.23424,1.22736,TP_mean,29.2,12.93,26,1,1,-1.0000,2.30,-1.0788,-1.1182,-1.1575,2018-04-09 13:00:00,2018-04-09 13:00:00,2018-04-09 13:00:00
challenger,train,-1,2018-04-18 16:00:00,2018-04-18 13:00:00,2018-04-19 06:00:00,SL,1.23915,1.24189,1.23565,TP_mean,27.4,8.67,18,1,3,0.3504,3.90,0.2081,0.1370,0.0659,2018-04-18 13:00:00,2018-04-18 13:00:00,2018-04-18 13:00:00
challenger,train,1,2018-04-20 11:00:00,2018-04-20 08:00:00,2018-04-20 12:00:00,SL,1.23250,1.22992,1.23633,TP_mean,25.8,13.67,28,0,0,-1.0000,1.50,-1.0582,-1.0873,-1.1164,2018-04-20 08:00:00,2018-04-20 08:00:00,2018-04-20 08:00:00
challenger,train,-1,2018-09-20 14:00:00,2018-09-20 11:00:00,2018-09-20 14:00:00,SL,1.17203,1.17484,1.16782,TP_cap,28.1,6.30,13,0,0,-1.0000,1.50,-1.0534,-1.0801,-1.1069,2018-09-20 11:00:00,2018-09-20 11:00:00,2018-09-20 11:00:00
challenger,train,1,2018-10-09 14:00:00,2018-10-09 11:00:00,2018-10-09 20:00:00,TP,1.14486,1.14202,1.14911,TP_cap,28.4,12.12,25,0,0,1.5000,1.50,1.4471,1.4207,1.3942,2018-10-09 11:00:00,2018-10-09 11:00:00,2018-10-09 11:00:00
challenger,train,1,2018-10-24 12:00:00,2018-10-24 09:00:00,2018-10-24 15:00:00,SL,1.14157,1.13861,1.14601,TP_cap,29.6,14.08,29,0,0,-1.0000,1.50,-1.0507,-1.0761,-1.1014,2018-10-24 09:00:00,2018-10-24 09:00:00,2018-10-24 09:00:00
challenger,train,1,2018-11-27 17:00:00,2018-11-27 15:00:00,2018-11-28 19:00:00,TP,1.12967,1.12666,1.13418,TP_cap,30.1,18.59,38,1,1,1.5000,2.30,1.4235,1.3853,1.3470,2018-11-27 15:00:00,2018-11-27 15:00:00,2018-11-27 15:00:00
challenger,train,1,2018-12-14 11:00:00,2018-12-14 09:00:00,2018-12-17 06:00:00,TIME_STOP,1.12872,1.12560,1.13340,TP_cap,31.2,9.20,19,1,1,0.7185,2.30,0.6447,0.6078,0.5709,2018-12-14 09:00:00,2018-12-14 09:00:00,2018-12-14 09:00:00
challenger,train,-1,2018-12-21 10:00:00,2018-12-21 08:00:00,2018-12-21 11:00:00,TP,1.14686,1.14983,1.14241,TP_cap,29.7,9.18,19,0,0,1.5000,1.50,1.4495,1.4242,1.3989,2018-12-21 08:00:00,2018-12-21 08:00:00,2018-12-21 08:00:00
challenger,train,-1,2019-01-02 09:00:00,2019-01-02 07:00:00,2019-01-02 10:00:00,TP,1.14848,1.15187,1.14340,TP_cap,33.9,11.16,23,0,0,1.5000,1.50,1.4557,1.4335,1.4114,2019-01-02 07:00:00,2019-01-02 07:00:00,2019-01-02 07:00:00
challenger,train,-1,2019-01-09 17:00:00,2019-01-09 15:00:00,2019-01-10 03:00:00,SL,1.15239,1.15588,1.14715,TP_cap,34.9,11.13,23,1,3,-1.0000,3.90,-1.1117,-1.1676,-1.2235,2019-01-09 15:00:00,2019-01-09 15:00:00,2019-01-09 15:00:00
