case_id,position_id,ts_recv_utc,seconds_before_decision,raw_i5,aligned_i5,spread_ticks
F001_PID000000152,152,2019-04-23T23:58:00.081346048+00:00,119.918653952,0.021148036253776436,-0.021148036253776436,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:00.655273728+00:00,119.344726272,0.021148036253776436,-0.021148036253776436,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:03.496564992+00:00,116.503435008,0.021148036253776436,-0.021148036253776436,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:07.018719232+00:00,112.981280768,0.02735562310030395,-0.02735562310030395,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:12.110347776+00:00,107.889652224,0.02735562310030395,-0.02735562310030395,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:12.165167360+00:00,107.83483264,0.02735562310030395,-0.02735562310030395,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:15.527013888+00:00,104.472986112,0.02735562310030395,-0.02735562310030395,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:15.644563456+00:00,104.355436544,0.02735562310030395,-0.02735562310030395,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:38.185915904+00:00,81.814084096,0.02735562310030395,-0.02735562310030395,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:38.186342144+00:00,81.813657856,0.030303030303030304,-0.030303030303030304,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:38.187403520+00:00,81.81259648,0.030303030303030304,-0.030303030303030304,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:38.190032896+00:00,81.809967104,0.030303030303030304,-0.030303030303030304,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:39.958646272+00:00,80.041353728,0.030303030303030304,-0.030303030303030304,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:40.324314112+00:00,79.675685888,0.030303030303030304,-0.030303030303030304,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.149345536+00:00,76.850654464,0.005917159763313609,-0.005917159763313609,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.149407488+00:00,76.850592512,-0.005988023952095809,0.005988023952095809,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.149476096+00:00,76.850523904,-0.01818181818181818,0.01818181818181818,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.149856768+00:00,76.850143232,-0.029940119760479042,0.029940119760479042,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.150565632+00:00,76.849434368,-0.03614457831325301,0.03614457831325301,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.150938880+00:00,76.84906112,-0.03614457831325301,0.03614457831325301,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.150982656+00:00,76.849017344,-0.03903903903903904,0.03903903903903904,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.153041152+00:00,76.846958848,-0.04216867469879518,0.04216867469879518,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.153109760+00:00,76.84689024,-0.045317220543806644,0.045317220543806644,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.153223168+00:00,76.846776832,-0.05105105105105105,0.05105105105105105,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.158104064+00:00,76.841895936,-0.03951367781155015,0.03951367781155015,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.162330880+00:00,76.83766912,-0.03951367781155015,0.03951367781155015,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.162348800+00:00,76.8376512,-0.045871559633027525,0.045871559633027525,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.162687488+00:00,76.837312512,-0.04878048780487805,0.04878048780487805,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.163050752+00:00,76.836949248,-0.05167173252279635,0.05167173252279635,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.164138496+00:00,76.835861504,-0.048484848484848485,0.048484848484848485,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.164346112+00:00,76.835653888,-0.045317220543806644,0.045317220543806644,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.181703680+00:00,76.81829632,-0.04819277108433735,0.04819277108433735,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.190725888+00:00,76.809274112,-0.04242424242424243,0.04242424242424243,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.228421632+00:00,76.771578368,-0.045317220543806644,0.045317220543806644,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.305391872+00:00,76.694608128,-0.04242424242424243,0.04242424242424243,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.326709504+00:00,76.673290496,-0.03067484662576687,0.03067484662576687,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.689709056+00:00,76.310290944,-0.027522935779816515,0.027522935779816515,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:43.698074112+00:00,76.301925888,-0.024390243902439025,0.024390243902439025,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:44.084981760+00:00,75.91501824,-0.01818181818181818,0.01818181818181818,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:44.340068096+00:00,75.659931904,-0.015197568389057751,0.015197568389057751,0.9999999999976694
F001_PID000000152,152,2019-04-23T23:58:44.341086976+00:00,75.658913024,-0.012195121951219513,0.012195121951219513,0.9999999999976694
