symbol,engine,decision_time_utc,direction,decision_close,atr14,initial_risk_price,asian_high,asian_low,volume_ratio
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-04 10:45:00+00:00,-1,1.09101,0.0006694802207557997,0.002606948022075617,1.09046,1.0827,1.3022367268964419
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2016-01-04 11:00:00+00:00,-1,1.08999,0.0006605860222305036,0.0008121172044461833,1.09046,1.0827,1.4124872057318323
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-04 11:00:00+00:00,-1,1.08999,0.0006605860222305036,0.0036260586022229813,1.09046,1.0827,1.4124872057318323
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-04 15:55:00+00:00,-1,1.08012,0.0009297561363570224,0.005532975613635749,1.09046,1.0827,1.1404444856864473
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2016-01-05 08:00:00+00:00,1,1.08166,0.0004884526339081401,0.0010276905267816439,1.08386,1.08147,1.7731594074729162
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-05 13:05:00+00:00,-1,1.07469,0.0004908499548791341,0.0018090849954879307,1.08386,1.08147,1.241576819407008
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-06 11:00:00+00:00,1,1.07395,0.0005034235821846452,0.0015003423582184983,1.07729,1.07389,1.1437319884726225
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-06 11:50:00+00:00,1,1.0749,0.00047953134978759055,0.0024479531349788086,1.07729,1.07389,1.037813966326249
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2016-01-06 13:30:00+00:00,1,1.07484,0.0007894812618104685,0.0016278962523621487,1.07729,1.07389,1.6307318554509564
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2016-01-08 07:50:00+00:00,1,1.08779,0.0006415587713024014,0.0013983117542606394,1.09272,1.08713,1.9166086177729127
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-08 10:15:00+00:00,-1,1.08603,0.0006082577201492466,0.0022808257720148273,1.09272,1.08713,1.0025461489497136
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2016-01-08 11:20:00+00:00,1,1.0872600000000001,0.0005597963748228615,0.00041195927496473495,1.09272,1.08713,1.3239683933274802
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-11 10:35:00+00:00,1,1.08973,0.0005721592746544029,0.001697215927465523,1.09455,1.09077,1.0780508840017249
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-11 11:10:00+00:00,1,1.09062,0.0005554346300106042,0.00237554346300084,1.09455,1.09077,1.2174865382860272
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-11 12:40:00+00:00,1,1.09077,0.0004866026982151205,0.0016786602698215525,1.09455,1.09077,1.3068029040064533
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-12 12:45:00+00:00,-1,1.08409,0.000543264545263456,0.0020143264545262607,1.08845,1.0841,1.5433280612669609
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2016-01-12 15:05:00+00:00,1,1.08444,0.000622448018550283,0.0010744896037100382,1.08845,1.0841,1.2834480694402874
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-13 12:25:00+00:00,-1,1.08093,0.0004207907776682457,0.0020620790777670095,1.08487,1.08109,1.2548883288433128
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-13 12:30:00+00:00,-1,1.08073,0.00041859143640622036,0.002261859143640743,1.08487,1.08109,1.071459135643988
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2016-01-14 08:25:00+00:00,1,1.08793,0.000636506714468644,0.000997301342893886,1.08967,1.08755,1.3920411559993948
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-14 12:30:00+00:00,-1,1.09043,0.000920030761040986,0.003952003076103994,1.08967,1.08755,1.3914321238838023
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2016-01-18 07:40:00+00:00,1,1.08875,0.0005783741908799746,0.0003856748381760866,1.09234,1.08867,1.4870813397129186
EURUSD,BAR_RANGE_COMPRESSION_BREAKOUT,2016-01-19 11:45:00+00:00,-1,1.08611,0.0005075234560588443,0.0014507523456059879,1.09047,1.08789,1.0996563573883162
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2016-01-19 12:35:00+00:00,1,1.08794,0.0005146395533280611,0.0008229279106655163,1.09047,1.08789,1.3219814241486068
EURUSD,ASIAN_RANGE_SWEEP_RECLAIM,2016-01-20 07:00:00+00:00,-1,1.09536,0.0004580683470396069,0.0009016136694082189,1.09602,1.09096,2.192331866750471
