symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,family,exit_reason,leg_gross_json
BASKET,-1,2018-07-25T00:00:00+00:00,2018-07-26T00:00:00+00:00,-63.500000000000206,-65.00000000000021,-66.50000000000021,candidate,flat_signal,"{""EURUSD"": -85.70000000000188, ""GBPUSD"": -79.79999999999876, ""USDJPY"": -25.0}"
BASKET,-1,2018-08-01T00:00:00+00:00,2018-08-02T00:00:00+00:00,-59.90000000000028,-61.40000000000028,-62.90000000000028,candidate,flat_signal,"{""EURUSD"": -75.3999999999988, ""GBPUSD"": -110.70000000000135, ""USDJPY"": 6.399999999999295}"
BASKET,-1,2018-08-08T00:00:00+00:00,2018-08-09T00:00:00+00:00,-50.399999999999444,-51.899999999999444,-53.399999999999444,candidate,flat_signal,"{""EURUSD"": -83.10000000000039, ""GBPUSD"": -57.99999999999805, ""USDJPY"": -10.099999999999909}"
BASKET,-1,2018-08-16T00:00:00+00:00,2018-08-17T00:00:00+00:00,47.89999999999947,46.39999999999947,44.89999999999947,candidate,friday_flat,"{""EURUSD"": 62.29999999999958, ""GBPUSD"": 41.49999999999876, ""USDJPY"": 39.90000000000009}"
BASKET,1,2018-08-21T00:00:00+00:00,2018-08-22T00:00:00+00:00,-2.866666666666795,-4.366666666666795,-5.866666666666795,candidate,flat_signal,"{""EURUSD"": -25.800000000000267, ""GBPUSD"": -10.200000000000209, ""USDJPY"": 27.40000000000009}"
BASKET,1,2018-08-29T00:00:00+00:00,2018-08-31T00:00:00+00:00,26.00609467495074,24.50609467495074,23.00609467495074,candidate,stop,"{""EURUSD"": 104.20000000000095, ""GBPUSD"": 69.40000000000168, ""USDJPY"": -95.58171597515042}"
BASKET,1,2018-09-03T00:00:00+00:00,2018-09-05T00:00:00+00:00,0.6666666666665341,-0.8333333333334659,-2.333333333333466,candidate,flat_signal,"{""EURUSD"": -10.900000000000354, ""GBPUSD"": -36.000000000000476, ""USDJPY"": 48.90000000000043}"
BASKET,1,2018-09-10T00:00:00+00:00,2018-09-12T00:00:00+00:00,-12.133333333333416,-13.633333333333416,-15.133333333333416,candidate,flat_signal,"{""EURUSD"": -32.2, ""GBPUSD"": -19.299999999999873, ""USDJPY"": 15.099999999999625}"
BASKET,1,2018-09-18T00:00:00+00:00,2018-09-19T00:00:00+00:00,-3.799999999999789,-5.299999999999788,-6.799999999999788,candidate,flat_signal,"{""EURUSD"": -6.999999999999229, ""GBPUSD"": 4.899999999998794, ""USDJPY"": -9.299999999998931}"
BASKET,1,2018-09-20T00:00:00+00:00,2018-09-21T00:00:00+00:00,68.1333333333336,66.6333333333336,65.1333333333336,candidate,friday_flat,"{""EURUSD"": 22.800000000000598, ""GBPUSD"": 178.70000000000053, ""USDJPY"": 2.899999999999636}"
BASKET,1,2018-09-24T00:00:00+00:00,2018-09-26T00:00:00+00:00,-14.766666666666802,-16.266666666666804,-17.766666666666804,candidate,rebalance,"{""EURUSD"": 9.300000000000974, ""GBPUSD"": -44.90000000000105, ""USDJPY"": -8.70000000000033}"
BASKET,-1,2018-09-26T00:00:00+00:00,2018-09-28T00:00:00+00:00,-121.54000898900324,-123.04000898900324,-124.54000898900324,candidate,stop,"{""EURUSD"": -121.04028734104766, ""GBPUSD"": -162.92840167117404, ""USDJPY"": -80.651337954788}"
BASKET,-1,2018-10-01T00:00:00+00:00,2018-10-02T00:00:00+00:00,-23.533333333332546,-25.033333333332546,-26.533333333332546,candidate,flat_signal,"{""EURUSD"": -31.799999999999606, ""GBPUSD"": -64.09999999999805, ""USDJPY"": 25.30000000000001}"
BASKET,-1,2018-10-03T00:00:00+00:00,2018-10-05T00:00:00+00:00,103.33333333333263,101.83333333333263,100.33333333333263,candidate,friday_flat,"{""EURUSD"": 46.79999999999795, ""GBPUSD"": 178.8999999999996, ""USDJPY"": 84.30000000000035}"
BASKET,-1,2018-10-08T00:00:00+00:00,2018-10-10T00:00:00+00:00,75.16666666666652,73.66666666666652,72.16666666666652,candidate,flat_signal,"{""EURUSD"": 27.500000000000302, ""GBPUSD"": 101.99999999999986, ""USDJPY"": 95.99999999999937}"
BASKET,-1,2018-10-17T00:00:00+00:00,2018-10-19T00:00:00+00:00,-7.60000000000005,-9.10000000000005,-10.60000000000005,candidate,friday_flat,"{""EURUSD"": 14.299999999998203, ""GBPUSD"": -47.59999999999875, ""USDJPY"": 10.500000000000398}"
BASKET,-1,2018-10-24T00:00:00+00:00,2018-10-26T00:00:00+00:00,-2.7333333333335346,-4.233333333333534,-5.733333333333534,candidate,friday_flat,"{""EURUSD"": 10.999999999998789, ""GBPUSD"": -55.899999999999835, ""USDJPY"": 36.70000000000044}"
BASKET,-1,2018-10-31T00:00:00+00:00,2018-11-01T00:00:00+00:00,113.6999999999985,112.1999999999985,110.6999999999985,candidate,flat_signal,"{""EURUSD"": 87.89999999999853, ""GBPUSD"": 225.39999999999782, ""USDJPY"": 27.79999999999916}"
BASKET,1,2018-11-06T00:00:00+00:00,2018-11-07T00:00:00+00:00,-5.899999999999483,-7.399999999999483,-8.899999999999483,candidate,flat_signal,"{""EURUSD"": 0.5000000000010552, ""GBPUSD"": -24.899999999998812, ""USDJPY"": 6.6999999999993065}"
BASKET,1,2018-11-12T00:00:00+00:00,2018-11-13T00:00:00+00:00,-81.5301385549695,-83.0301385549695,-84.5301385549695,candidate,stop,"{""EURUSD"": -72.40000000000136, ""GBPUSD"": -168.89041566490846, ""USDJPY"": -3.299999999998704}"
BASKET,1,2018-11-13T00:00:00+00:00,2018-11-14T00:00:00+00:00,-18.633333333333635,-20.133333333333635,-21.633333333333635,candidate,flat_signal,"{""EURUSD"": -18.199999999999328, ""GBPUSD"": -18.700000000000383, ""USDJPY"": -19.000000000001194}"
BASKET,1,2018-11-20T00:00:00+00:00,2018-11-21T00:00:00+00:00,8.500000000000085,7.000000000000085,5.500000000000085,candidate,flat_signal,"{""EURUSD"": -14.800000000001479, ""GBPUSD"": 10.600000000000609, ""USDJPY"": 29.700000000001125}"
BASKET,1,2018-11-27T00:00:00+00:00,2018-11-28T00:00:00+00:00,-56.0333333333333,-57.5333333333333,-59.0333333333333,candidate,rebalance,"{""EURUSD"": -78.49999999999912, ""GBPUSD"": -79.29999999999993, ""USDJPY"": -10.300000000000864}"
BASKET,-1,2018-11-28T00:00:00+00:00,2018-11-30T00:00:00+00:00,-35.366666666667136,-36.866666666667136,-38.366666666667136,candidate,friday_flat,"{""EURUSD"": -50.39999999999933, ""GBPUSD"": -75.80000000000142, ""USDJPY"": 20.09999999999934}"
BASKET,-1,2018-12-03T00:00:00+00:00,2018-12-04T00:00:00+00:00,23.06666666666673,21.56666666666673,20.06666666666673,candidate,flat_signal,"{""EURUSD"": -11.099999999999444, ""GBPUSD"": -7.099999999999884, ""USDJPY"": 87.39999999999952}"
BASKET,-1,2018-12-05T00:00:00+00:00,2018-12-07T00:00:00+00:00,33.6333333333337,32.1333333333337,30.6333333333337,candidate,friday_flat,"{""EURUSD"": 51.70000000000119, ""GBPUSD"": -1.2999999999996348, ""USDJPY"": 50.499999999999545}"
BASKET,-1,2018-12-10T00:00:00+00:00,2018-12-12T00:00:00+00:00,27.73333333333368,26.23333333333368,24.73333333333368,candidate,flat_signal,"{""EURUSD"": 12.799999999999478, ""GBPUSD"": 65.70000000000186, ""USDJPY"": 4.699999999999704}"
BASKET,-1,2018-12-17T00:00:00+00:00,2018-12-21T00:00:00+00:00,66.09999999999972,64.59999999999972,63.09999999999972,candidate,friday_flat,"{""EURUSD"": 19.399999999998307, ""GBPUSD"": 16.40000000000086, ""USDJPY"": 162.5}"
BASKET,-1,2018-12-24T00:00:00+00:00,2018-12-26T00:00:00+00:00,-78.91735629887769,-80.41735629887769,-81.91735629887769,candidate,stop,"{""EURUSD"": -64.4, ""GBPUSD"": -67.0000000000015, ""USDJPY"": -105.35206889663158}"
BASKET,-1,2018-12-26T00:00:00+00:00,2018-12-28T00:00:00+00:00,86.2333333333335,84.7333333333335,83.2333333333335,candidate,friday_flat,"{""EURUSD"": 87.8000000000001, ""GBPUSD"": 63.40000000000012, ""USDJPY"": 107.50000000000028}"
