family,symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,exit_reason,leg_gross_json
candidate,BASKET,-1,2018-05-10T00:00:00+00:00,2018-05-11T00:00:00+00:00,17.300000000000626,15.800000000000628,14.300000000000628,friday_flat,"{""EURUSD"": 26.800000000000157, ""GBPUSD"": 25.200000000000777, ""USDJPY"": -0.0999999999990564}"
candidate,BASKET,1,2018-05-30T00:00:00+00:00,2018-05-31T00:00:00+00:00,-16.166666666666856,-17.666666666666856,-19.166666666666856,rebalance,"{""EURUSD"": -28.399999999999537, ""GBPUSD"": -10.000000000001119, ""USDJPY"": -10.099999999999909}"
candidate,BASKET,-1,2018-05-31T00:00:00+00:00,2018-06-01T00:00:00+00:00,-16.533333333332873,-18.033333333332873,-19.533333333332873,friday_flat,"{""EURUSD"": -30.999999999998806, ""GBPUSD"": 54.09999999999915, ""USDJPY"": -72.69999999999897}"
candidate,BASKET,-1,2018-06-04T00:00:00+00:00,2018-06-05T00:00:00+00:00,31.566666666666634,30.066666666666634,28.566666666666634,flat_signal,"{""EURUSD"": 18.899999999999473, ""GBPUSD"": 71.90000000000029, ""USDJPY"": 3.900000000000148}"
candidate,BASKET,-1,2018-06-07T00:00:00+00:00,2018-06-08T00:00:00+00:00,-9.866666666666735,-11.366666666666736,-12.866666666666736,friday_flat,"{""EURUSD"": -28.600000000000847, ""GBPUSD"": -15.699999999998493, ""USDJPY"": 14.699999999999136}"
candidate,BASKET,1,2018-06-26T00:00:00+00:00,2018-06-27T00:00:00+00:00,73.80000000000011,72.30000000000011,70.80000000000011,flat_signal,"{""EURUSD"": 93.60000000000035, ""GBPUSD"": 103.2999999999995, ""USDJPY"": 24.500000000000455}"
candidate,BASKET,1,2018-06-28T00:00:00+00:00,2018-06-29T00:00:00+00:00,-73.29999999999978,-74.79999999999978,-76.29999999999978,friday_flat,"{""EURUSD"": -115.19999999999975, ""GBPUSD"": -131.7999999999997, ""USDJPY"": 27.10000000000008}"
candidate,BASKET,1,2018-07-04T00:00:00+00:00,2018-07-06T00:00:00+00:00,-48.0666666666667,-49.5666666666667,-51.0666666666667,friday_flat,"{""EURUSD"": -87.99999999999919, ""GBPUSD"": -59.40000000000056, ""USDJPY"": 3.1999999999996476}"
candidate,BASKET,-1,2018-07-09T00:00:00+00:00,2018-07-11T00:00:00+00:00,-74.24171500902004,-75.74171500902004,-77.24171500902004,stop,"{""EURUSD"": -78.19999999999938, ""GBPUSD"": -52.799999999999514, ""USDJPY"": -91.72514502706122}"
candidate,BASKET,1,2018-07-12T00:00:00+00:00,2018-07-13T00:00:00+00:00,-21.533333333333744,-23.033333333333744,-24.533333333333747,friday_flat,"{""EURUSD"": -15.100000000001224, ""GBPUSD"": -30.200000000000227, ""USDJPY"": -19.299999999999784}"
