direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,family,delta
1,2017-01-02T00:00:00+00:00,2017-01-04T00:00:00+00:00,-125.900000000001,-127.400000000001,-128.900000000001,candidate,-0.71
1,2017-01-09T00:00:00+00:00,2017-01-11T00:00:00+00:00,16.100000000001113,14.600000000001113,13.100000000001113,candidate,-0.07000000000000028
1,2017-01-20T00:00:00+00:00,2017-01-20T16:00:00+00:00,-6.599999999998829,-8.099999999998829,-9.599999999998829,candidate,0.06000000000000005
1,2017-02-13T00:00:00+00:00,2017-02-15T00:00:00+00:00,-47.20000000000057,-48.70000000000057,-50.20000000000057,candidate,0.050000000000000266
1,2017-02-27T00:00:00+00:00,2017-03-01T00:00:00+00:00,0.5999999999994898,-0.9000000000005102,-2.40000000000051,candidate,-0.06000000000000005
1,2017-03-03T00:00:00+00:00,2017-03-03T16:00:00+00:00,43.400000000000105,41.900000000000105,40.400000000000105,candidate,0.06999999999999984
1,2017-03-17T00:00:00+00:00,2017-03-17T16:00:00+00:00,-24.199999999998667,-25.699999999998667,-27.199999999998667,candidate,-0.06999999999999984
1,2017-05-15T00:00:00+00:00,2017-05-17T00:00:00+00:00,171.199999999998,169.699999999998,168.199999999998,candidate,-0.06000000000000005
1,2017-09-13T00:00:00+00:00,2017-09-15T00:00:00+00:00,-61.899999999999174,-63.399999999999174,-64.89999999999918,candidate,0.050000000000000266
1,2017-09-22T00:00:00+00:00,2017-09-22T16:00:00+00:00,3.1000000000003247,1.6000000000003247,0.10000000000032472,candidate,0.050000000000000266
1,2017-10-20T00:00:00+00:00,2017-10-20T16:00:00+00:00,-66.2000000000007,-67.7000000000007,-69.2000000000007,candidate,0.050000000000000266
1,2018-02-07T00:00:00+00:00,2018-02-09T00:00:00+00:00,-136.80000000000135,-138.30000000000135,-139.80000000000135,candidate,-0.06999999999999984
1,2018-02-12T00:00:00+00:00,2018-02-14T00:00:00+00:00,82.89999999999908,81.39999999999908,79.89999999999908,candidate,-0.08000000000000007
1,2018-02-16T00:00:00+00:00,2018-02-16T16:00:00+00:00,-73.19999999999993,-74.69999999999993,-76.19999999999993,candidate,0.06999999999999984
1,2018-03-28T00:00:00+00:00,2018-03-30T00:00:00+00:00,-113.00000000000087,-114.50000000000087,-116.00000000000087,candidate,0.050000000000000266
1,2018-05-25T00:00:00+00:00,2018-05-25T16:00:00+00:00,-56.59999999999998,-58.09999999999998,-59.59999999999998,candidate,-0.06000000000000005
1,2018-05-31T00:00:00+00:00,2018-06-01T16:00:00+00:00,2.7999999999983594,1.2999999999983594,-0.20000000000164064,candidate,-0.16000000000000014
1,2018-06-04T00:00:00+00:00,2018-06-06T00:00:00+00:00,49.10000000000192,47.60000000000192,46.10000000000192,candidate,0.07000000000000028
1,2018-09-10T00:00:00+00:00,2018-09-12T00:00:00+00:00,33.30000000000055,31.80000000000055,30.30000000000055,candidate,0.06999999999999984
1,2018-10-26T00:00:00+00:00,2018-10-26T16:00:00+00:00,28.199999999998226,26.699999999998226,25.199999999998226,candidate,-0.050000000000000266
1,2018-11-05T00:00:00+00:00,2018-11-07T00:00:00+00:00,30.599999999998406,29.099999999998406,27.599999999998406,candidate,0.07000000000000028
1,2018-12-13T00:00:00+00:00,2018-12-14T16:00:00+00:00,-67.30000000000125,-68.80000000000125,-70.30000000000125,candidate,0.05999999999999961
1,2018-12-20T00:00:00+00:00,2018-12-21T16:00:00+00:00,3.8000000000004697,2.3000000000004697,0.8000000000004697,candidate,-0.050000000000000266
1,2018-12-26T04:00:00+00:00,2018-12-28T04:00:00+00:00,51.600000000000534,50.100000000000534,48.600000000000534,candidate,-0.08000000000000007
1,2019-01-07T00:00:00+00:00,2019-01-09T00:00:00+00:00,36.70000000000062,35.20000000000062,33.70000000000062,candidate,-0.10999999999999988
1,2019-01-10T00:00:00+00:00,2019-01-11T16:00:00+00:00,-71.89999999999807,-73.39999999999807,-74.89999999999807,candidate,0.050000000000000266
1,2019-01-21T00:00:00+00:00,2019-01-23T00:00:00+00:00,-10.600000000000609,-12.100000000000609,-13.600000000000609,candidate,0.06000000000000005
1,2019-02-04T00:00:00+00:00,2019-02-06T00:00:00+00:00,-57.200000000001694,-58.700000000001694,-60.200000000001694,candidate,-0.06999999999999984
1,2019-03-22T00:00:00+00:00,2019-03-22T16:00:00+00:00,-79.29999999999993,-80.79999999999993,-82.29999999999993,candidate,-0.06000000000000005
1,2019-03-25T00:00:00+00:00,2019-03-27T00:00:00+00:00,-39.29999999999989,-40.79999999999989,-42.29999999999989,candidate,-0.10000000000000009
1,2019-04-03T00:00:00+00:00,2019-04-05T00:00:00+00:00,6.00000000000156,4.50000000000156,3.0000000000015596,candidate,0.06000000000000005
1,2019-04-29T00:00:00+00:00,2019-05-01T00:00:00+00:00,69.40000000000168,67.90000000000168,66.40000000000168,candidate,-0.050000000000000266
1,2019-05-15T00:00:00+00:00,2019-05-17T00:00:00+00:00,-28.500000000000192,-30.000000000000192,-31.500000000000192,candidate,-0.07999999999999963
1,2019-05-27T00:00:00+00:00,2019-05-29T00:00:00+00:00,-37.59999999999985,-39.09999999999985,-40.59999999999985,candidate,-0.10999999999999988
