symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,family,carry
EURUSD,-1,2018-01-03T00:00:00+00:00,2018-01-03T08:00:00+00:00,14.800000000001479,13.300000000001479,11.800000000001479,candidate,-1.8199999999999998
EURUSD,-1,2018-01-04T00:00:00+00:00,2018-01-04T08:00:00+00:00,-35.400000000000986,-36.900000000000986,-38.400000000000986,candidate,-1.8199999999999998
EURUSD,-1,2018-01-05T00:00:00+00:00,2018-01-05T08:00:00+00:00,28.000000000001357,26.500000000001357,25.000000000001357,candidate,-1.8199999999999998
EURUSD,-1,2018-01-08T00:00:00+00:00,2018-01-08T08:00:00+00:00,54.799999999999294,53.299999999999294,51.799999999999294,candidate,-1.8199999999999998
EURUSD,-1,2018-01-09T00:00:00+00:00,2018-01-09T08:00:00+00:00,28.200000000000447,26.700000000000447,25.200000000000447,candidate,-1.8199999999999998
EURUSD,-1,2018-01-10T00:00:00+00:00,2018-01-10T08:00:00+00:00,6.500000000000394,5.000000000000394,3.5000000000003944,candidate,-1.8199999999999998
EURUSD,-1,2018-01-11T00:00:00+00:00,2018-01-11T08:00:00+00:00,11.600000000000499,10.100000000000499,8.600000000000499,candidate,-1.8199999999999998
EURUSD,-1,2018-01-12T00:00:00+00:00,2018-01-12T08:00:00+00:00,-80.00000000000007,-81.50000000000007,-83.00000000000007,candidate,-1.8199999999999998
EURUSD,-1,2018-01-15T00:00:00+00:00,2018-01-15T08:00:00+00:00,-62.00000000000205,-63.50000000000205,-65.00000000000205,candidate,-1.8199999999999998
EURUSD,-1,2018-01-16T00:00:00+00:00,2018-01-16T08:00:00+00:00,32.399999999999096,30.899999999999096,29.399999999999096,candidate,-1.8199999999999998
EURUSD,-1,2018-01-17T00:00:00+00:00,2018-01-17T08:00:00+00:00,54.100000000001366,52.600000000001366,51.100000000001366,candidate,-1.8199999999999998
EURUSD,-1,2018-01-18T00:00:00+00:00,2018-01-18T08:00:00+00:00,-21.500000000000963,-23.000000000000963,-24.500000000000963,candidate,-1.8199999999999998
EURUSD,-1,2018-01-19T00:00:00+00:00,2018-01-19T08:00:00+00:00,-38.3,-39.8,-41.3,candidate,-1.8199999999999998
EURUSD,-1,2018-01-22T00:00:00+00:00,2018-01-22T08:00:00+00:00,-21.100000000000563,-22.600000000000563,-24.100000000000563,candidate,-1.8199999999999998
EURUSD,-1,2018-01-23T00:00:00+00:00,2018-01-23T08:00:00+00:00,28.600000000000847,27.100000000000847,25.600000000000847,candidate,-1.8199999999999998
EURUSD,-1,2018-01-24T00:00:00+00:00,2018-01-24T08:00:00+00:00,-30.09999999999957,-31.59999999999957,-33.09999999999957,candidate,-1.8199999999999998
EURUSD,-1,2018-01-25T00:00:00+00:00,2018-01-25T08:00:00+00:00,-21.599999999999397,-23.099999999999397,-24.599999999999397,candidate,-1.8199999999999998
EURUSD,-1,2018-01-26T00:00:00+00:00,2018-01-26T08:00:00+00:00,-25.600000000001177,-27.100000000001177,-28.600000000001177,candidate,-1.8199999999999998
EURUSD,-1,2018-01-29T00:00:00+00:00,2018-01-29T08:00:00+00:00,-15.399999999998748,-16.899999999998748,-18.399999999998748,candidate,-1.8199999999999998
EURUSD,-1,2018-01-30T00:00:00+00:00,2018-01-30T08:00:00+00:00,-12.700000000001044,-14.200000000001044,-15.700000000001044,candidate,-1.8199999999999998
EURUSD,-1,2018-01-31T00:00:00+00:00,2018-01-31T08:00:00+00:00,-37.00000000000036,-38.50000000000036,-40.00000000000036,candidate,-1.8199999999999998
EURUSD,-1,2018-02-01T00:00:00+00:00,2018-02-01T08:00:00+00:00,-27.099999999999902,-28.599999999999902,-30.099999999999902,candidate,-1.7400000000000002
EURUSD,-1,2018-02-02T00:00:00+00:00,2018-02-02T08:00:00+00:00,12.700000000001044,11.200000000001044,9.700000000001044,candidate,-1.8199999999999998
EURUSD,-1,2018-02-05T00:00:00+00:00,2018-02-05T08:00:00+00:00,-6.699999999999484,-8.199999999999484,-9.699999999999484,candidate,-1.8199999999999998
EURUSD,-1,2018-02-06T00:00:00+00:00,2018-02-06T08:00:00+00:00,-27.599999999998737,-29.099999999998737,-30.599999999998737,candidate,-1.8199999999999998
EURUSD,-1,2018-02-07T00:00:00+00:00,2018-02-07T08:00:00+00:00,38.3,36.8,35.3,candidate,-1.8199999999999998
EURUSD,-1,2018-02-08T00:00:00+00:00,2018-02-08T08:00:00+00:00,41.10000000000058,39.60000000000058,38.10000000000058,candidate,-1.8199999999999998
EURUSD,-1,2018-02-09T00:00:00+00:00,2018-02-09T08:00:00+00:00,-12.700000000001044,-14.200000000001044,-15.700000000001044,candidate,-1.8199999999999998
EURUSD,-1,2018-02-12T00:00:00+00:00,2018-02-12T08:00:00+00:00,7.900000000000684,6.400000000000684,4.900000000000684,candidate,-1.8199999999999998
EURUSD,-1,2018-02-13T00:00:00+00:00,2018-02-13T08:00:00+00:00,-19.900000000001583,-21.400000000001583,-22.900000000001583,candidate,-1.8199999999999998
EURUSD,-1,2018-02-14T00:00:00+00:00,2018-02-14T08:00:00+00:00,1.5999999999993797,0.0999999999993797,-1.4000000000006203,candidate,-1.8199999999999998
EURUSD,-1,2018-02-15T00:00:00+00:00,2018-02-15T08:00:00+00:00,-26.700000000001722,-28.200000000001722,-29.700000000001722,candidate,-1.8199999999999998
EURUSD,-1,2018-02-16T00:00:00+00:00,2018-02-16T08:00:00+00:00,-13.600000000000279,-15.100000000000279,-16.60000000000028,candidate,-1.8199999999999998
EURUSD,-1,2018-02-19T00:00:00+00:00,2018-02-19T08:00:00+00:00,23.399999999997867,21.899999999997867,20.399999999997867,candidate,-1.8199999999999998
EURUSD,-1,2018-02-20T00:00:00+00:00,2018-02-20T08:00:00+00:00,50.69999999999908,49.19999999999908,47.69999999999908,candidate,-1.8199999999999998
EURUSD,-1,2018-02-21T00:00:00+00:00,2018-02-21T08:00:00+00:00,3.5000000000007248,2.0000000000007248,0.5000000000007248,candidate,-1.8199999999999998
EURUSD,-1,2018-02-22T00:00:00+00:00,2018-02-22T08:00:00+00:00,-14.899999999999913,-16.399999999999913,-17.899999999999913,candidate,-1.8199999999999998
EURUSD,-1,2018-02-23T00:00:00+00:00,2018-02-23T08:00:00+00:00,17.000000000000348,15.500000000000348,14.000000000000348,candidate,-1.8199999999999998
EURUSD,-1,2018-02-26T00:00:00+00:00,2018-02-26T08:00:00+00:00,-45.399999999999885,-46.899999999999885,-48.399999999999885,candidate,-1.8199999999999998
EURUSD,-1,2018-02-27T00:00:00+00:00,2018-02-27T08:00:00+00:00,4.599999999999049,3.0999999999990493,1.5999999999990493,candidate,-1.8199999999999998
EURUSD,-1,2018-02-28T00:00:00+00:00,2018-02-28T08:00:00+00:00,9.300000000000974,7.800000000000974,6.300000000000974,candidate,-1.8199999999999998
EURUSD,-1,2018-03-01T00:00:00+00:00,2018-03-01T08:00:00+00:00,9.900000000000464,8.400000000000464,6.900000000000464,candidate,-1.75
EURUSD,-1,2018-03-02T00:00:00+00:00,2018-03-02T08:00:00+00:00,-1.5999999999993797,-3.0999999999993797,-4.59999999999938,candidate,-1.8199999999999998
EURUSD,-1,2018-03-05T00:00:00+00:00,2018-03-05T08:00:00+00:00,7.699999999999374,6.199999999999374,4.699999999999374,candidate,-1.8199999999999998
EURUSD,-1,2018-03-06T00:00:00+00:00,2018-03-06T08:00:00+00:00,11.600000000000499,10.100000000000499,8.600000000000499,candidate,-1.8199999999999998
EURUSD,-1,2018-03-07T00:00:00+00:00,2018-03-07T08:00:00+00:00,-9.399999999999409,-10.899999999999409,-12.399999999999409,candidate,-1.8199999999999998
EURUSD,-1,2018-03-08T00:00:00+00:00,2018-03-08T08:00:00+00:00,17.80000000000115,16.30000000000115,14.800000000001148,candidate,-1.8199999999999998
EURUSD,-1,2018-03-09T00:00:00+00:00,2018-03-09T08:00:00+00:00,-3.1999999999987594,-4.699999999998759,-6.199999999998759,candidate,-1.8199999999999998
EURUSD,-1,2018-03-12T00:00:00+00:00,2018-03-12T08:00:00+00:00,4.900000000001015,3.4000000000010147,1.9000000000010147,candidate,-1.8199999999999998
EURUSD,-1,2018-03-13T00:00:00+00:00,2018-03-13T08:00:00+00:00,9.900000000000464,8.400000000000464,6.900000000000464,candidate,-1.8199999999999998
EURUSD,-1,2018-03-14T00:00:00+00:00,2018-03-14T08:00:00+00:00,36.399999999998656,34.899999999998656,33.399999999998656,candidate,-1.8199999999999998
EURUSD,-1,2018-03-15T00:00:00+00:00,2018-03-15T08:00:00+00:00,16.700000000000603,15.200000000000603,13.700000000000603,candidate,-1.8199999999999998
EURUSD,-1,2018-03-16T00:00:00+00:00,2018-03-16T08:00:00+00:00,-22.100000000000453,-23.600000000000453,-25.100000000000453,candidate,-1.83
EURUSD,-1,2018-03-19T00:00:00+00:00,2018-03-19T08:00:00+00:00,-13.100000000001444,-14.600000000001444,-16.100000000001444,candidate,-1.83
EURUSD,-1,2018-03-20T00:00:00+00:00,2018-03-20T08:00:00+00:00,29.600000000000737,28.100000000000737,26.600000000000737,candidate,-1.83
