symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,family,delta_carry
EURUSD,-1,2018-02-02T00:00:00+00:00,2018-02-02T16:00:00+00:00,30.200000000000227,28.700000000000227,27.200000000000227,candidate,0.07999999999999963
EURUSD,-1,2018-02-05T00:00:00+00:00,2018-02-07T00:00:00+00:00,64.9999999999995,63.4999999999995,61.9999999999995,candidate,-0.07999999999999963
EURUSD,-1,2018-03-02T00:00:00+00:00,2018-03-02T16:00:00+00:00,-37.8999999999996,-39.3999999999996,-40.8999999999996,candidate,0.06999999999999984
EURUSD,-1,2018-03-05T00:00:00+00:00,2018-03-07T00:00:00+00:00,-84.10000000000028,-85.60000000000028,-87.10000000000028,candidate,-0.06999999999999984
EURUSD,-1,2018-03-26T00:00:00+00:00,2018-03-28T00:00:00+00:00,-43.400000000000105,-44.900000000000105,-46.400000000000105,candidate,-0.2400000000000002
EURUSD,-1,2018-04-05T00:00:00+00:00,2018-04-06T16:00:00+00:00,10.600000000000609,9.100000000000609,7.600000000000609,candidate,-0.1499999999999999
EURUSD,-1,2018-04-09T00:00:00+00:00,2018-04-11T00:00:00+00:00,-86.10000000000007,-87.60000000000007,-89.10000000000007,candidate,0.06000000000000005
EURUSD,-1,2018-04-18T00:00:00+00:00,2018-04-20T00:00:00+00:00,22.899999999999032,21.399999999999032,19.899999999999032,candidate,-0.08000000000000007
EURUSD,-1,2018-05-02T00:00:00+00:00,2018-05-04T00:00:00+00:00,6.500000000000394,5.000000000000394,3.5000000000003944,candidate,-0.06999999999999984
EURUSD,-1,2018-05-28T00:00:00+00:00,2018-05-30T00:00:00+00:00,163.29999999999956,161.79999999999956,160.29999999999956,candidate,-0.07000000000000028
EURUSD,-1,2018-06-04T00:00:00+00:00,2018-06-06T00:00:00+00:00,-49.10000000000192,-50.60000000000192,-52.10000000000192,candidate,-0.08999999999999986
EURUSD,-1,2018-06-07T00:00:00+00:00,2018-06-08T16:00:00+00:00,19.000000000000128,17.500000000000128,16.000000000000128,candidate,0.050000000000000266
EURUSD,-1,2018-06-18T00:00:00+00:00,2018-06-20T00:00:00+00:00,1.6000000000016001,0.10000000000160014,-1.3999999999983999,candidate,-0.18999999999999995
EURUSD,-1,2018-07-02T00:00:00+00:00,2018-07-04T00:00:00+00:00,-5.800000000000249,-7.300000000000249,-8.80000000000025,candidate,-0.18999999999999995
