symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family,d_spec_oi
EURUSD,1,2022-01-21,2022-01-26,-98.78571428571402,-100.28571428571402,-101.78571428571402,candidate,0.031529942967153356
EURUSD,-1,2022-02-04,2022-02-11,103.6999999999999,102.1999999999999,100.6999999999999,candidate,0.017594768838876562
EURUSD,1,2022-02-11,2022-02-18,-24.999999999999467,-26.499999999999467,-27.999999999999467,candidate,0.05784904399098412
EURUSD,-1,2022-03-11,2022-03-17,-195.43928571428725,-196.93928571428725,-198.43928571428725,candidate,0.031275118743149435
EURUSD,-1,2022-03-18,2022-03-25,64.89999999999884,63.39999999999884,61.89999999999884,candidate,0.0406195102175643
EURUSD,1,2022-04-01,2022-04-05,-134.1535714285702,-135.6535714285702,-137.1535714285702,candidate,0.017821154412264215
EURUSD,-1,2022-04-22,2022-04-29,254.90000000000012,253.40000000000012,251.90000000000012,candidate,0.016025114692302115
EURUSD,-1,2022-04-29,2022-05-06,2.100000000000435,0.6000000000004349,-0.8999999999995651,candidate,0.016139176612937196
EURUSD,-1,2022-05-06,2022-05-13,136.19999999999965,134.69999999999965,133.19999999999965,candidate,0.039440170608093524
EURUSD,1,2022-05-13,2022-05-20,150.50000000000006,149.00000000000006,147.50000000000006,candidate,0.03316237522090757
EURUSD,1,2022-05-27,2022-06-03,-14.400000000001079,-15.900000000001079,-17.40000000000108,candidate,0.02250972581523349
EURUSD,1,2022-06-03,2022-06-10,-144.84642857142794,-146.34642857142794,-147.84642857142794,candidate,0.029931319789839407
EURUSD,1,2022-06-10,2022-06-15,-136.03928571428668,-137.53928571428668,-139.03928571428668,candidate,0.01573220085209815
EURUSD,-1,2022-06-17,2022-06-24,-57.19999999999947,-58.69999999999947,-60.19999999999947,candidate,0.055751282619237195
EURUSD,1,2022-07-01,2022-07-05,-162.23571428571447,-163.73571428571447,-165.23571428571447,candidate,0.0251313532060905
EURUSD,-1,2022-07-15,2022-07-19,-166.0499999999998,-167.5499999999998,-169.0499999999998,candidate,0.029824157552955803
EURUSD,-1,2022-07-22,2022-07-29,-14.899999999999913,-16.399999999999913,-17.899999999999913,candidate,0.037386220548446494
EURUSD,1,2022-08-05,2022-08-12,78.40000000000069,76.90000000000069,75.40000000000069,candidate,0.026954903104770844
EURUSD,-1,2022-08-26,2022-09-02,7.500000000000284,6.000000000000284,4.500000000000284,candidate,0.018148236365839697
EURUSD,-1,2022-09-02,2022-09-09,-149.36785714285804,-150.86785714285804,-152.36785714285804,candidate,0.021864206943385537
EURUSD,1,2022-09-16,2022-09-21,-168.43928571428467,-169.93928571428467,-171.43928571428467,candidate,0.04333480634400547
EURUSD,-1,2022-09-30,2022-10-04,-195.25714285714255,-196.75714285714255,-198.25714285714255,candidate,0.01648265972831587
EURUSD,1,2022-10-21,2022-10-28,103.0999999999993,101.5999999999993,100.0999999999993,candidate,0.026013749299341575
EURUSD,1,2022-10-28,2022-11-03,-170.19642857142858,-171.69642857142858,-173.19642857142858,candidate,0.040540317585069575
EURUSD,1,2022-11-04,2022-11-11,393.5999999999984,392.0999999999984,390.5999999999984,candidate,0.04068605047571268
EURUSD,1,2022-11-18,2022-11-25,73.90000000000008,72.40000000000008,70.90000000000008,candidate,0.027882650258213383
EURUSD,1,2022-11-25,2022-12-02,146.80000000000027,145.30000000000027,143.80000000000027,candidate,0.02471826610836382
EURUSD,1,2022-12-16,2022-12-23,27.200000000000557,25.700000000000557,24.200000000000557,candidate,0.03679736024844721
EURUSD,1,2023-01-13,2023-01-20,23.400000000000087,21.900000000000087,20.400000000000087,candidate,0.015251359287447917
EURUSD,1,2023-01-20,2023-01-27,11.600000000000499,10.100000000000499,8.600000000000499,candidate,0.01792642406637353
EURUSD,1,2023-01-27,2023-02-03,-74.09999999999917,-75.59999999999917,-77.09999999999917,candidate,0.02889004062661963
