symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,family
EURUSD,-1,2020-05-04T00:00:00+00:00,2020-05-07T00:00:00+00:00,153.49999999999974,151.99999999999974,150.49999999999974,candidate
EURUSD,1,2020-06-08T00:00:00+00:00,2020-06-11T00:00:00+00:00,88.89999999999841,87.39999999999841,85.89999999999841,candidate
EURUSD,1,2020-06-15T00:00:00+00:00,2020-06-18T00:00:00+00:00,-4.900000000001015,-6.400000000001015,-7.900000000001015,candidate
EURUSD,1,2020-07-20T00:00:00+00:00,2020-07-23T00:00:00+00:00,145.2999999999993,143.7999999999993,142.2999999999993,candidate
EURUSD,1,2020-07-27T00:00:00+00:00,2020-07-30T00:00:00+00:00,91.00000000000108,89.50000000000108,88.00000000000108,candidate
EURUSD,1,2020-08-03T00:00:00+00:00,2020-08-06T00:00:00+00:00,125.2999999999993,123.7999999999993,122.2999999999993,candidate
EURUSD,-1,2020-10-05T00:00:00+00:00,2020-10-08T00:00:00+00:00,-39.9000000000016,-41.4000000000016,-42.9000000000016,candidate
EURUSD,1,2020-10-12T00:00:00+00:00,2020-10-15T00:00:00+00:00,-65.1999999999986,-66.6999999999986,-68.1999999999986,candidate
EURUSD,1,2021-01-04T00:00:00+00:00,2021-01-07T00:00:00+00:00,78.00000000000028,76.50000000000028,75.00000000000028,candidate
EURUSD,1,2021-03-22T00:00:00+00:00,2021-03-25T00:00:00+00:00,-72.7000000000011,-74.2000000000011,-75.7000000000011,candidate
EURUSD,-1,2021-04-05T00:00:00+00:00,2021-04-08T00:00:00+00:00,-101.59999999999947,-103.09999999999947,-104.59999999999947,candidate
EURUSD,1,2021-05-24T00:00:00+00:00,2021-05-27T00:00:00+00:00,7.699999999999374,6.199999999999374,4.699999999999374,candidate
EURUSD,-1,2021-06-28T00:00:00+00:00,2021-07-01T00:00:00+00:00,88.09999999999984,86.59999999999984,85.09999999999984,candidate
EURUSD,-1,2021-07-19T00:00:00+00:00,2021-07-22T00:00:00+00:00,13.599999999998058,12.099999999998058,10.599999999998058,candidate
EURUSD,-1,2021-07-26T00:00:00+00:00,2021-07-29T00:00:00+00:00,-77.10000000000105,-78.60000000000105,-80.10000000000105,candidate
EURUSD,-1,2021-08-02T00:00:00+00:00,2021-08-05T00:00:00+00:00,37.30000000000011,35.80000000000011,34.30000000000011,candidate
EURUSD,1,2021-09-13T00:00:00+00:00,2021-09-16T00:00:00+00:00,13.700000000000934,12.200000000000934,10.700000000000934,candidate
EURUSD,-1,2021-10-04T00:00:00+00:00,2021-10-07T00:00:00+00:00,44.299999999999336,42.799999999999336,41.299999999999336,candidate
EURUSD,-1,2021-10-18T00:00:00+00:00,2021-10-21T00:00:00+00:00,-72.49999999999979,-73.99999999999979,-75.49999999999979,candidate
EURUSD,-1,2021-11-01T00:00:00+00:00,2021-11-04T00:00:00+00:00,-47.099999999999916,-48.599999999999916,-50.099999999999916,candidate
EURUSD,1,2021-12-13T00:00:00+00:00,2021-12-16T00:00:00+00:00,-18.199999999999328,-19.699999999999328,-21.199999999999328,candidate
EURUSD,1,2022-01-24T00:00:00+00:00,2022-01-27T00:00:00+00:00,-104.19999999999874,-105.69999999999874,-107.19999999999874,candidate
EURUSD,1,2022-02-14T00:00:00+00:00,2022-02-17T00:00:00+00:00,28.199999999998226,26.699999999998226,25.199999999998226,candidate
EURUSD,1,2022-02-21T00:00:00+00:00,2022-02-24T00:00:00+00:00,-60.09999999999849,-61.59999999999849,-63.09999999999849,candidate
EURUSD,-1,2022-03-07T00:00:00+00:00,2022-03-10T00:00:00+00:00,-208.0000000000015,-209.5000000000015,-211.0000000000015,candidate
EURUSD,-1,2022-03-14T00:00:00+00:00,2022-03-17T00:00:00+00:00,-118.10000000000097,-119.60000000000097,-121.10000000000097,candidate
EURUSD,-1,2022-05-09T00:00:00+00:00,2022-05-12T00:00:00+00:00,-5.199999999998539,-6.699999999998539,-8.19999999999854,candidate
EURUSD,1,2022-05-16T00:00:00+00:00,2022-05-19T00:00:00+00:00,76.00000000000051,74.50000000000051,73.00000000000051,candidate
EURUSD,-1,2022-06-20T00:00:00+00:00,2022-06-23T00:00:00+00:00,-80.80000000000086,-82.30000000000086,-83.80000000000086,candidate
EURUSD,1,2022-07-04T00:00:00+00:00,2022-07-07T00:00:00+00:00,-246.900000000001,-248.400000000001,-249.900000000001,candidate
EURUSD,-1,2022-07-18T00:00:00+00:00,2022-07-21T00:00:00+00:00,-95.39999999999881,-96.89999999999881,-98.39999999999881,candidate
EURUSD,-1,2022-08-29T00:00:00+00:00,2022-09-01T00:00:00+00:00,-93.19999999999995,-94.69999999999995,-96.19999999999995,candidate
EURUSD,1,2022-09-19T00:00:00+00:00,2022-09-22T00:00:00+00:00,-195.59999999999908,-197.09999999999908,-198.59999999999908,candidate
EURUSD,1,2022-10-31T00:00:00+00:00,2022-11-03T00:00:00+00:00,-117.19999999999952,-118.69999999999952,-120.19999999999952,candidate
EURUSD,1,2022-11-07T00:00:00+00:00,2022-11-10T00:00:00+00:00,93.40000000000015,91.90000000000015,90.40000000000015,candidate
EURUSD,1,2022-11-21T00:00:00+00:00,2022-11-24T00:00:00+00:00,111.69999999999902,110.19999999999902,108.69999999999902,candidate
EURUSD,1,2022-12-05T00:00:00+00:00,2022-12-08T00:00:00+00:00,-66.10000000000005,-67.60000000000005,-69.10000000000005,candidate
EURUSD,1,2022-12-19T00:00:00+00:00,2022-12-22T00:00:00+00:00,23.100000000000342,21.600000000000342,20.100000000000342,candidate
EURUSD,-1,2023-01-09T00:00:00+00:00,2023-01-12T00:00:00+00:00,-100.00000000000009,-101.50000000000009,-103.00000000000009,candidate
EURUSD,1,2023-01-23T00:00:00+00:00,2023-01-26T00:00:00+00:00,24.299999999999322,22.799999999999322,21.299999999999322,candidate
EURUSD,1,2023-01-30T00:00:00+00:00,2023-02-02T00:00:00+00:00,139.80000000000103,138.30000000000103,136.80000000000103,candidate
EURUSD,-1,2023-06-12T00:00:00+00:00,2023-06-15T00:00:00+00:00,-92.79999999999954,-94.29999999999954,-95.79999999999954,candidate
EURUSD,1,2023-07-24T00:00:00+00:00,2023-07-27T00:00:00+00:00,-43.69999999999985,-45.19999999999985,-46.69999999999985,candidate
EURUSD,-1,2023-08-28T00:00:00+00:00,2023-08-31T00:00:00+00:00,-130.90000000000046,-132.40000000000046,-133.90000000000046,candidate
EURUSD,-1,2023-09-04T00:00:00+00:00,2023-09-07T00:00:00+00:00,56.499999999999325,54.999999999999325,53.499999999999325,candidate
EURUSD,-1,2023-10-02T00:00:00+00:00,2023-10-05T00:00:00+00:00,43.90000000000116,42.40000000000116,40.90000000000116,candidate
EURUSD,1,2023-11-27T00:00:00+00:00,2023-11-30T00:00:00+00:00,22.900000000001253,21.400000000001253,19.900000000001253,candidate
EURUSD,1,2023-12-04T00:00:00+00:00,2023-12-07T00:00:00+00:00,-106.10000000000008,-107.60000000000008,-109.10000000000008,candidate
EURUSD,-1,2023-12-18T00:00:00+00:00,2023-12-21T00:00:00+00:00,-55.000000000000604,-56.500000000000604,-58.000000000000604,candidate
EURUSD,1,2024-01-22T00:00:00+00:00,2024-01-25T00:00:00+00:00,-24.299999999999322,-25.799999999999322,-27.299999999999322,candidate
EURUSD,-1,2024-02-05T00:00:00+00:00,2024-02-08T00:00:00+00:00,-0.1999999999990898,-1.6999999999990898,-3.19999999999909,candidate
EURUSD,-1,2024-02-12T00:00:00+00:00,2024-02-15T00:00:00+00:00,67.50000000000034,66.00000000000034,64.50000000000034,candidate
EURUSD,-1,2024-02-26T00:00:00+00:00,2024-02-29T00:00:00+00:00,-12.600000000000389,-14.100000000000389,-15.600000000000389,candidate
EURUSD,-1,2024-03-25T00:00:00+00:00,2024-03-28T00:00:00+00:00,-0.8999999999992347,-2.3999999999992347,-3.8999999999992347,candidate
EURUSD,-1,2024-04-08T00:00:00+00:00,2024-04-11T00:00:00+00:00,84.69999999999978,83.19999999999978,81.69999999999978,candidate
EURUSD,1,2024-04-15T00:00:00+00:00,2024-04-18T00:00:00+00:00,24.399999999999977,22.899999999999977,21.399999999999977,candidate
EURUSD,-1,2024-04-22T00:00:00+00:00,2024-04-25T00:00:00+00:00,-49.900000000000496,-51.400000000000496,-52.900000000000496,candidate
