hypothesis_id,direction,sweep_index,reclaim_index,retest_index,entry_index,sweep_time_utc,reclaim_time_utc,retest_time_utc,entry_time_utc,pivot_price,pivot_index,entry_price,initial_stop,initial_risk_pips,sweep_atr_pips,sweep_tick_volume,prior20_tick_volume_mean,tick_volume_ratio,reclaim_adx,retest_outside_session,entry_outside_session,calendar_year,cost_r_0_5,cost_r_1_5,cost_r_2_25,cost_r_3_0
HYP-ASRS-EURUSD-M5-001,LONG,1487,1487,1488,1489,2019-01-09 08:10:00,2019-01-09 08:10:00,2019-01-09 08:15:00,2019-01-09 08:20:00,1.14633,1484,1.14644,1.145880357142857,5.59642857142828,6.32142857142843,461.0,242.95,1.8975097756740071,18.463335179491313,False,False,2019,0.08934269304403783,0.2680280791321135,0.40204211869817025,0.536056158264227
HYP-ASRS-EURUSD-M5-001,SHORT,1837,1838,1839,1840,2019-01-10 13:20:00,2019-01-10 13:25:00,2019-01-10 13:30:00,2019-01-10 13:35:00,1.1539,1831,1.15323,1.1546724285714285,14.424285714285112,5.414285714285498,517.0,275.9,1.8738673432403046,17.869641033582912,False,False,2019,0.03466376151332223,0.1039912845399667,0.15598692680995005,0.2079825690799334
HYP-ASRS-EURUSD-M5-001,LONG,1840,1840,1841,1842,2019-01-10 13:35:00,2019-01-10 13:35:00,2019-01-10 13:40:00,2019-01-10 13:45:00,1.15312,1836,1.15338,1.1527197142857142,6.602857142858909,6.3428571428569835,542.0,299.75,1.8081734778982486,18.384868106230684,False,False,2019,0.07572479446125192,0.22717438338375576,0.34076157507563365,0.4543487667675115
HYP-ASRS-EURUSD-M5-001,LONG,1892,1892,1893,1894,2019-01-10 17:55:00,2019-01-10 17:55:00,2019-01-10 18:00:00,2019-01-10 18:05:00,1.15054,1882,1.15059,1.149527,10.630000000000361,6.099999999999994,655.0,396.5,1.6519546027742749,16.002033941693576,False,False,2019,0.04703668861711976,0.14111006585135927,0.2116650987770389,0.28222013170271854
HYP-ASRS-EURUSD-M5-001,LONG,1893,1893,1894,1895,2019-01-10 18:00:00,2019-01-10 18:00:00,2019-01-10 18:05:00,2019-01-10 18:10:00,1.15054,1882,1.15085,1.1495715714285715,12.784285714284582,6.614285714285588,796.0,409.65,1.9431221774685707,17.03854777001316,False,False,2019,0.03911051514136004,0.11733154542408011,0.17599731813612018,0.23466309084816023
HYP-ASRS-EURUSD-M5-001,LONG,2127,2127,2128,2129,2019-01-11 13:30:00,2019-01-11 13:30:00,2019-01-11 13:35:00,2019-01-11 13:40:00,1.15218,2119,1.15293,1.1518059285714286,11.240714285714049,5.135714285714307,860.0,334.15,2.573694448600928,24.785005844635755,False,False,2019,0.044481159051916803,0.13344347715575042,0.2001652157336256,0.26688695431150083
HYP-ASRS-EURUSD-M5-001,SHORT,3786,3786,3787,3788,2019-01-21 07:55:00,2019-01-21 07:55:00,2019-01-21 08:00:00,2019-01-21 08:05:00,1.1385399999999999,3779,1.13825,1.1388289285714286,5.789285714286052,3.9642857142855155,408.0,156.25,2.6112,19.191986460431934,False,False,2019,0.08636644046884136,0.25909932140652403,0.3886489821097861,0.5181986428130481
HYP-ASRS-EURUSD-M5-001,SHORT,4951,4951,4952,4953,2019-01-25 09:00:00,2019-01-25 09:00:00,2019-01-25 09:05:00,2019-01-25 09:10:00,1.13287,4945,1.13274,1.1335741428571429,8.341428571427834,5.47142857142873,732.0,379.15,1.930634313596202,17.275529673697022,False,False,2019,0.059941770851178446,0.17982531255353534,0.26973796883030304,0.3596506251070707
HYP-ASRS-EURUSD-M5-001,LONG,6078,6078,6079,6080,2019-01-31 07:10:00,2019-01-31 07:10:00,2019-01-31 07:15:00,2019-01-31 07:20:00,1.14967,6070,1.15017,1.149362142857143,8.078571428569159,3.928571428570996,369.0,150.6,2.450199203187251,22.72654977271408,False,False,2019,0.061892130857665484,0.18567639257299645,0.2785145888594947,0.3713527851459929
HYP-ASRS-EURUSD-M5-001,LONG,6657,6658,6659,6660,2019-02-04 07:35:00,2019-02-04 07:40:00,2019-02-04 07:45:00,2019-02-04 07:50:00,1.14397,6648,1.14421,1.1436864999999998,5.235000000001211,2.449999999999873,192.0,114.9,1.671018276762402,24.43531589618134,False,False,2019,0.09551098376311067,0.286532951289332,0.42979942693399803,0.573065902578664
