position_id,direction,break_bar_open,actual_decision,start,end,duration_seconds,filename,source_status,causal_records,records_early_60s,records_late_60s,records_final_30s,aligned_imbalance_last,aligned_imbalance_median_early60,aligned_imbalance_median_late60,aligned_imbalance_transition,aligned_persistence_full,aligned_persistence_final30,spread_ticks_last,staleness_ms,book_transition_score,quality_eligible,quality_reason,open_time,close_time,decision_time,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r,decision_time_utc,entry_time_utc,exit_time_utc,break_level,break_open,break_high,break_low,break_close,break_atr,entry_spread_pips,stop_pips,target_pips,hold_minutes,entry_minute_utc,entry_hour_utc,entry_session_utc,entry_weekday,entry_month,entry_year,break_range_pips,break_body_fraction,break_close_location,aligned_break_close_location,break_atr_pips,break_range_atr,close_beyond_pivot_pips,entry_gap_from_break_close_pips,exit_class,lifecycle_rows,price_profit_before_explicit_cost,lifecycle_commission,lifecycle_swap,lifecycle_fee,lifecycle_net,final_close_rows,explicit_cost_account,context_last_bar_utc,pre60_aligned_return_pips,pre60_range_pips,entry_location_prior24h,aligned_entry_location_prior24h,h1_12h_aligned_return_pips,mfe_r,mae_r,mfe_5m_r,mae_5m_r,mfe_15m_r,mae_15m_r,mfe_30m_r,mae_30m_r,book_alignment_score
1096,BUY,2021-01-03T23:30:00Z,2021-01-03T23:35:00Z,2021-01-03T23:30:00Z,2021-01-03T23:35:00Z,300,CTRL_PID000001096_20210103T233500Z.dbn.zst,nonempty,1536,270,244,124,-0.0828729281767955,0.0455487564153178,0.0331753554502369,-0.0123734009650808,0.583984375,0.6612903225806451,0.9999999999976694,1561.285632,0.0440993258800188,True,PASS,2021.01.04 01:35:00,2021.01.04 03:35:00,2021.01.04 01:30:00,0.19,1.22435,1.22419,1.22384,1.22537,51.0,9.69,-3.8,-0.392156862745098,2021-01-03 23:30:00,2021-01-03 23:35:00,2021-01-04 01:35:00,1.22424,1.22397,1.22439,1.22395,1.22434,0.00044,0.2,5.1000000000001044,10.200000000000209,120.0,1415,23,ROLLOVER,Sunday,2021-01,2021,4.3999999999999595,0.8409090909090565,0.8863636363633955,0.8863636363633955,4.4,0.9999999999999908,0.9999999999998899,0.10000000000065512,TIMEOUT_OR_OTHER,2,-3.04,-0.76,0.0,0.0,-3.8,1,0.76,2021-01-03T23:34:00,7.500000000000284,13.500000000001844,0.9685534591194345,0.9685534591194345,9.300000000000974,1.823529411764424,0.9607843137256695,0.27450980392161983,0.41176470588242975,1.5686274509801872,0.41176470588242975,1.823529411764424,0.41176470588242975,0.0440993258800188
1100,SELL,2021-01-06T00:05:00Z,2021-01-06T00:10:00Z,2021-01-06T00:05:00Z,2021-01-06T00:10:00Z,300,CTRL_PID000001100_20210106T001000Z.dbn.zst,nonempty,3469,552,1187,684,0.046875,0.0592885375494071,0.0042553191489361,-0.0550332184004709,0.5531853560103777,0.4605263157894737,1.0000000000021103,1308.123136,0.0001398985921874,True,PASS,2021.01.06 02:10:00,2021.01.06 02:50:17,2021.01.06 02:05:00,0.1,1.22924,1.23016,1.23014,1.22744,90.0,9.0,-9.6,-1.0666666666666669,2021-01-06 00:05:00,2021-01-06 00:10:00,2021-01-06 00:50:17,1.22964,1.22985,1.23006,1.22919,1.22924,0.00034,0.1,8.999999999999009,18.000000000000238,40.28333333333333,10,0,ASIA,Wednesday,2021-01,2021,8.699999999999264,0.701149425287415,0.05747126436794224,0.9425287356320577,3.4,2.5588235294115482,3.9999999999995595,-0.0,SL_LIKE,2,-9.2,-0.4,0.0,0.0,-9.6,1,0.4,2021-01-06T00:09:00,3.700000000002035,11.300000000000754,0.7663716814158985,0.2336283185841015,-15.299999999998093,0.03333333333355538,3.744444444444716,0.02222222222237025,0.5333333333331853,0.02222222222237025,0.6222222222221728,0.02222222222237025,0.6888888888887902,0.0001398985921874
1102,SELL,2021-01-07T00:00:00Z,2021-01-07T00:05:00Z,2021-01-07T00:00:00Z,2021-01-07T00:05:00Z,300,CTRL_PID000001102_20210107T000500Z.dbn.zst,nonempty,3885,1347,393,261,0.0140845070422535,-0.0082644628099173,0.0139860139860139,0.0222504767959313,0.5073359073359074,0.5938697318007663,1.0000000000021103,3372.940544,0.0182896955624228,True,PASS,2021.01.07 02:05:00,2021.01.07 02:11:35,2021.01.07 02:00:00,0.17,1.2334,1.23395,1.23395,1.2323,55.0,9.35,-10.03,-1.0727272727272728,2021-01-07 00:00:00,2021-01-07 00:05:00,2021-01-07 00:11:35,1.23359,1.23382,1.23388,1.23331,1.2334,0.00028,0.1,5.5000000000005045,11.000000000001009,6.583333333333333,5,0,ASIA,Thursday,2021-01,2021,5.700000000001815,0.7368421052626863,0.15789473684231028,0.8421052631576897,2.8,2.035714285714934,1.8999999999991246,-0.0,SL_LIKE,2,-9.35,-0.68,0.0,0.0,-10.03,1,0.68,2021-01-07T00:04:00,-5.800000000000249,12.499999999999734,0.8160095579450565,0.18399044205494353,4.100000000000215,0.0,1.0363636363634676,0.0,0.6727272727271773,0.0,1.8363636363633868,0.0,1.8363636363633868,0.0182896955624228
1104,SELL,2021-01-08T00:00:00Z,2021-01-08T00:05:00Z,2021-01-08T00:00:00Z,2021-01-08T00:05:00Z,300,CTRL_PID000001104_20210108T000500Z.dbn.zst,nonempty,4129,800,1370,272,0.0610687022900763,0.0476190476190476,0.0217391304347826,-0.025879917184265,0.6376846694114798,0.8382352941176471,1.0000000000021103,2582.105344,0.061337158722303,True,PASS,2021.01.08 02:05:00,2021.01.08 02:28:35,2021.01.08 02:00:00,0.22,1.22659,1.22703,1.22703,1.22571,44.0,9.68,-10.56,-1.090909090909091,2021-01-08 00:00:00,2021-01-08 00:05:00,2021-01-08 00:28:35,1.22673,1.22691,1.22697,1.22643,1.2266,0.00025,0.1,4.3999999999999595,8.799999999999919,23.583333333333332,5,0,ASIA,Friday,2021-01,2021,5.399999999999849,0.5740740740741502,0.31481481481483004,0.68518518518517,2.5,2.1599999999999397,1.3000000000018552,0.09999999999843467,SL_LIKE,2,-9.68,-0.88,0.0,0.0,-10.56,1,0.88,2021-01-08T00:04:00,4.100000000000215,7.600000000000939,0.21031344792718598,0.789686552072814,-16.300000000000203,0.5227272727271695,0.9772727272725782,0.5227272727271695,0.29545454545446515,0.5227272727271695,0.8863636363633955,0.5227272727271695,1.4772727272728305,0.061337158722303
1106,BUY,2021-01-11T00:55:00Z,2021-01-11T01:00:00Z,2021-01-11T00:55:00Z,2021-01-11T01:00:00Z,300,CTRL_PID000001106_20210111T010000Z.dbn.zst,nonempty,2483,511,697,288,0.0559440559440559,-0.0679012345679012,0.0622710622710622,0.1301722968389635,0.5900120821586791,0.8055555555555556,0.9999999999976694,96.418304,0.1256599550665868,True,PASS,2021.01.11 03:00:00,2021.01.11 03:07:13,2021.01.11 02:55:00,0.46,1.21888,1.21867,1.21867,1.2193,21.0,9.66,-11.5,-1.1904761904761905,2021-01-11 00:55:00,2021-01-11 01:00:00,2021-01-11 01:07:13,1.21884,1.2188,1.21918,1.2188,1.21888,0.00051,0.1,2.100000000000435,4.20000000000087,7.216666666666667,60,1,ASIA,Monday,2021-01,2021,3.7999999999982492,0.2105263157891969,0.2105263157891969,0.2105263157891969,5.1000000000000005,0.7450980392153429,0.40000000000040004,0.0,SL_LIKE,2,-9.66,-1.84,0.0,0.0,-11.5,1,1.84,2021-01-11T00:59:00,2.8999999999990145,14.800000000001479,0.15889830508474984,0.15889830508474984,-27.900000000000702,0.9523809523806502,1.714285714284959,0.6666666666666666,0.8095238095236584,0.9523809523806502,3.5238095238086173,0.9523809523806502,7.285714285712927,0.1256599550665868
1112,BUY,2021-01-14T00:10:00Z,2021-01-14T00:15:00Z,2021-01-14T00:10:00Z,2021-01-14T00:15:00Z,300,CTRL_PID000001112_20210114T001500Z.dbn.zst,nonempty,2851,378,639,303,0.0240549828178694,-0.0568561872909698,0.0359712230215827,0.0928274103125526,0.573482988425114,0.7293729372937293,1.0000000000021103,1844.395264,0.092148005124229,True,PASS,2021.01.14 02:15:00,2021.01.14 04:15:00,2021.01.14 02:10:00,0.21,1.21651,1.2166,1.21605,1.21743,46.0,9.66,1.0499999999999998,0.108695652173913,2021-01-14 00:10:00,2021-01-14 00:15:00,2021-01-14 02:15:00,1.21639,1.21613,1.2166,1.21611,1.21652,0.00023,0.2,4.599999999999049,9.200000000000319,120.0,15,0,ASIA,Thursday,2021-01,2021,4.899999999998794,0.7959183673473642,0.8367346938778008,0.8367346938778008,2.3,2.1304347826081713,1.2999999999996348,-0.10000000000065512,TIMEOUT_OR_OTHER,2,1.89,-0.84,0.0,0.0,1.0499999999999998,1,0.84,2021-01-14T00:14:00,7.099999999999884,9.699999999999154,0.3048192771084438,0.3048192771084438,-12.399999999999078,1.5000000000004827,0.6086956521741649,0.7391304347827766,0.326086956522012,1.3043478260870824,0.326086956522012,1.3043478260870824,0.3695652173913883,0.092148005124229
1114,BUY,2021-01-15T00:10:00Z,2021-01-15T00:15:00Z,2021-01-15T00:10:00Z,2021-01-15T00:15:00Z,300,CTRL_PID000001114_20210115T001500Z.dbn.zst,nonempty,856,118,317,281,-0.0902527075812274,0.0614886731391585,-0.0134228187919463,-0.0749114919311048,0.6495327102803738,0.4163701067615658,1.0000000000021103,1533.013248,0.0339549044766479,True,PASS,2021.01.15 02:15:00,2021.01.15 02:21:05,2021.01.15 02:10:00,0.39,1.21574,1.21624,1.21549,1.21624,25.0,9.75,17.94,1.84,2021-01-15 00:10:00,2021-01-15 00:15:00,2021-01-15 00:21:05,1.21559,1.21558,1.21576,1.21554,1.21573,0.0002,0.1,2.500000000000835,4.999999999999449,6.083333333333333,15,0,ASIA,Friday,2021-01,2021,2.1999999999988695,0.6818181818179524,0.8636363636364095,0.8636363636364095,2.0,1.0999999999994348,1.40000000000029,0.10000000000065512,TP_LIKE,2,19.5,-1.56,0.0,0.0,17.94,1,1.56,2021-01-15T00:14:00,2.500000000000835,7.500000000000284,0.6860119047618991,0.6860119047618991,-8.20000000000043,2.0399999999993605,0.559999999999929,1.4799999999994315,0.559999999999929,2.0399999999993605,0.559999999999929,2.0399999999993605,1.3599999999995738,0.0339549044766479
1116,BUY,2021-01-17T23:20:00Z,2021-01-17T23:25:00Z,2021-01-17T23:20:00Z,2021-01-17T23:25:00Z,300,CTRL_PID000001116_20210117T232500Z.dbn.zst,nonempty,2711,853,160,96,0.1067961165048543,-0.048,0.0558151609553478,0.1038151609553478,0.6082626337144965,0.6145833333333334,1.0000000000021103,1389.325056,0.1199926875737591,True,PASS,2021.01.18 01:25:00,2021.01.18 01:33:00,2021.01.18 01:20:00,0.23,1.20856,1.20814,1.20814,1.2094,42.0,9.66,-10.58,-1.0952380952380951,2021-01-17 23:20:00,2021-01-17 23:25:00,2021-01-17 23:33:00,1.20847,1.20831,1.20864,1.2082,1.20854,0.00022,0.2,4.20000000000087,8.399999999999519,8.0,1405,23,ROLLOVER,Sunday,2021-01,2021,4.3999999999999595,0.5227272727271695,0.7727272727272957,0.7727272727272957,2.2,1.9999999999999816,0.700000000000145,0.20000000000131024,SL_LIKE,2,-9.66,-0.92,0.0,0.0,-10.58,1,0.92,2021-01-17T23:24:00,5.499999999998284,10.999999999998789,0.9159663865546328,0.9159663865546328,8.299999999998864,-0.04761904761934972,1.2142857142854877,-0.04761904761934972,0.5476190476193498,-0.04761904761934972,2.619047619047317,-0.04761904761934972,4.523809523808618,0.1199926875737591
1122,SELL,2021-01-20T00:00:00Z,2021-01-20T00:05:00Z,2021-01-20T00:00:00Z,2021-01-20T00:05:00Z,300,CTRL_PID000001122_20210120T000500Z.dbn.zst,nonempty,8486,1986,743,274,0.0352112676056338,0.0545454545454545,0.1004366812227074,0.0458912266772528,0.6012255479613481,0.7116788321167883,1.0000000000021103,2084.222464,0.0986675576249773,True,PASS,2021.01.20 02:05:00,2021.01.20 02:14:37,2021.01.20 02:00:00,0.12,1.21328,1.21408,1.21408,1.21168,80.0,9.6,-10.08,-1.05,2021-01-20 00:00:00,2021-01-20 00:05:00,2021-01-20 00:14:37,1.2134,1.21393,1.21399,1.2127,1.21329,0.00035,0.2,8.00000000000134,15.999999999998238,9.616666666666667,5,0,ASIA,Wednesday,2021-01,2021,12.900000000000134,0.49612403100772656,0.4573643410853367,0.5426356589146633,3.5,3.685714285714324,1.100000000000545,0.10000000000065512,SL_LIKE,2,-9.6,-0.48,0.0,0.0,-10.08,1,0.48,2021-01-20T00:04:00,-3.1000000000003247,12.900000000000134,0.8151001540831941,0.18489984591680586,-4.599999999999049,0.012499999999802242,1.062499999999844,0.012499999999802242,0.3625000000000937,0.012499999999802242,1.0875000000000035,0.012499999999802242,1.71249999999983,0.0986675576249773
1126,BUY,2021-01-22T00:00:00Z,2021-01-22T00:05:00Z,2021-01-22T00:00:00Z,2021-01-22T00:05:00Z,300,CTRL_PID000001126_20210122T000500Z.dbn.zst,nonempty,2338,206,303,176,0.0123456790123456,-0.0462633451957295,0.0251572327044025,0.071420577900132,0.4140290846877673,0.4431818181818182,0.9999999999976694,131.779584,-0.0009858605299496,True,PASS,2021.01.22 02:05:00,2021.01.22 03:02:35,2021.01.22 02:00:00,0.16,1.217,1.21642,1.21642,1.21816,58.0,9.28,-9.92,-1.0689655172413794,2021-01-22 00:00:00,2021-01-22 00:05:00,2021-01-22 01:02:35,1.21666,1.21654,1.21698,1.21647,1.21698,0.0002,0.1,5.800000000000249,11.599999999998278,57.583333333333336,5,0,ASIA,Friday,2021-01,2021,5.1000000000001044,0.8627450980391901,1.0,1.0,2.0,2.5500000000000522,3.1999999999987594,0.20000000000131024,SL_LIKE,2,-9.28,-0.64,0.0,0.0,-9.92,1,0.64,2021-01-22T00:04:00,0.7999999999985796,5.5000000000005045,0.946791862284818,0.946791862284818,30.69999999999906,1.2931034482758554,1.034482758620914,0.48275862068935155,0.01724137931045704,1.2931034482758554,0.01724137931045704,1.2931034482758554,0.01724137931045704,-0.0009858605299496
