case_id,position_id,ts_recv_utc,seconds_from_break_open,seconds_before_entry,raw_i5,aligned_i5,spread_ticks
F001_PID000002058,2058,2022-09-16T00:05:03.394127360+00:00,3.39412736,296.60587264,0.12452830188679245,0.12452830188679245,0.9999999999998899
F001_PID000002058,2058,2022-09-16T00:05:03.394137344+00:00,3.394137344,296.605862656,-0.0165016501650165,-0.0165016501650165,1.9999999999997797
F001_PID000002058,2058,2022-09-16T00:05:03.394502656+00:00,3.394502656,296.605497344,-0.003257328990228013,-0.003257328990228013,1.9999999999997797
F001_PID000002058,2058,2022-09-16T00:05:03.435165184+00:00,3.435165184,296.564834816,0.1417910447761194,0.1417910447761194,0.9999999999998899
F001_PID000002058,2058,2022-09-16T00:05:03.435213568+00:00,3.435213568,296.564786432,0.1449814126394052,0.1449814126394052,0.9999999999998899
F001_PID000002058,2058,2022-09-16T00:05:03.435356160+00:00,3.43535616,296.56464384,0.1449814126394052,0.1449814126394052,0.9999999999998899
F001_PID000002058,2058,2022-09-16T00:05:03.435419136+00:00,3.435419136,296.564580864,0.2604501607717042,0.2604501607717042,1.9999999999997797
F001_PID000002058,2058,2022-09-16T00:05:03.435481856+00:00,3.435481856,296.564518144,0.2564102564102564,0.2564102564102564,1.9999999999997797
F001_PID000002058,2058,2022-09-16T00:05:03.436017152+00:00,3.436017152,296.563982848,0.24675324675324675,0.24675324675324675,1.9999999999997797
F001_PID000002058,2058,2022-09-16T00:05:03.436137728+00:00,3.436137728,296.563862272,0.2347266881028939,0.2347266881028939,1.9999999999997797
F001_PID000002058,2058,2022-09-16T00:05:03.436153856+00:00,3.436153856,296.563846144,0.21904761904761905,0.21904761904761905,1.9999999999997797
F001_PID000002058,2058,2022-09-16T00:05:03.436163328+00:00,3.436163328,296.563836672,0.20754716981132076,0.20754716981132076,1.9999999999997797
F001_PID000002058,2058,2022-09-16T00:05:03.436172544+00:00,3.436172544,296.563827456,0.12280701754385964,0.12280701754385964,1.9999999999997797
F001_PID000002058,2058,2022-09-16T00:05:03.475721728+00:00,3.475721728,296.524278272,0.12280701754385964,0.12280701754385964,1.9999999999997797
F001_PID000002058,2058,2022-09-16T00:05:03.475838464+00:00,3.475838464,296.524161536,0.12609970674486803,0.12609970674486803,1.9999999999997797
F001_PID000002058,2058,2022-09-16T00:05:03.477121280+00:00,3.47712128,296.52287872,0.13609467455621302,0.13609467455621302,1.9999999999997797
F001_PID000002058,2058,2022-09-16T00:05:03.477480448+00:00,3.477480448,296.522519552,0.02666666666666667,0.02666666666666667,0.9999999999998899
F001_PID000002058,2058,2022-09-16T00:05:03.477512960+00:00,3.47751296,296.52248704,0.04054054054054054,0.04054054054054054,0.9999999999998899
F001_PID000002058,2058,2022-09-16T00:05:03.487187968+00:00,3.487187968,296.512812032,0.04377104377104377,0.04377104377104377,0.9999999999998899
F001_PID000002058,2058,2022-09-16T00:05:03.507636224+00:00,3.507636224,296.492363776,0.04054054054054054,0.04054054054054054,0.9999999999998899
F001_PID000002058,2058,2022-09-16T00:05:03.509193728+00:00,3.509193728,296.490806272,0.037037037037037035,0.037037037037037035,0.9999999999998899
F001_PID000002058,2058,2022-09-16T00:05:03.799550976+00:00,3.799550976,296.200449024,0.030508474576271188,0.030508474576271188,0.9999999999998899
F001_PID000002058,2058,2022-09-16T00:05:04.010479616+00:00,4.010479616,295.989520384,0.030508474576271188,0.030508474576271188,0.9999999999998899
F001_PID000002058,2058,2022-09-16T00:05:04.011233280+00:00,4.01123328,295.98876672,0.020134228187919462,0.020134228187919462,0.9999999999998899
