arm,signal_time_server,entry_time_server,entry_time_utc,exit_time_server,direction,entry,stop,target,exit_price,exit_kind,risk_pips,spread_gate_pips,gross_r,net_r_x1,net_r_x1_5,net_r_x2
CONTROL,2019-01-03 10:35:00,2019-01-03 10:40:00,2019-01-03 08:40:00,2019-01-03 11:54:00,1,1.1374900000000001,1.1354799999999998,1.1407060000000007,1.13761,TIME,20.100000000002893,0.8,0.059701492537254076,-0.014925373134376967,-0.0522388059701925,-0.08955223880600802
CONTROL,2019-01-03 12:10:00,2019-01-03 12:15:00,2019-01-03 10:15:00,2019-01-03 13:08:00,1,1.13694,1.136055,1.1383560000000001,1.136055,STOP,8.850000000000247,0.8,-1.0,-1.1694915254237241,-1.254237288135586,-1.3389830508474483
CONTROL,2019-01-03 13:05:00,2019-01-03 13:10:00,2019-01-03 11:10:00,2019-01-03 14:24:00,-1,1.1353900000000001,1.1374300000000002,1.132126,1.13482,TIME,20.400000000000418,0.8,0.27941176470596557,0.2058823529412612,0.16911764705890903,0.13235294117655683
CONTROL,2019-01-03 14:25:00,2019-01-03 14:30:00,2019-01-03 12:30:00,2019-01-03 15:31:00,-1,1.13477,1.1355307142857143,1.1335528571428573,1.1355307142857143,STOP,7.607142857142257,0.8,-1.0,-1.1971830985915648,-1.2957746478873473,-1.3943661971831296
CONTROL,2019-01-03 15:40:00,2019-01-03 15:45:00,2019-01-03 13:45:00,2019-01-03 16:00:00,-1,1.13567,1.1367060714285713,1.1340122857142858,1.1367060714285713,STOP,10.360714285713168,0.8,-1.0,-1.1447776628748865,-1.2171664943123295,-1.2895553257497727
CONTROL,2019-01-04 09:55:00,2019-01-04 10:00:00,2019-01-04 08:00:00,2019-01-04 11:14:00,1,1.14074,1.1396899999999999,1.1424200000000004,1.14123,TIME,10.500000000002174,0.8,0.4666666666664552,0.3238095238093419,0.2523809523807853,0.18095238095222865
CONTROL,2019-01-04 11:15:00,2019-01-04 11:20:00,2019-01-04 09:20:00,2019-01-04 11:52:00,1,1.14132,1.1404299999999998,1.142744,1.1404299999999998,STOP,8.900000000000574,0.8,-1.0,-1.1685393258426857,-1.2528089887640286,-1.3370786516853714
CONTROL,2019-01-04 12:00:00,2019-01-04 12:05:00,2019-01-04 10:05:00,2019-01-04 13:19:00,-1,1.13952,1.14121,1.136816,1.14086,TIME,16.899999999999693,0.8,-0.792899408283977,-0.8816568047336828,-0.9260355029585357,-0.9704142011833885
CONTROL,2019-01-04 13:15:00,2019-01-04 13:20:00,2019-01-04 11:20:00,2019-01-04 14:34:00,1,1.14086,1.14004,1.142172,1.14112,TIME,8.20000000000043,0.8,0.31707317073160163,0.13414634146331852,0.04268292682917696,-0.04878048780496458
CONTROL,2019-01-04 14:35:00,2019-01-04 14:40:00,2019-01-04 12:40:00,2019-01-04 15:01:00,1,1.14121,1.1404599999999998,1.1424100000000004,1.1404599999999998,STOP,7.500000000002505,0.8,-1.0,-1.1999999999999331,-1.2999999999999,-1.3999999999998665
CONTROL,2019-01-07 09:55:00,2019-01-07 10:00:00,2019-01-07 08:00:00,2019-01-07 11:14:00,1,1.14358,1.1412399999999998,1.1473240000000005,1.14445,TIME,23.400000000002308,0.8,0.3717948717948037,0.3076923076922459,0.27564102564096704,0.24358974358968813
CONTROL,2019-01-07 11:10:00,2019-01-07 11:15:00,2019-01-07 09:15:00,2019-01-07 12:29:00,1,1.14446,1.14272,1.1472440000000002,1.14409,TIME,17.400000000000748,0.8,-0.21264367816089974,-0.29885057471262017,-0.3419540229884804,-0.3850574712643406
CONTROL,2019-01-07 12:25:00,2019-01-07 12:30:00,2019-01-07 10:30:00,2019-01-07 12:42:00,1,1.14409,1.1435285714285714,1.144988285714286,1.1435285714285714,STOP,5.614285714286016,0.8,-1.0,-1.2671755725190696,-1.4007633587786044,-1.5343511450381393
CONTROL,2019-01-07 12:55:00,2019-01-07 13:00:00,2019-01-07 11:00:00,2019-01-07 14:14:00,1,1.14382,1.1432682142857142,1.1447028571428575,1.14448,TIME,5.51785714285824,0.8,1.1961165048539188,0.9242718446597982,0.7883495145627377,0.6524271844656775
CONTROL,2019-01-07 14:10:00,2019-01-07 14:15:00,2019-01-07 12:15:00,2019-01-07 14:58:00,1,1.14448,1.1437199999999998,1.145696,1.1437199999999998,STOP,7.600000000000939,0.8,-1.0,-1.1973684210526072,-1.2960526315789107,-1.3947368421052144
CONTROL,2019-01-08 10:00:00,2019-01-08 10:05:00,2019-01-08 08:05:00,2019-01-08 11:05:00,-1,1.14419,1.1451864285714286,1.1425957142857144,1.1451864285714286,STOP,9.964285714285648,0.8,-1.0,-1.1505376344086031,-1.2258064516129048,-1.3010752688172063
CONTROL,2019-01-08 11:05:00,2019-01-08 11:10:00,2019-01-08 09:10:00,2019-01-08 12:07:00,1,1.14545,1.14431,1.1472740000000003,1.14431,STOP,11.400000000001409,0.8,-1.0,-1.1315789473684048,-1.1973684210526072,-1.2631578947368096
CONTROL,2019-01-08 12:05:00,2019-01-08 12:10:00,2019-01-08 10:10:00,2019-01-08 13:24:00,-1,1.1436600000000001,1.1455400000000002,1.140652,1.14486,TIME,18.800000000001038,0.8,-0.63829787234032,-0.7180851063828688,-0.7579787234041432,-0.7978723404254175
