event_time,utc_time,tag,action,order_type,volume,price,sl,tp,reason,retcode,deal,order,symbol,position_id,entry_price,initial_sl,initial_tp,risk_pts,initial_risk_account,close_source,deal_reason,achievedr,net_profit,swap,commission,fee,deal_profit,deal_commission,deal_swap,deal_fee,deal_net,is_final_close,engine_name,hypothesis_id
2016.01.04 13:05:00,2016.01.04 11:05:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,SELL,3.08000000,1.08999,1.09080,1.08270,DEAL_REASON_EXPERT,0,2,2,EURUSD,2,1.08999,1.09080,1.08270,81.0000,249.48000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.04938272,-12.32000000,0.00000000,-12.32000000,0.00000000,0.00000000,-12.32000000,0.00000000,0.00000000,-12.32000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.04 13:24:27,2016.01.04 11:24:27,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,SELL,3.08000000,1.09080,1.09080,1.08270,DEAL_REASON_SL,0,3,3,EURUSD,2,1.08999,1.09080,1.08270,81.0000,249.48000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.04938272,-261.80000000,0.00000000,0.00000000,0.00000000,-249.48000000,0.00000000,0.00000000,0.00000000,-249.48000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.05 10:05:00,2016.01.05 08:05:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,2.22000000,1.08173,1.08061,1.08386,DEAL_REASON_EXPERT,0,4,4,EURUSD,4,1.08173,1.08061,1.08386,112.0000,248.64000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.03571429,-8.88000000,0.00000000,-8.88000000,0.00000000,0.00000000,-8.88000000,0.00000000,0.00000000,-8.88000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.05 10:29:31,2016.01.05 08:29:31,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,BUY,2.22000000,1.08056,1.08061,1.08386,DEAL_REASON_SL,0,5,5,EURUSD,4,1.08173,1.08061,1.08386,112.0000,248.64000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.08035714,-268.62000000,0.00000000,0.00000000,0.00000000,-259.74000000,0.00000000,0.00000000,0.00000000,-259.74000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.08 09:55:00,2016.01.08 07:55:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,1.66000000,1.08786,1.08637,1.09272,DEAL_REASON_EXPERT,0,6,6,EURUSD,6,1.08786,1.08637,1.09272,149.0000,247.34000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.02684564,-6.64000000,0.00000000,-6.64000000,0.00000000,0.00000000,-6.64000000,0.00000000,0.00000000,-6.64000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.08 10:07:41,2016.01.08 08:07:41,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE_PARTIAL,BUY,0.83000000,1.08994,1.08637,1.09272,DEAL_REASON_EXPERT,0,7,7,EURUSD,6,1.08786,1.08637,1.09272,149.0000,247.34000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,0.67114094,166.00000000,0.00000000,0.00000000,0.00000000,172.64000000,0.00000000,0.00000000,0.00000000,172.64000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.08 10:21:41,2016.01.08 08:21:41,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,BUY,0.83000000,1.08784,1.08637,1.09272,DEAL_REASON_SL,0,8,8,EURUSD,6,1.08786,1.08637,1.09272,149.0000,247.34000000,DEAL_REASON_SL,DEAL_REASON_SL,0.66442953,164.34000000,0.00000000,0.00000000,0.00000000,-1.66000000,0.00000000,0.00000000,0.00000000,-1.66000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.08 13:25:00,2016.01.08 11:25:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,5.18000000,1.08733,1.08685,1.09272,DEAL_REASON_EXPERT,0,9,9,EURUSD,9,1.08733,1.08685,1.09272,48.0000,248.64000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.08333333,-20.72000000,0.00000000,-20.72000000,0.00000000,0.00000000,-20.72000000,0.00000000,0.00000000,-20.72000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.08 13:43:39,2016.01.08 11:43:39,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,BUY,5.18000000,1.08684,1.08685,1.09272,DEAL_REASON_SL,0,10,10,EURUSD,9,1.08733,1.08685,1.09272,48.0000,248.64000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.10416667,-274.54000000,0.00000000,0.00000000,0.00000000,-253.82000000,0.00000000,0.00000000,0.00000000,-253.82000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.01.12 17:10:00,2016.01.12 15:10:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,2.14000000,1.08450,1.08335,1.08845,DEAL_REASON_EXPERT,0,11,11,EURUSD,11,1.08450,1.08335,1.08845,115.0000,246.10000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.03478261,-8.56000000,0.00000000,-8.56000000,0.00000000,0.00000000,-8.56000000,0.00000000,0.00000000,-8.56000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
