case_id,case_kind,hypothesis_id,run_id,side,direction,stratum,anomaly_tag,image,image_sha256,position_id,entry_time_server,entry,sl,tp,exit_time_server,exit,net_usd,net_R,hold_minutes,decision_bar_server,decision_bar_utc,failed_gates,active_gates,normalized_distance,near_miss_rank,offline_full_signal_unexecuted,trade_fields_forbidden,telemetry_planned_stop,telemetry_planned_target
010-E001-P2,EXECUTED,HYP-MZMS-XAU-M5-010,20260722_024229,SELL,-1,POPULATION_FULL,FAST_STOP,010-E001-P2_forensics.png,ABB264902A70CA6EE89F26F4EFDDE985257620EA13EFB1A4F573BDF62F511FBB,2,2020.07.07 17:00:00,1784.92,1787.14,1781.3680000000002,2020.07.07 17:00:57,1787.14,-9.02,-0.9019999999999999,0.95,2020.07.07 17:00:00,2020.07.07 14:00:00,,,,,,False,1787.14,1781.37
010-E002-P4,EXECUTED,HYP-MZMS-XAU-M5-010,20260722_024229,BUY,1,POPULATION_FULL,TIME_EXIT_LIKE,010-E002-P4_forensics.png,0C44798A52B1680467DB96F1FE7566EE46ACB1D1926A7946DBBBC7778773F0D3,4,2023.06.20 17:35:00,1931.42,1927.9,1937.0520000000001,2023.06.20 18:50:00,1935.41,7.9,0.7900712644280514,75.0,2023.06.20 17:35:00,2023.06.20 14:35:00,,,,,,False,1927.9,1937.05
010-N001-B105439,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,BUY,1,,,010-N001-B105439_forensics.png,2D1DC2367F4CFC0F34EB9FE4F788657CBB27BF1386A1A5FC62928CF0BAF596BC,,,,,,,,,,,2018.07.05 12:55:00,2018.07.05 09:55:00,1,6,0.0,1,False,True,,
010-N002-B106001,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,SELL,-1,,,010-N002-B106001_forensics.png,D3509E0C8E2FE041ED7C2C475BDEB821D1191D1E1FC1D8ED47243F3E0FD6FD02,,,,,,,,,,,2018.07.09 14:05:00,2018.07.09 11:05:00,1,6,0.0,2,False,True,,
010-N003-B119401,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,BUY,1,,,010-N003-B119401_forensics.png,0B74FFB3E3F977FC155C6EC0A04C9BACA94B94702031A7143CD7903E6533CEF5,,,,,,,,,,,2018.09.14 15:50:00,2018.09.14 12:50:00,1,6,0.0,3,False,True,,
010-N004-B138120,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,SELL,-1,,,010-N004-B138120_forensics.png,6A6D4CC71CAF1AC9E547101F7BF57E84B13E901D6F7F39074AD4A9478F6E7D5C,,,,,,,,,,,2018.12.20 12:20:00,2018.12.20 10:20:00,1,6,0.0,4,False,True,,
010-N005-B189041,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,BUY,1,,,010-N005-B189041_forensics.png,F000A5D879A7210C53CCD0096A3DA919AC7A0EB170CDD227D08D964AA7981813,,,,,,,,,,,2019.09.13 15:40:00,2019.09.13 12:40:00,1,6,0.0,5,False,True,,
010-N006-B193655,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,SELL,-1,,,010-N006-B193655_forensics.png,9AB9CA989819D8C951507CEE57F791FED6DFB1A7DEAD229DD07602FD31E21D75,,,,,,,,,,,2019.10.08 12:00:00,2019.10.08 09:00:00,1,6,0.0,6,False,True,,
010-N007-B299283,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,SELL,-1,,,010-N007-B299283_forensics.png,F30A60570E49E538D35DDCBE9227E694F5EA876F85D3A9B06375E698285E897B,,,,,,,,,,,2021.04.13 16:25:00,2021.04.13 13:25:00,1,6,0.0,7,False,True,,
010-N008-B334912,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,BUY,1,,,010-N008-B334912_forensics.png,8719B3D5CDD33AFECE19AA6A9ECE6C74DEB7ABBF50A6815D1E461AA8FF7FC97F,,,,,,,,,,,2021.10.13 15:45:00,2021.10.13 12:45:00,1,6,0.0,8,False,True,,
010-N009-B383654,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,SELL,-1,,,010-N009-B383654_forensics.png,C122EE5D9E8BECAFF7E3C81A45A578047D2FBB6C56081B11F69CEBA81FDE7B1F,,,,,,,,,,,2022.06.22 14:45:00,2022.06.22 11:45:00,1,6,0.0,9,False,True,,
010-N010-B395454,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,BUY,1,,,010-N010-B395454_forensics.png,61E301A09F0BB089ED6A46BB4CD96ED5AC7FCDF5D54FBA90A7D3991B30D1AD6B,,,,,,,,,,,2022.08.22 11:35:00,2022.08.22 08:35:00,1,6,0.0,10,False,True,,
010-N011-B420417,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,BUY,1,,,010-N011-B420417_forensics.png,65EA387DCE39C1821396F7B1090BDFE99AA90299AE70A0EC701E27F08A5712A8,,,,,,,,,,,2022.12.28 11:45:00,2022.12.28 09:45:00,1,6,0.0,11,False,True,,
010-N012-B433683,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,BUY,1,,,010-N012-B433683_forensics.png,CBA1AB03356E82FB84C565EAB3AD3CC07FC018E6113D28DC66EE7C4ACD7FD5DD,,,,,,,,,,,2023.03.07 18:20:00,2023.03.07 16:20:00,1,6,0.0,12,False,True,,
010-N013-B457276,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,BUY,1,,,010-N013-B457276_forensics.png,BDD1230C3D1BD4250FB8D4E534ED20E86A6A96745C43CD94A37EE466C0812CD4,,,,,,,,,,,2023.07.06 15:25:00,2023.07.06 12:25:00,1,6,0.0,13,False,True,,
010-N014-B508291,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,SELL,-1,,,010-N014-B508291_forensics.png,EC4235D335C2C2C769EB9F1A94ACFEB4BB86DE0979E26677820CD387BBC239F7,,,,,,,,,,,2024.03.26 14:10:00,2024.03.26 11:10:00,1,6,0.0,14,False,True,,
010-N015-B508843,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,SELL,-1,,,010-N015-B508843_forensics.png,9787CE69C1314D84F862C54F68BEA24080DA0B2814E375EBB234DBB8AFFD4213,,,,,,,,,,,2024.03.28 14:20:00,2024.03.28 11:20:00,1,6,0.0,15,False,True,,
010-N016-B540367,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,SELL,-1,,,010-N016-B540367_forensics.png,DA49FB00A573B669B590233AAE2A2CF73A702505C4B14C36DA52EE86BFDE26EF,,,,,,,,,,,2024.09.06 15:35:00,2024.09.06 12:35:00,1,6,0.0,16,False,True,,
010-N017-B579158,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,SELL,-1,,,010-N017-B579158_forensics.png,2B8AA3BA683A5AFCFDA3357CFE03995430A5F41A945294F21E096F157EECFCCF,,,,,,,,,,,2025.03.27 14:15:00,2025.03.27 11:15:00,1,6,0.0,17,False,True,,
010-N018-B601611,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,SELL,-1,,,010-N018-B601611_forensics.png,E9C2D27BB27068AED0DA2EE67D7F571FD613782B0DF37905F1C3D21B45D60F80,,,,,,,,,,,2025.07.22 16:40:00,2025.07.22 13:40:00,1,6,0.0,18,False,True,,
010-N019-B76692,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,BUY,1,,,010-N019-B76692_forensics.png,E8C7A8C06E19516D570AB434E81B8A08D2D4B01C214A73D336F52D559A9164D1,,,,,,,,,,,2018.02.06 15:20:00,2018.02.06 13:20:00,2,6,0.0,19,False,True,,
010-N020-B77779,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,BUY,1,,,010-N020-B77779_forensics.png,7CCEC0A43FF67FE2CAC8A4A9D0326A84121305E4D49ADAF3DF2F67FF955B5E89,,,,,,,,,,,2018.02.12 14:35:00,2018.02.12 12:35:00,2,6,0.0,20,False,True,,
010-N021-B83185,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,BUY,1,,,010-N021-B83185_forensics.png,FF8FFE6F485DC3F181DB4FBA5937286388497F60F32471E492D67DF315581E5D,,,,,,,,,,,2018.03.12 12:20:00,2018.03.12 10:20:00,2,6,0.0,21,False,True,,
010-N022-B88310,OFFLINE_NEAR_MISS_DIAGNOSTIC,HYP-MZMS-XAU-M5-010,20260722_024229,SELL,-1,,,010-N022-B88310_forensics.png,CA751D5ABD7A26FEDC5EC681239BCD66DD05D3516D62B053D7CEF2BD1A60E17F,,,,,,,,,,,2018.04.09 15:35:00,2018.04.09 12:35:00,2,6,0.0,22,False,True,,
