case_id,entry_time_utc,direction,entry,sl,tp,exit_time_utc,exit,label,reason
010-E002-P4,2023-06-20 17:35:00,1,1931.42,1927.9,1937.0520000000001,2023-06-20 18:50:00,1935.41,winner,POPULATION_FULL
010-E001-P2,2020-07-07 17:00:00,-1,1784.92,1787.14,1781.3680000000002,2020-07-07 17:00:57,1787.14,loser,POPULATION_FULL
