case_id,entry_time_utc,direction,entry,sl,tp,exit_time_utc,exit,reason,label
VRAS-008-D01-P6174,2022.06.16 08:35:00,-1,1.04394,1.0445600000000002,1.04301,2022.06.16 08:38:31,1.04301,WIN,winner_median
VRAS-008-D02-P6634,2022.09.09 22:00:00,1,1.00438,1.00353,1.005655,2022.09.12 00:05:00,1.0095,WIN,winner_tail
VRAS-008-D03-P972,2019.08.05 09:35:00,-1,1.11222,1.11325,1.110675,2019.08.05 10:51:35,1.11326,LOSS,loser_median
VRAS-008-D04-P5814,2022.04.08 23:10:00,-1,1.08743,1.08819,1.08629,2022.04.11 00:05:00,1.09169,LOSS,loser_tail_weekend_gap
