position_id,symbol,account_currency,round_turn_account_per_lot,source_kind
210,USDJPY,USD,4.00000000,strategy_tester_simulation
212,USDJPY,USD,4.00000000,strategy_tester_simulation
214,USDJPY,USD,4.00000000,strategy_tester_simulation
216,USDJPY,USD,4.00000000,strategy_tester_simulation
218,USDJPY,USD,4.00000000,strategy_tester_simulation
22,USDJPY,USD,4.00000000,strategy_tester_simulation
220,USDJPY,USD,4.00000000,strategy_tester_simulation
222,USDJPY,USD,4.00000000,strategy_tester_simulation
224,USDJPY,USD,4.00000000,strategy_tester_simulation
226,USDJPY,USD,4.00000000,strategy_tester_simulation
228,USDJPY,USD,4.00000000,strategy_tester_simulation
230,USDJPY,USD,4.00000000,strategy_tester_simulation
232,USDJPY,USD,4.00000000,strategy_tester_simulation
234,USDJPY,USD,4.00000000,strategy_tester_simulation
236,USDJPY,USD,4.00000000,strategy_tester_simulation
238,USDJPY,USD,4.00000000,strategy_tester_simulation
24,USDJPY,USD,4.00000000,strategy_tester_simulation
240,USDJPY,USD,4.00000000,strategy_tester_simulation
242,USDJPY,USD,4.00000000,strategy_tester_simulation
244,USDJPY,USD,4.00000000,strategy_tester_simulation
246,USDJPY,USD,4.00000000,strategy_tester_simulation
248,USDJPY,USD,4.00000000,strategy_tester_simulation
250,USDJPY,USD,4.00000000,strategy_tester_simulation
252,USDJPY,USD,4.00000000,strategy_tester_simulation
254,USDJPY,USD,4.00000000,strategy_tester_simulation
256,USDJPY,USD,4.00000000,strategy_tester_simulation
258,USDJPY,USD,4.00000000,strategy_tester_simulation
26,USDJPY,USD,4.00000000,strategy_tester_simulation
260,USDJPY,USD,4.00000000,strategy_tester_simulation
262,USDJPY,USD,4.00000000,strategy_tester_simulation
264,USDJPY,USD,4.00000000,strategy_tester_simulation
266,USDJPY,USD,4.00000000,strategy_tester_simulation
268,USDJPY,USD,4.00000000,strategy_tester_simulation
270,USDJPY,USD,4.00000000,strategy_tester_simulation
272,USDJPY,USD,4.00000000,strategy_tester_simulation
274,USDJPY,USD,4.00000000,strategy_tester_simulation
276,USDJPY,USD,4.00000000,strategy_tester_simulation
278,USDJPY,USD,4.00000000,strategy_tester_simulation
28,USDJPY,USD,4.00000000,strategy_tester_simulation
280,USDJPY,USD,4.00000000,strategy_tester_simulation
282,USDJPY,USD,4.00000000,strategy_tester_simulation
284,USDJPY,USD,4.00000000,strategy_tester_simulation
