sample_id,reference_timestamp,future_timestamp,symbol,side,reference_side,reference_price,future_quote_price,pip_size,latency_ms,actual_delay_ms
Q000019-BUY,2026-07-14T19:32:36.490,2026-07-14T19:32:37.902,USDJPY,BUY,ask,162.15100000,162.15300000,0.01000000,1000,1412
Q000019-SELL,2026-07-14T19:32:36.490,2026-07-14T19:32:37.902,USDJPY,SELL,bid,162.14800000,162.15000000,0.01000000,1000,1412
Q000020-BUY,2026-07-14T19:33:07.637,2026-07-14T19:33:08.639,USDJPY,BUY,ask,162.15300000,162.15300000,0.01000000,1000,1002
Q000020-SELL,2026-07-14T19:33:07.637,2026-07-14T19:33:08.639,USDJPY,SELL,bid,162.15000000,162.15100000,0.01000000,1000,1002
Q000021-BUY,2026-07-14T19:33:55.542,2026-07-14T19:33:57.027,USDJPY,BUY,ask,162.16000000,162.16000000,0.01000000,1000,1485
Q000021-SELL,2026-07-14T19:33:55.542,2026-07-14T19:33:57.027,USDJPY,SELL,bid,162.15800000,162.15700000,0.01000000,1000,1485
Q000022-BUY,2026-07-14T19:33:57.027,2026-07-14T19:33:58.063,USDJPY,BUY,ask,162.16000000,162.15900000,0.01000000,1000,1036
Q000022-SELL,2026-07-14T19:33:57.027,2026-07-14T19:33:58.063,USDJPY,SELL,bid,162.15700000,162.15700000,0.01000000,1000,1036
Q000023-BUY,2026-07-14T19:34:12.482,2026-07-14T19:34:13.806,USDJPY,BUY,ask,162.15900000,162.15300000,0.01000000,1000,1324
Q000023-SELL,2026-07-14T19:34:12.482,2026-07-14T19:34:13.806,USDJPY,SELL,bid,162.15600000,162.15100000,0.01000000,1000,1324
Q000024-BUY,2026-07-14T19:34:20.396,2026-07-14T19:34:21.845,USDJPY,BUY,ask,162.15200000,162.15200000,0.01000000,1000,1449
Q000024-SELL,2026-07-14T19:34:20.396,2026-07-14T19:34:21.845,USDJPY,SELL,bid,162.15000000,162.15000000,0.01000000,1000,1449
Q000025-BUY,2026-07-14T19:34:47.789,2026-07-14T19:34:49.188,USDJPY,BUY,ask,162.15100000,162.15000000,0.01000000,1000,1399
Q000025-SELL,2026-07-14T19:34:47.789,2026-07-14T19:34:49.188,USDJPY,SELL,bid,162.14900000,162.14800000,0.01000000,1000,1399
Q000026-BUY,2026-07-14T19:35:39.610,2026-07-14T19:35:40.792,USDJPY,BUY,ask,162.13900000,162.13800000,0.01000000,1000,1182
Q000026-SELL,2026-07-14T19:35:39.610,2026-07-14T19:35:40.792,USDJPY,SELL,bid,162.13700000,162.13600000,0.01000000,1000,1182
Q000027-BUY,2026-07-14T19:36:04.509,2026-07-14T19:36:05.877,USDJPY,BUY,ask,162.13700000,162.13600000,0.01000000,1000,1368
Q000027-SELL,2026-07-14T19:36:04.509,2026-07-14T19:36:05.877,USDJPY,SELL,bid,162.13500000,162.13400000,0.01000000,1000,1368
Q000028-BUY,2026-07-14T19:36:10.846,2026-07-14T19:36:12.335,USDJPY,BUY,ask,162.12700000,162.12700000,0.01000000,1000,1489
Q000028-SELL,2026-07-14T19:36:10.846,2026-07-14T19:36:12.335,USDJPY,SELL,bid,162.12500000,162.12500000,0.01000000,1000,1489
Q000029-BUY,2026-07-14T19:36:25.035,2026-07-14T19:36:26.437,USDJPY,BUY,ask,162.12500000,162.12500000,0.01000000,1000,1402
Q000029-SELL,2026-07-14T19:36:25.035,2026-07-14T19:36:26.437,USDJPY,SELL,bid,162.12200000,162.12300000,0.01000000,1000,1402
Q000030-BUY,2026-07-14T19:36:29.310,2026-07-14T19:36:30.750,USDJPY,BUY,ask,162.12500000,162.12600000,0.01000000,1000,1440
Q000030-SELL,2026-07-14T19:36:29.310,2026-07-14T19:36:30.750,USDJPY,SELL,bid,162.12300000,162.12400000,0.01000000,1000,1440
Q000031-BUY,2026-07-14T19:37:10.234,2026-07-14T19:37:11.371,USDJPY,BUY,ask,162.12300000,162.12200000,0.01000000,1000,1137
Q000031-SELL,2026-07-14T19:37:10.234,2026-07-14T19:37:11.371,USDJPY,SELL,bid,162.12000000,162.12000000,0.01000000,1000,1137
Q000032-BUY,2026-07-14T19:37:15.058,2026-07-14T19:37:16.190,USDJPY,BUY,ask,162.11900000,162.11900000,0.01000000,1000,1132
Q000032-SELL,2026-07-14T19:37:15.058,2026-07-14T19:37:16.190,USDJPY,SELL,bid,162.11500000,162.11700000,0.01000000,1000,1132
Q000033-BUY,2026-07-14T19:37:16.190,2026-07-14T19:37:17.581,USDJPY,BUY,ask,162.11900000,162.11800000,0.01000000,1000,1391
Q000033-SELL,2026-07-14T19:37:16.190,2026-07-14T19:37:17.581,USDJPY,SELL,bid,162.11700000,162.11600000,0.01000000,1000,1391
Q000034-BUY,2026-07-14T19:37:31.134,2026-07-14T19:37:32.320,USDJPY,BUY,ask,162.11900000,162.11800000,0.01000000,1000,1186
Q000034-SELL,2026-07-14T19:37:31.134,2026-07-14T19:37:32.320,USDJPY,SELL,bid,162.11600000,162.11600000,0.01000000,1000,1186
Q000035-BUY,2026-07-14T19:37:37.779,2026-07-14T19:37:38.851,USDJPY,BUY,ask,162.11700000,162.11800000,0.01000000,1000,1072
Q000035-SELL,2026-07-14T19:37:37.779,2026-07-14T19:37:38.851,USDJPY,SELL,bid,162.11500000,162.11600000,0.01000000,1000,1072
Q000036-BUY,2026-07-14T19:38:04.754,2026-07-14T19:38:06.031,USDJPY,BUY,ask,162.12300000,162.12100000,0.01000000,1000,1277
Q000036-SELL,2026-07-14T19:38:04.754,2026-07-14T19:38:06.031,USDJPY,SELL,bid,162.12100000,162.11900000,0.01000000,1000,1277
Q000037-BUY,2026-07-14T19:38:50.093,2026-07-14T19:38:51.580,USDJPY,BUY,ask,162.11700000,162.11900000,0.01000000,1000,1487
Q000037-SELL,2026-07-14T19:38:50.093,2026-07-14T19:38:51.580,USDJPY,SELL,bid,162.11500000,162.11700000,0.01000000,1000,1487
Q000038-BUY,2026-07-14T19:39:06.728,2026-07-14T19:39:08.111,USDJPY,BUY,ask,162.12300000,162.12200000,0.01000000,1000,1383
Q000038-SELL,2026-07-14T19:39:06.728,2026-07-14T19:39:08.111,USDJPY,SELL,bid,162.12000000,162.11900000,0.01000000,1000,1383
Q000039-BUY,2026-07-14T19:39:12.816,2026-07-14T19:39:14.230,USDJPY,BUY,ask,162.12100000,162.12200000,0.01000000,1000,1414
Q000039-SELL,2026-07-14T19:39:12.816,2026-07-14T19:39:14.230,USDJPY,SELL,bid,162.11900000,162.12000000,0.01000000,1000,1414
Q000040-BUY,2026-07-14T19:39:19.092,2026-07-14T19:39:20.243,USDJPY,BUY,ask,162.12100000,162.12100000,0.01000000,1000,1151
Q000040-SELL,2026-07-14T19:39:19.092,2026-07-14T19:39:20.243,USDJPY,SELL,bid,162.11900000,162.11900000,0.01000000,1000,1151
Q000041-BUY,2026-07-14T19:39:27.286,2026-07-14T19:39:28.768,USDJPY,BUY,ask,162.11900000,162.11700000,0.01000000,1000,1482
Q000041-SELL,2026-07-14T19:39:27.286,2026-07-14T19:39:28.768,USDJPY,SELL,bid,162.11600000,162.11500000,0.01000000,1000,1482
Q000042-BUY,2026-07-14T19:39:43.348,2026-07-14T19:39:44.813,USDJPY,BUY,ask,162.11800000,162.11800000,0.01000000,1000,1465
Q000042-SELL,2026-07-14T19:39:43.348,2026-07-14T19:39:44.813,USDJPY,SELL,bid,162.11400000,162.11400000,0.01000000,1000,1465
Q000043-BUY,2026-07-14T19:40:06.215,2026-07-14T19:40:07.333,USDJPY,BUY,ask,162.11800000,162.11900000,0.01000000,1000,1118
Q000043-SELL,2026-07-14T19:40:06.215,2026-07-14T19:40:07.333,USDJPY,SELL,bid,162.11400000,162.11500000,0.01000000,1000,1118
Q000044-BUY,2026-07-14T19:40:35.590,2026-07-14T19:40:36.693,USDJPY,BUY,ask,162.11100000,162.11300000,0.01000000,1000,1103
Q000044-SELL,2026-07-14T19:40:35.590,2026-07-14T19:40:36.693,USDJPY,SELL,bid,162.10700000,162.10900000,0.01000000,1000,1103
