case_id,position_id,side,direction,entry_time_server,entry,sl,tp,exit_time_server,exit,net_usd,net_R,hold_minutes,risk_pts,recomputed_signal_parity
B-078-P5970,5970,SELL,-1,2022.09.09 17:50:00,1714.62,1717.75,1709.6119999999999,2022.09.09 18:35:42,1717.76,-9.520000000000001,-0.9835092768066198,45.7,313.0,False
B-079-P2010,2010,BUY,1,2019.08.30 18:05:00,1529.78,1526.61,1534.8519999999999,2019.08.30 19:00:39,1526.61,-9.610000000000001,-0.9822770039549683,55.65,317.0,False
B-080-P7128,7128,BUY,1,2023.08.04 19:30:00,1942.74,1940.38,1946.516,2023.08.04 20:45:00,1941.85,-3.72,-0.386782196706612,75.0,236.0,False
B-081-P6838,6838,BUY,1,2023.05.22 17:10:00,1975.92,1969.8300000000002,1985.664,2023.05.22 17:24:31,1969.83,-6.13,-0.6361914033209606,14.516666666666667,609.0,True
B-082-P4090,4090,SELL,-1,2021.03.29 18:45:00,1711.2,1713.77,1707.088,2021.03.29 19:10:26,1713.77,-7.81,-0.8044342972880161,25.433333333333334,257.0,True
B-083-P5736,5736,SELL,-1,2022.07.11 13:50:00,1735.88,1737.5700000000002,1733.1760000000002,2022.07.11 14:09:39,1737.59,-8.73,-0.9014761904958595,19.65,169.0,True
B-084-P7688,7688,BUY,1,2024.01.02 10:15:00,2074.13,2071.9100000000003,2077.6820000000002,2024.01.02 10:33:01,2071.91,-9.040000000000001,-0.9406132777761073,18.016666666666666,222.0,True
B-085-P1042,1042,BUY,1,2018.11.22 14:35:00,1228.27,1227.3,1229.822,2018.11.22 15:50:00,1227.71,-5.84,-0.5905686589662177,75.0,97.0,False
B-086-P2084,2084,BUY,1,2019.09.19 18:15:00,1500.45,1498.8,1503.0900000000001,2019.09.19 18:16:34,1498.76,-8.6,-0.8796338677450023,1.5666666666666667,165.0,True
B-087-P6354,6354,SELL,-1,2022.12.28 14:40:00,1804.89,1806.51,1802.298,2022.12.28 15:06:14,1806.52,-8.33,-0.8611877070779084,26.233333333333334,162.0,False
B-088-P3204,3204,BUY,1,2020.08.20 19:40:00,1945.06,1941.62,1950.5639999999999,2020.08.20 20:06:26,1941.6,-7.0,-0.719768810258145,26.433333333333334,344.0,False
B-089-P3930,3930,SELL,-1,2021.02.19 10:20:00,1771.57,1775.61,1765.106,2021.02.19 11:35:00,1774.15,-5.24,-0.5397377822009725,75.0,404.0,False
B-090-P2156,2156,BUY,1,2019.10.09 19:40:00,1506.3,1505.03,1508.3319999999999,2019.10.09 19:49:24,1505.0,-9.32,-0.9536858628350052,9.4,127.0,False
B-091-P4452,4452,BUY,1,2021.07.08 14:50:00,1815.59,1812.33,1820.8059999999998,2021.07.08 15:05:55,1812.32,-6.62,-0.6833321256315402,15.916666666666666,326.0,True
B-092-P6040,6040,SELL,-1,2022.09.29 11:25:00,1644.92,1648.42,1639.3200000000002,2022.09.29 12:28:37,1648.43,-7.08,-0.7312546284389883,63.61666666666667,350.0,True
B-093-P8988,8988,SELL,-1,2025.01.03 11:30:00,2653.83,2657.1,2648.598,2025.01.03 12:07:42,2657.1,-6.64,-0.6936293487112909,37.7,327.0,True
B-094-P1720,1720,BUY,1,2019.06.14 12:10:00,1353.86,1352.9399999999998,1355.3319999999999,2019.06.14 12:13:33,1352.91,-9.780000000000001,-0.9962297085681767,3.55,92.0,True
B-095-P7846,7846,BUY,1,2024.02.16 15:25:00,2006.51,2005.18,2008.638,2024.02.16 15:30:20,2005.17,-9.66,-1.0059607862739464,5.333333333333333,133.0,True
B-096-P402,402,SELL,-1,2018.05.21 14:50:00,1285.02,1286.17,1283.18,2018.05.21 15:52:31,1286.25,-10.04,-1.0077112999465732,62.516666666666666,115.0,True
B-097-P6102,6102,BUY,1,2022.10.12 12:20:00,1670.41,1668.15,1674.026,2022.10.12 13:35:00,1668.86,-6.34,-0.6546901059493053,75.0,226.0,False
B-098-P8446,8446,BUY,1,2024.07.30 17:25:00,2392.52,2387.21,2401.016,2024.07.30 18:23:37,2387.21,-5.35,-0.5581467358379133,58.61666666666667,531.0,True
B-099-P2486,2486,SELL,-1,2020.01.14 15:00:00,1543.12,1544.62,1540.7199999999998,2020.01.14 15:30:22,1544.63,-9.24,-0.9464227422517016,30.366666666666667,150.0,False
B-100-P5724,5724,SELL,-1,2022.07.07 14:20:00,1742.96,1745.58,1738.768,2022.07.07 15:19:36,1745.59,-7.99,-0.8247054929204866,59.6,262.0,False
