position_id,direction,break_bar_open,actual_decision,start,end,duration_seconds,filename,source_status,causal_records,records_early_60s,records_late_60s,records_final_30s,aligned_imbalance_last,aligned_imbalance_median_early60,aligned_imbalance_median_late60,aligned_imbalance_transition,aligned_persistence_full,aligned_persistence_final30,spread_ticks_last,staleness_ms,book_transition_score,quality_eligible,quality_reason,decision_time_server,open_time_server,break_bar_open_utc,actual_decision_utc,decision_year,volume,initial_risk_account,net,realized_r
1096,BUY,2021-01-03T23:30:00Z,2021-01-03T23:35:00Z,2021-01-03T23:30:00Z,2021-01-03T23:35:00Z,300,CTRL_PID000001096_20210103T233500Z.dbn.zst,nonempty,1536,270,244,124,-0.08287292817679558,0.045548756415317804,0.03317535545023697,-0.012373400965080834,0.583984375,0.6612903225806451,0.9999999999976694,1561.285632,0.04409932588001882,True,PASS,2021.01.04 01:30:00,2021.01.04 01:35:00,2021-01-03T23:30:00Z,2021-01-03T23:35:00Z,2021,0.19,9.69,-3.8,-0.39215686274509803
1098,BUY,2021-01-05T00:30:00Z,2021-01-05T00:35:00Z,2021-01-05T00:30:00Z,2021-01-05T00:35:00Z,300,CTRL_PID000001098_20210105T003500Z.dbn.zst,nonempty,1320,304,228,172,0.044585987261146494,-0.08506493506493507,-0.09809936244436425,-0.013034427379429184,0.2431818181818182,0.040697674418604654,0.9999999999976694,725.479936,-0.15945114520989656,True,PASS,2021.01.05 02:30:00,2021.01.05 02:35:00,2021-01-05T00:30:00Z,2021-01-05T00:35:00Z,2021,0.27,9.72,18.36,1.8888888888888886
1100,SELL,2021-01-06T00:05:00Z,2021-01-06T00:10:00Z,2021-01-06T00:05:00Z,2021-01-06T00:10:00Z,300,CTRL_PID000001100_20210106T001000Z.dbn.zst,nonempty,3469,552,1187,684,0.046875,0.05928853754940711,0.00425531914893617,-0.05503321840047094,0.5531853560103777,0.4605263157894737,1.0000000000021103,1308.123136,0.0001398985921874027,True,PASS,2021.01.06 02:05:00,2021.01.06 02:10:00,2021-01-06T00:05:00Z,2021-01-06T00:10:00Z,2021,0.1,9.0,-9.6,-1.0666666666666667
1102,SELL,2021-01-07T00:00:00Z,2021-01-07T00:05:00Z,2021-01-07T00:00:00Z,2021-01-07T00:05:00Z,300,CTRL_PID000001102_20210107T000500Z.dbn.zst,nonempty,3885,1347,393,261,0.014084507042253521,-0.008264462809917356,0.013986013986013986,0.02225047679593134,0.5073359073359074,0.5938697318007663,1.0000000000021103,3372.940544,0.01828969556242286,True,PASS,2021.01.07 02:00:00,2021.01.07 02:05:00,2021-01-07T00:00:00Z,2021-01-07T00:05:00Z,2021,0.17,9.35,-10.03,-1.0727272727272728
1104,SELL,2021-01-08T00:00:00Z,2021-01-08T00:05:00Z,2021-01-08T00:00:00Z,2021-01-08T00:05:00Z,300,CTRL_PID000001104_20210108T000500Z.dbn.zst,nonempty,4129,800,1370,272,0.061068702290076333,0.047619047619047616,0.021739130434782608,-0.02587991718426501,0.6376846694114798,0.8382352941176471,1.0000000000021103,2582.105344,0.06133715872230307,True,PASS,2021.01.08 02:00:00,2021.01.08 02:05:00,2021-01-08T00:00:00Z,2021-01-08T00:05:00Z,2021,0.22,9.68,-10.56,-1.090909090909091
1106,BUY,2021-01-11T00:55:00Z,2021-01-11T01:00:00Z,2021-01-11T00:55:00Z,2021-01-11T01:00:00Z,300,CTRL_PID000001106_20210111T010000Z.dbn.zst,nonempty,2483,511,697,288,0.055944055944055944,-0.06790123456790123,0.06227106227106227,0.1301722968389635,0.5900120821586791,0.8055555555555556,0.9999999999976694,96.418304,0.12565995506658684,True,PASS,2021.01.11 02:55:00,2021.01.11 03:00:00,2021-01-11T00:55:00Z,2021-01-11T01:00:00Z,2021,0.46,9.66,-11.5,-1.1904761904761905
1108,SELL,2021-01-12T00:05:00Z,2021-01-12T00:10:00Z,2021-01-12T00:05:00Z,2021-01-12T00:10:00Z,300,CTRL_PID000001108_20210112T001000Z.dbn.zst,nonempty,2375,1182,328,231,-0.06756756756756757,-0.0546875,-0.00625,0.0484375,0.42947368421052634,0.35064935064935066,0.9999999999976694,610.070272,-0.01260690789473683,True,PASS,2021.01.12 02:05:00,2021.01.12 02:10:00,2021-01-12T00:05:00Z,2021-01-12T00:10:00Z,2021,0.17,9.52,-10.2,-1.0714285714285714
1110,BUY,2021-01-13T00:00:00Z,2021-01-13T00:05:00Z,2021-01-13T00:00:00Z,2021-01-13T00:05:00Z,300,CTRL_PID000001110_20210113T000500Z.dbn.zst,nonempty,3260,166,447,149,-0.03821656050955414,0.07910783055198972,-0.017543859649122806,-0.09665169020111253,0.3273006134969325,0.31543624161073824,1.0000000000021103,613.296128,-0.13906150326437072,True,PASS,2021.01.13 02:00:00,2021.01.13 02:05:00,2021-01-13T00:00:00Z,2021-01-13T00:05:00Z,2021,0.21,9.66,-10.709999999999999,-1.1086956521739129
1112,BUY,2021-01-14T00:10:00Z,2021-01-14T00:15:00Z,2021-01-14T00:10:00Z,2021-01-14T00:15:00Z,300,CTRL_PID000001112_20210114T001500Z.dbn.zst,nonempty,2851,378,639,303,0.024054982817869417,-0.056856187290969896,0.03597122302158273,0.09282741031255262,0.573482988425114,0.7293729372937293,1.0000000000021103,1844.395264,0.09214800512422901,True,PASS,2021.01.14 02:10:00,2021.01.14 02:15:00,2021-01-14T00:10:00Z,2021-01-14T00:15:00Z,2021,0.21,9.66,1.0499999999999998,0.10869565217391303
1114,BUY,2021-01-15T00:10:00Z,2021-01-15T00:15:00Z,2021-01-15T00:10:00Z,2021-01-15T00:15:00Z,300,CTRL_PID000001114_20210115T001500Z.dbn.zst,nonempty,856,118,317,281,-0.09025270758122744,0.061488673139158574,-0.013422818791946308,-0.07491149193110488,0.6495327102803738,0.41637010676156583,1.0000000000021103,1533.013248,0.0339549044766479,True,PASS,2021.01.15 02:10:00,2021.01.15 02:15:00,2021-01-15T00:10:00Z,2021-01-15T00:15:00Z,2021,0.39,9.75,17.94,1.84
