case_id,sample_rank,position_id,entry_time_utc,decision_time_utc,direction,direction_label,entry,sl,tp,exit_time_utc,exit,reason,label,net_account,net_R,volume,risk_points,initial_risk_account,hold_minutes,entry_year
R100_020_PID000000198,20,198,2020-07-13T02:00:00,2020-07-13T01:55:00,1,BUY,1.13161,1.13125,1.13233,2020-07-13T02:10:39,1.13125,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.80000000,-1.1111111111,0.27,36.0,9.72,10.6500,2020
R100_021_PID000000036,21,36,2019-05-20T03:25:00,2019-05-20T03:20:00,-1,SELL,1.1161,1.11655,1.1152,2019-05-20T04:01:59,1.11656,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.00000000,-1.1111111111,0.22,45.0,9.9,36.9833,2019
R100_022_PID000000380,22,380,2021-09-23T05:10:00,2021-09-23T05:05:00,1,BUY,1.16909,1.16878,1.16971,2021-09-23T05:42:25,1.16972,TP_LIKE,WIN_NET_POSITIVE,18.88000000,1.9032258065,0.32,31.0,9.92,32.4167,2021
R100_023_PID000000138,23,138,2020-02-26T02:20:00,2020-02-26T02:15:00,-1,SELL,1.08757,1.08779,1.08713,2020-02-26T02:22:34,1.08713,TP_LIKE,WIN_NET_POSITIVE,18.00000000,1.8181818182,0.45,22.0,9.9,2.5667,2020
R100_024_PID000000516,24,516,2022-11-07T01:30:00,2022-11-07T01:25:00,1,BUY,0.99317,0.99229,0.99493,2022-11-07T03:18:38,0.99229,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.12000000,-1.0454545455,0.11,88.0,9.68,108.6333,2022
R100_025_PID000000438,25,438,2022-04-04T00:25:00,2022-04-04T00:20:00,-1,SELL,1.10378,1.10401,1.10332,2022-04-04T00:25:30,1.10405,SL_LIKE,LOSS_NET_NONPOSITIVE,-13.33000000,-1.3478260870,0.43,23.0,9.89,0.5000,2022
R100_026_PID000000338,26,338,2021-05-25T03:30:00,2021-05-25T03:25:00,1,BUY,1.22163,1.22136,1.22217,2021-05-25T03:59:32,1.22217,TP_LIKE,WIN_NET_POSITIVE,18.00000000,1.8518518519,0.36,27.0,9.72,29.5333,2021
R100_027_PID000000420,27,420,2022-02-01T02:35:00,2022-02-01T02:30:00,-1,SELL,1.12245,1.12294,1.12147,2022-02-01T04:33:59,1.12296,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.00000000,-1.1224489796,0.2,49.0,9.8,118.9833,2022
R100_028_PID000000324,28,324,2021-04-23T03:25:00,2021-04-23T03:20:00,1,BUY,1.20172,1.20147,1.20222,2021-04-23T03:45:24,1.20147,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.31000000,-1.1600000000,0.39,25.0,9.75,20.4000,2021
R100_029_PID000000326,29,326,2021-04-27T03:45:00,2021-04-27T03:40:00,-1,SELL,1.20771,1.20807,1.20699,2021-04-27T04:01:42,1.20809,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.34000000,-1.1666666667,0.27,36.0,9.72,16.7000,2021
R100_030_PID000000132,30,132,2020-02-05T02:15:00,2020-02-05T02:10:00,-1,SELL,1.10437,1.10451,1.10409,2020-02-05T03:43:32,1.10407,TP_LIKE,WIN_NET_POSITIVE,18.46000000,1.8571428571,0.71,14.0,9.94,88.5333,2020
R100_031_PID000000222,31,222,2020-09-02T03:40:00,2020-09-02T03:35:00,-1,SELL,1.19169,1.19216,1.19075,2020-09-02T03:54:29,1.19075,TP_LIKE,WIN_NET_POSITIVE,18.90000000,1.9148936170,0.21,47.0,9.87,14.4833,2020
