sample_id,reference_timestamp,future_timestamp,symbol,side,reference_side,reference_price,future_quote_price,pip_size,latency_ms,actual_delay_ms
Q000019-BUY,2026-07-14T16:49:39.492,2026-07-14T16:49:40.636,EURUSD,BUY,ask,1.14500000,1.14501000,0.00010000,1000,1144
Q000019-SELL,2026-07-14T16:49:39.492,2026-07-14T16:49:40.636,EURUSD,SELL,bid,1.14498000,1.14499000,0.00010000,1000,1144
Q000020-BUY,2026-07-14T16:49:40.636,2026-07-14T16:49:42.079,EURUSD,BUY,ask,1.14501000,1.14500000,0.00010000,1000,1443
Q000020-SELL,2026-07-14T16:49:40.636,2026-07-14T16:49:42.079,EURUSD,SELL,bid,1.14499000,1.14498000,0.00010000,1000,1443
Q000021-BUY,2026-07-14T16:49:42.079,2026-07-14T16:49:43.093,EURUSD,BUY,ask,1.14500000,1.14500000,0.00010000,1000,1014
Q000021-SELL,2026-07-14T16:49:42.079,2026-07-14T16:49:43.093,EURUSD,SELL,bid,1.14498000,1.14498000,0.00010000,1000,1014
Q000022-BUY,2026-07-14T16:49:47.237,2026-07-14T16:49:48.563,EURUSD,BUY,ask,1.14501000,1.14499000,0.00010000,1000,1326
Q000022-SELL,2026-07-14T16:49:47.237,2026-07-14T16:49:48.563,EURUSD,SELL,bid,1.14499000,1.14497000,0.00010000,1000,1326
Q000023-BUY,2026-07-14T16:49:49.156,2026-07-14T16:49:50.639,EURUSD,BUY,ask,1.14500000,1.14504000,0.00010000,1000,1483
Q000023-SELL,2026-07-14T16:49:49.156,2026-07-14T16:49:50.639,EURUSD,SELL,bid,1.14498000,1.14502000,0.00010000,1000,1483
Q000024-BUY,2026-07-14T16:49:52.695,2026-07-14T16:49:53.889,EURUSD,BUY,ask,1.14505000,1.14506000,0.00010000,1000,1194
Q000024-SELL,2026-07-14T16:49:52.695,2026-07-14T16:49:53.889,EURUSD,SELL,bid,1.14503000,1.14504000,0.00010000,1000,1194
Q000025-BUY,2026-07-14T16:49:53.889,2026-07-14T16:49:54.990,EURUSD,BUY,ask,1.14506000,1.14511000,0.00010000,1000,1101
Q000025-SELL,2026-07-14T16:49:53.889,2026-07-14T16:49:54.990,EURUSD,SELL,bid,1.14504000,1.14509000,0.00010000,1000,1101
Q000026-BUY,2026-07-14T16:50:00.470,2026-07-14T16:50:01.591,EURUSD,BUY,ask,1.14524000,1.14529000,0.00010000,1000,1121
Q000026-SELL,2026-07-14T16:50:00.470,2026-07-14T16:50:01.591,EURUSD,SELL,bid,1.14522000,1.14527000,0.00010000,1000,1121
Q000027-BUY,2026-07-14T16:50:01.591,2026-07-14T16:50:02.646,EURUSD,BUY,ask,1.14529000,1.14525000,0.00010000,1000,1055
Q000027-SELL,2026-07-14T16:50:01.591,2026-07-14T16:50:02.646,EURUSD,SELL,bid,1.14527000,1.14523000,0.00010000,1000,1055
Q000028-BUY,2026-07-14T16:50:03.558,2026-07-14T16:50:04.840,EURUSD,BUY,ask,1.14524000,1.14516000,0.00010000,1000,1282
Q000028-SELL,2026-07-14T16:50:03.558,2026-07-14T16:50:04.840,EURUSD,SELL,bid,1.14522000,1.14514000,0.00010000,1000,1282
Q000029-BUY,2026-07-14T16:50:04.840,2026-07-14T16:50:05.894,EURUSD,BUY,ask,1.14516000,1.14516000,0.00010000,1000,1054
Q000029-SELL,2026-07-14T16:50:04.840,2026-07-14T16:50:05.894,EURUSD,SELL,bid,1.14514000,1.14514000,0.00010000,1000,1054
Q000030-BUY,2026-07-14T16:50:05.894,2026-07-14T16:50:06.899,EURUSD,BUY,ask,1.14516000,1.14518000,0.00010000,1000,1005
Q000030-SELL,2026-07-14T16:50:05.894,2026-07-14T16:50:06.899,EURUSD,SELL,bid,1.14514000,1.14516000,0.00010000,1000,1005
Q000031-BUY,2026-07-14T16:50:12.044,2026-07-14T16:50:13.243,EURUSD,BUY,ask,1.14524000,1.14529000,0.00010000,1000,1199
Q000031-SELL,2026-07-14T16:50:12.044,2026-07-14T16:50:13.243,EURUSD,SELL,bid,1.14522000,1.14527000,0.00010000,1000,1199
Q000032-BUY,2026-07-14T16:50:13.243,2026-07-14T16:50:14.333,EURUSD,BUY,ask,1.14529000,1.14530000,0.00010000,1000,1090
Q000032-SELL,2026-07-14T16:50:13.243,2026-07-14T16:50:14.333,EURUSD,SELL,bid,1.14527000,1.14527000,0.00010000,1000,1090
Q000033-BUY,2026-07-14T16:50:14.636,2026-07-14T16:50:16.094,EURUSD,BUY,ask,1.14530000,1.14529000,0.00010000,1000,1458
Q000033-SELL,2026-07-14T16:50:14.636,2026-07-14T16:50:16.094,EURUSD,SELL,bid,1.14528000,1.14527000,0.00010000,1000,1458
Q000034-BUY,2026-07-14T16:50:18.740,2026-07-14T16:50:20.045,EURUSD,BUY,ask,1.14528000,1.14529000,0.00010000,1000,1305
Q000034-SELL,2026-07-14T16:50:18.740,2026-07-14T16:50:20.045,EURUSD,SELL,bid,1.14526000,1.14527000,0.00010000,1000,1305
Q000035-BUY,2026-07-14T16:50:20.642,2026-07-14T16:50:21.796,EURUSD,BUY,ask,1.14537000,1.14530000,0.00010000,1000,1154
Q000035-SELL,2026-07-14T16:50:20.642,2026-07-14T16:50:21.796,EURUSD,SELL,bid,1.14535000,1.14528000,0.00010000,1000,1154
Q000036-BUY,2026-07-14T16:50:23.643,2026-07-14T16:50:24.647,EURUSD,BUY,ask,1.14532000,1.14531000,0.00010000,1000,1004
Q000036-SELL,2026-07-14T16:50:23.643,2026-07-14T16:50:24.647,EURUSD,SELL,bid,1.14530000,1.14529000,0.00010000,1000,1004
