case_id,case_kind,hypothesis_id,run_id,side,direction,stratum,anomaly_tag,image,image_sha256,position_id,entry_time_server,entry,sl,tp,exit_time_server,exit,net_usd,net_R,hold_minutes,decision_bar_server,decision_bar_utc,failed_gates,active_gates,normalized_distance,near_miss_rank,offline_full_signal_unexecuted,trade_fields_forbidden,telemetry_planned_stop,telemetry_planned_target
009-E001-P8,EXECUTED,HYP-MZMS-XAU-M5-009,20260722_023841,SELL,-1,LOSER,,009-E001-P8_forensics.png,5354FAA9B7F2AA6F818689C7642D5A6212751C8A6FE6A846755CCC924A65C20A,8,2018.02.08 17:20:00,1312.82,1316.78,1306.484,2018.02.08 18:18:30,1316.78,-7.98,-0.7980274521443538,58.5,2018.02.08 17:20:00,2018.02.08 15:20:00,,,,,,False,1316.78,1306.48
009-E002-P22,EXECUTED,HYP-MZMS-XAU-M5-009,20260722_023841,SELL,-1,WINNER,TIME_EXIT_LIKE,009-E002-P22_forensics.png,D6462F26EAAA005DE37D820A136F1C91B3728B4B557E3FED25332ECF9710F880,22,2018.03.21 12:40:00,1315.84,1317.51,1313.168,2018.03.21 13:55:00,1315.59,1.1099999999999999,0.11101718546030924,75.0,2018.03.21 12:40:00,2018.03.21 10:40:00,,,,,,False,1317.51,1313.17
009-E003-P34,EXECUTED,HYP-MZMS-XAU-M5-009,20260722_023841,BUY,1,LOSER,QUICK_ADVERSE,009-E003-P34_forensics.png,FC96559CCF3684CBA1D1C4A8F5F542A9B397FDD7F20C92A458C26C3B5638FDD6,34,2018.04.04 13:20:00,1344.63,1342.3400000000001,1348.294,2018.04.04 13:25:41,1342.32,-9.34,-0.934213374334698,5.683333333333334,2018.04.04 13:20:00,2018.04.04 10:20:00,,,,,,False,1342.34,1348.29
009-E004-P50,EXECUTED,HYP-MZMS-XAU-M5-009,20260722_023841,SELL,-1,WINNER,TIME_EXIT_LIKE,009-E004-P50_forensics.png,0624F097966C3094D014E6A1C90F48E4B79EC2DCDD2D5D3F142EDBF42D1FF357,50,2018.04.25 13:10:00,1324.16,1325.49,1322.0320000000002,2018.04.25 14:25:00,1323.9,1.64,0.16406359104789014,75.0,2018.04.25 13:10:00,2018.04.25 10:10:00,,,,,,False,1325.49,1322.03
009-E005-P56,EXECUTED,HYP-MZMS-XAU-M5-009,20260722_023841,BUY,1,ANOMALY:TIME_EXIT_LIKE,TIME_EXIT_LIKE,009-E005-P56_forensics.png,EBE1AFA03EF33BE037F626A9826AEB5A7E9A81F8160C29AF7944F4FD38401D16,56,2018.05.07 11:45:00,1313.91,1311.68,1317.478,2018.05.07 13:00:00,1313.65,-1.1400000000000001,-0.11403707345257945,75.0,2018.05.07 11:45:00,2018.05.07 08:45:00,,,,,,False,1311.68,1317.48
009-E006-P92,EXECUTED,HYP-MZMS-XAU-M5-009,20260722_023841,SELL,-1,FILL:LOSER,TIME_EXIT_LIKE,009-E006-P92_forensics.png,353241C8C10B65FC5E182EAC5FDAF04FE8308D16F513633E402D30156786215A,92,2018.06.08 18:10:00,1297.95,1299.3700000000001,1295.678,2018.06.08 19:25:00,1298.93,-7.04,-0.704529524390532,75.0,2018.06.08 18:10:00,2018.06.08 15:10:00,,,,,,False,1299.37,1295.68
009-E007-P94,EXECUTED,HYP-MZMS-XAU-M5-009,20260722_023841,SELL,-1,LOSER,TIME_EXIT_LIKE,009-E007-P94_forensics.png,A8F374CCAC5EE2352FEACAAC059AEDC2E50750C2C3716C02BDA88C40BFAA9187,94,2018.06.11 12:35:00,1294.98,1296.7,1292.228,2018.06.11 13:50:00,1295.26,-1.52,-0.15212504678846012,75.0,2018.06.11 12:35:00,2018.06.11 09:35:00,,,,,,False,1296.7,1292.23
009-E008-P114,EXECUTED,HYP-MZMS-XAU-M5-009,20260722_023841,BUY,1,FILL:WINNER,TIME_EXIT_LIKE,009-E008-P114_forensics.png,250ECE9E5F3FE6C85DD176BD418D94A393B8AF43FBB91677F733A08D50A8C847,114,2018.07.02 13:45:00,1249.02,1247.8799999999999,1250.844,2018.07.02 15:00:00,1249.14,0.76,0.07608397388197354,75.0,2018.07.02 13:45:00,2018.07.02 10:45:00,,,,,,False,1247.88,1250.84
009-E009-P138,EXECUTED,HYP-MZMS-XAU-M5-009,20260722_023841,SELL,-1,FILL:LOSER,,009-E009-P138_forensics.png,A394676DE89AB00C6C03365D365D3583BFA40194D5B3E7736FFD0973F2CC41CC,138,2018.07.26 14:40:00,1227.58,1228.6799999999998,1225.82,2018.07.26 15:03:26,1228.69,-10.209999999999999,-1.0220025845354292,23.433333333333334,2018.07.26 14:40:00,2018.07.26 11:40:00,,,,,,False,1228.68,1225.82
009-E010-P188,EXECUTED,HYP-MZMS-XAU-M5-009,20260722_023841,SELL,-1,ANOMALY:TIME_EXIT_LIKE,TIME_EXIT_LIKE,009-E010-P188_forensics.png,BFE3C71E58E979E55B2A57B4E76509ABC52813088F277B744B92C3EBDC7E9482,188,2018.09.13 13:15:00,1205.29,1206.81,1202.858,2018.09.13 14:30:00,1205.81,-3.26,-0.32652541204051433,75.0,2018.09.13 13:15:00,2018.09.13 10:15:00,,,,,,False,1206.81,1202.86
