case_id,entry_time_utc,direction,entry,reason,label
HYP018_REJECT_2019_LONG,2019-01-09T07:15:00,1,1.14641,full_bar_tick_sign_opposes_direction,rejection_tick_sign_nonagree
HYP018_REJECT_2024_SHORT,2024-01-10T13:25:00,-1,1.09443,full_bar_tick_sign_opposes_direction,rejection_tick_sign_nonagree
