case_id,position_id,case_kind,telemetry_status,event,direction,entry_time_server,exit_time_server,entry_price,exit_price,stop_price,target_price,net_R,net_usd,exit_class
VRAS-004-ACCEPT-P194,194,TRADE,ORDER_ACCEPTED,TREND_LONG_CONFIRM,1,2024-05-09 15:35:00,2024-05-09 17:15:00,1.07522,1.07679,1.07304,1.07914,0.6566523605150215,163.71,SAFETY_OR_TIME
VRAS-004-REJECT-EXTREME,0,REJECTED_PATH,PATH_CONFIRM_REJECT,PATH_EXTREME_BREAK_REJECT,-1,2023-01-03 07:15:00,2023-01-03 10:15:00,1.06679,1.0588,1.06721,1.0660339999999997,0.0,0.0,NOT_TRADED
