case_id,entry_time_utc,direction,entry,sl,tp,exit_time_utc,exit,reason,label
VRAS-004-D01-P378,2025-07-30 21:45:00,-1,1.14591,1.15072,1.13725,2025-07-30 23:00:00,1.1424,WIN,winner_median
VRAS-004-D02-P138,2023-11-15 17:05:00,1,1.08367,1.08319,1.08576,2023-11-15 17:47:40,1.08578,WIN,winner_tail
VRAS-004-D03-P464,2026-02-23 16:55:00,1,1.18016,1.17924,1.18182,2026-02-23 17:52:41,1.17924,LOSS,loser_median
VRAS-004-D04-P466,2026-03-05 13:25:00,-1,1.16075,1.16187,1.15873,2026-03-05 14:20:21,1.16198,LOSS,loser_tail
