year,trades,mean_initial_risk_account,median_initial_risk_account,min_initial_risk_account,max_initial_risk_account,mean_net_r,net_profit
2018,137,158.7380291970803,191.06,71.4,199.5,-0.12936951963503648,-3927.81
2019,123,38.17243902439024,25.9,4.0,191.1,-0.17126055764227643,-1134.76
2020,159,17.875157232704403,5.6,0.36,189.66,-0.061113767106918244,-175.92999999999995
2021,130,1.4916153846153846,1.2149999999999999,0.28,5.2,-0.05297260361538462,-6.270000000000001
2022,121,5.414132231404959,3.68,0.48,29.04,0.006154901735537202,-7.829999999999993
