bucket,trades,wins,win_rate_pct,net_profit,profit_factor,mean_net_r,median_net_r,avg_win_r,avg_loss_r,payoff_r,breakeven_win_rate_pct,avg_initial_risk_account,median_holding_minutes
LONDON,485,198,40.824742268041234,-2701.46,0.7780045837822203,-0.05755399651546391,-1.025,1.3378115373232322,-1.0202103578397212,1.3113095030284012,43.26551674233791,40.780226804123714,41.68333333333333
OVERLAP,185,75,40.54054054054054,-2551.14,0.6143494639585435,-0.14450685837837837,-1.01520913,1.0742897382666665,-0.9755045379090911,1.1012657517404407,47.59036305482626,55.973405405405394,84.68333333333334
