event_time,action,order_type,volume,price,symbol,position_id,risk_pts,initial_risk_account,deal,deal_profit,deal_commission,deal_swap,deal_fee,deal_net,is_final_close
2024.01.09 15:10:00,OPEN,SELL,1.48000000,2034.77,XAUUSD,2,202.00000000,298.96000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.01.09 15:33:38,CLOSE,SELL,1.48000000,2034.77,XAUUSD,2,202.00000000,298.96000000,3,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
2024.01.22 10:40:00,OPEN,SELL,1.42000000,2022.96,XAUUSD,4,210.00000000,298.20000000,4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.01.22 11:07:42,CLOSE,SELL,1.42000000,2023.03,XAUUSD,4,210.00000000,298.20000000,5,-9.94000000,0.00000000,0.00000000,0.00000000,-9.94000000,1
2024.01.22 15:10:00,OPEN,SELL,0.93000000,2027.45,XAUUSD,6,322.00000000,299.46000000,6,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.01.22 16:40:00,CLOSE,SELL,0.93000000,2022.14,XAUUSD,6,322.00000000,299.46000000,7,493.83000000,0.00000000,0.00000000,0.00000000,493.83000000,1
2024.02.01 15:40:00,OPEN,BUY,0.30000000,2040.27,XAUUSD,8,995.00000000,298.50000000,8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.02.01 17:00:41,CLOSE,BUY,0.30000000,2039.80,XAUUSD,8,995.00000000,298.50000000,9,-14.10000000,0.00000000,0.00000000,0.00000000,-14.10000000,1
2024.02.07 14:50:00,OPEN,BUY,0.95000000,2033.25,XAUUSD,10,315.00000000,299.25000000,10,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.02.07 16:20:00,CLOSE,BUY,0.95000000,2036.99,XAUUSD,10,315.00000000,299.25000000,11,355.30000000,0.00000000,0.00000000,0.00000000,355.30000000,1
2024.02.15 13:00:00,OPEN,SELL,1.17000000,1995.85,XAUUSD,12,257.00000000,300.69000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.02.15 14:30:00,CLOSE,SELL,1.17000000,1997.58,XAUUSD,12,257.00000000,300.69000000,13,-202.41000000,0.00000000,0.00000000,0.00000000,-202.41000000,1
2024.02.26 15:40:00,OPEN,BUY,1.00000000,2034.12,XAUUSD,14,300.00000000,300.00000000,14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.02.26 16:08:28,CLOSE,BUY,1.00000000,2031.12,XAUUSD,14,300.00000000,300.00000000,15,-300.00000000,0.00000000,0.00000000,0.00000000,-300.00000000,1
2024.02.27 11:55:00,OPEN,BUY,1.32000000,2037.16,XAUUSD,16,227.00000000,299.64000000,16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
2024.02.27 12:16:37,CLOSE,BUY,1.32000000,2034.89,XAUUSD,16,227.00000000,299.64000000,17,-299.64000000,0.00000000,0.00000000,0.00000000,-299.64000000,1
2024.03.01 11:15:00,OPEN,BUY,0.58000000,2043.66,XAUUSD,18,514.00000000,298.12000000,18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
