case_id,position_id,entry_time_server,exit_time_server,entry_time_utc,exit_time_utc,server_utc_offset_h,direction,side,entry,sl,tp,exit,volume,initial_risk_account,risk_pips,net_usd,net_r,holding_minutes,weekday_utc,session_utc,selection_reason,label,close_deal_id,exact_exit_class,exact_exit_comment,active_stop_at_exit,telemetry_status,h1_close,h1_ema,rolling_vwap_48,atr14,spread_pips
VRAS-008-R013-P3812,3812,2021.03.08 15:55:00,2021.03.08 16:08:19,2021.03.08 13:55:00,2021.03.08 14:08:19,2,-1,SELL,1.1868,1.18764,1.18554,1.18764,0.58,48.72,8.4,-51.04,-1.0476190476190477,13.316666666666666,Monday,NewYork,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,3813,INITIAL_SL,sl 1.18764,1.18764,ORDER_ACCEPTED,1.18617,1.203,1.187,0.00051,0.1
VRAS-008-R014-P5668,5668,2022.03.16 02:50:00,2022.03.16 04:20:35,2022.03.16 00:50:00,2022.03.16 02:20:35,2,-1,SELL,1.09611,1.09737,1.09422,1.09737,0.38,47.88,12.6,-49.400000000000006,-1.0317460317460319,90.58333333333333,Wednesday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,5669,INITIAL_SL,sl 1.09737,1.09737,ORDER_ACCEPTED,1.09669,1.09954,1.09619,0.00048,0.1
VRAS-008-R015-P6388,6388,2022.07.27 10:30:00,2022.07.27 12:30:00,2022.07.27 07:30:00,2022.07.27 09:30:00,3,-1,SELL,1.01421,1.01541,1.01241,1.01451,0.4,48.0,12.0,-13.6,-0.2833333333333333,120.0,Wednesday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,6389,TIME_EXIT,VRAS HYP006 time exit,,ORDER_ACCEPTED,1.01313,1.01776,1.01427,0.00068,0.1
VRAS-008-R016-P5108,5108,2021.11.25 08:30:00,2021.11.25 09:04:35,2021.11.25 06:30:00,2021.11.25 07:04:35,2,-1,SELL,1.12133,1.12177,1.12067,1.12178,1.1,48.4,4.4,-53.9,-1.1136363636363635,34.583333333333336,Thursday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,5109,INITIAL_SL,sl 1.12177,1.12177,ORDER_ACCEPTED,1.12126,1.13089,1.12133,0.00016,0.1
VRAS-008-R017-P5462,5462,2022.02.08 11:30:00,2022.02.08 12:58:41,2022.02.08 09:30:00,2022.02.08 10:58:41,2,1,BUY,1.1408,1.13964,1.14254,1.14254,0.41,47.56,11.6,69.7,1.4655172413793103,88.68333333333334,Tuesday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,5463,TARGET,tp 1.14254,1.14254,ORDER_ACCEPTED,1.1405,1.13495,1.14066,0.00048,0.3
VRAS-008-R018-P3600,3600,2021.01.27 03:25:00,2021.01.27 04:02:25,2021.01.27 01:25:00,2021.01.27 02:02:25,2,1,BUY,1.21649,1.2158,1.21753,1.2158,0.71,48.99,6.9,-51.83,-1.0579710144927534,37.416666666666664,Wednesday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,3601,INITIAL_SL,sl 1.21580,1.2158,ORDER_ACCEPTED,1.21623,1.21497,1.21629,0.00026,0.1
VRAS-008-R019-P5240,5240,2021.12.24 20:40:00,2021.12.27 00:05:00,2021.12.24 18:40:00,2021.12.26 22:05:00,2,1,BUY,1.13164,1.13068,1.13308,1.13068,0.5,48.0,9.600000000000001,-64.85,-1.3510416666666665,3085.0,Friday,OffHours,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,5241,INITIAL_SL,sl 1.13068,1.13068,ORDER_ACCEPTED,1.13149,1.13028,1.13157,0.00035,0.7
VRAS-008-R020-P976,976,2019.08.06 10:15:00,2019.08.06 12:09:43,2019.08.06 07:15:00,2019.08.06 09:09:43,3,1,BUY,1.12117,1.11964,1.12347,1.11963,0.32,48.96,15.3,-50.56,-1.0326797385620916,114.71666666666667,Tuesday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,977,INITIAL_SL,sl 1.11964,1.11964,ORDER_ACCEPTED,1.12039,1.11427,1.12047,0.00057,0.3
VRAS-008-R021-P4608,4608,2021.08.18 10:00:00,2021.08.18 10:18:35,2021.08.18 07:00:00,2021.08.18 07:18:35,3,-1,SELL,1.1717,1.17249,1.17052,1.17249,0.61,48.19,7.8999999999999995,-50.629999999999995,-1.0506329113924051,18.583333333333332,Wednesday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,4609,INITIAL_SL,sl 1.17249,1.17249,ORDER_ACCEPTED,1.17169,1.17635,1.17176,0.00028,0.1
VRAS-008-R022-P5250,5250,2021.12.27 14:50:00,2021.12.27 16:41:38,2021.12.27 12:50:00,2021.12.27 14:41:38,2,1,BUY,1.13131,1.1302,1.13298,1.13298,0.43,47.73,11.1,70.09,1.4684684684684686,111.63333333333334,Monday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,5251,TARGET,tp 1.13298,1.13298,ORDER_ACCEPTED,1.13148,1.13049,1.13123,0.0004,0.1
VRAS-008-R023-P3038,3038,2020.10.15 14:10:00,2020.10.15 15:09:19,2020.10.15 11:10:00,2020.10.15 12:09:19,3,-1,SELL,1.17148,1.17266,1.16971,1.16971,0.41,48.38,11.8,70.92999999999999,1.466101694915254,59.31666666666667,Thursday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,3039,TARGET,tp 1.16971,1.16971,ORDER_ACCEPTED,1.17177,1.17616,1.17189,0.00043,0.3
VRAS-008-R024-P3438,3438,2020.12.28 02:30:00,2020.12.28 02:50:29,2020.12.28 00:30:00,2020.12.28 00:50:29,2,1,BUY,1.21912,1.21823,1.22046,1.21823,0.55,48.95,8.9,-51.150000000000006,-1.0449438202247192,20.483333333333334,Monday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,3439,INITIAL_SL,sl 1.21823,1.21823,ORDER_ACCEPTED,1.22039,1.21866,1.21906,0.0005,0.1
VRAS-008-R025-P5068,5068,2021.11.17 17:10:00,2021.11.17 18:01:36,2021.11.17 15:10:00,2021.11.17 16:01:36,2,-1,SELL,1.13097,1.13226,1.12904,1.13092,0.37,47.73,12.9,0.3700000000000001,0.0077519379844961265,51.6,Wednesday,NewYork,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,5069,MOVED_SL,sl 1.13092,1.13092,ORDER_ACCEPTED,1.13181,1.14506,1.13147,0.00061,0.1
VRAS-008-R026-P6632,6632,2022.09.09 19:55:00,2022.09.09 21:55:00,2022.09.09 16:55:00,2022.09.09 18:55:00,3,1,BUY,1.00497,1.00355,1.0071,1.00392,0.33,46.86,14.2,-35.97,-0.7676056338028169,120.0,Friday,NewYork,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,6633,TIME_EXIT,VRAS HYP006 time exit,,ORDER_ACCEPTED,1.00452,0.99845,1.00454,0.00056,0.1
