case_id,case_kind,hypothesis_id,run_id,side,direction,stratum,anomaly_tag,image,image_sha256,position_id,entry_time_server,entry,sl,tp,exit_time_server,exit,net_usd,net_R,hold_minutes,decision_bar_server,decision_bar_utc,failed_gates,active_gates,normalized_distance,near_miss_rank,offline_full_signal_unexecuted,trade_fields_forbidden,telemetry_planned_stop,telemetry_planned_target
007-E001-P10,EXECUTED,HYP-MZMS-XAU-M5-007,20260722_015121,SELL,-1,ANOMALY:TIME_EXIT_LIKE,TIME_EXIT_LIKE,007-E001-P10_forensics.png,B2C65E13FCA4DD38FFC915723454CDAAC543433F8BED563E9CEB76125B22DFFF,10,2018.01.31 18:00:00,1342.45,1345.0900000000001,1338.226,2018.01.31 19:15:00,1341.2,3.67,0.36702018611023607,75.0,2018.01.31 18:00:00,2018.01.31 16:00:00,,,,,,False,1345.09,1338.23
007-E002-P36,EXECUTED,HYP-MZMS-XAU-M5-007,20260722_015121,BUY,1,FILL:LOSER,TIME_EXIT_LIKE,007-E002-P36_forensics.png,791AF4181402B2CC0EAD5C51DAAAA0CD1BB136FF1058219CFB094501B633D02F,36,2018.02.13 10:30:00,1329.34,1326.52,1333.8519999999999,2018.02.13 11:45:00,1328.37,-2.99,-0.29895168940699185,75.0,2018.02.13 10:30:00,2018.02.13 08:30:00,,,,,,False,1326.52,1333.85
007-E003-P158,EXECUTED,HYP-MZMS-XAU-M5-007,20260722_015121,BUY,1,LOSER,TIME_EXIT_LIKE,007-E003-P158_forensics.png,52984327A9C161254DAECEFA9225A406D12E28104DCDC1089AF52A85D98582EE,158,2018.04.02 17:25:00,1336.68,1332.8700000000001,1342.776,2018.04.02 18:40:00,1336.05,-1.32,-0.13186012278175313,75.0,2018.04.02 17:25:00,2018.04.02 14:25:00,,,,,,False,1332.87,1342.78
007-E004-P220,EXECUTED,HYP-MZMS-XAU-M5-007,20260722_015121,BUY,1,FILL:WINNER,TIME_EXIT_LIKE,007-E004-P220_forensics.png,6238E47B6A5F13432D94F4B24FE038DCD66821B398E4D9919CEE0BA14000B8CC,220,2018.04.24 16:55:00,1327.52,1325.08,1331.424,2018.04.24 18:10:00,1328.1,2.22,0.22181066241855954,75.0,2018.04.24 16:55:00,2018.04.24 13:55:00,,,,,,False,1325.08,1331.42
007-E005-P246,EXECUTED,HYP-MZMS-XAU-M5-007,20260722_015121,SELL,-1,FILL:WINNER,NEAR_FULL_TARGET,007-E005-P246_forensics.png,994BAF13C983DC39E81AFD92554D37920A5EEE6D34E5B28AA3C58784DC204E55,246,2018.05.08 11:30:00,1312.29,1314.53,1308.706,2018.05.08 12:00:40,1308.71,14.219999999999999,1.4212157731363833,30.666666666666668,2018.05.08 11:30:00,2018.05.08 08:30:00,,,,,,False,1314.53,1308.71
007-E006-P368,EXECUTED,HYP-MZMS-XAU-M5-007,20260722_015121,BUY,1,WINNER,TIME_EXIT_LIKE,007-E006-P368_forensics.png,2C2918B2F14C659735EB75B3ADB77A916BD6E018D9C475FCF178C8F6BB3ACD14,368,2018.06.21 17:40:00,1267.23,1264.98,1270.83,2018.06.21 18:55:00,1267.55,1.18,0.11791936673702522,75.0,2018.06.21 17:40:00,2018.06.21 14:40:00,,,,,,False,1264.98,1270.83
007-E007-P370,EXECUTED,HYP-MZMS-XAU-M5-007,20260722_015121,BUY,1,ANOMALY:TIME_EXIT_LIKE,TIME_EXIT_LIKE,007-E007-P370_forensics.png,F137E6E29DD5CEC1C74AC1B051C5821FA182BF56D70D9E7C95F024E6D8F90DBC,370,2018.06.22 17:40:00,1270.83,1268.23,1274.99,2018.06.22 18:52:39,1268.23,-7.88,-0.7874522482161408,72.65,2018.06.22 17:40:00,2018.06.22 14:40:00,,,,,,False,1268.23,1274.99
007-E008-P494,EXECUTED,HYP-MZMS-XAU-M5-007,20260722_015121,SELL,-1,WINNER,TIME_EXIT_LIKE,007-E008-P494_forensics.png,9BB8A87036C96A9062EB4B8AFF581F7C701186C6AFED6181F8F9A5739B4F58F2,494,2018.08.16 19:45:00,1176.82,1180.1599999999999,1171.4759999999999,2018.08.16 21:00:00,1175.64,2.32,0.23210395936339884,75.0,2018.08.16 19:45:00,2018.08.16 16:45:00,,,,,,False,1180.16,1171.48
007-E009-P530,EXECUTED,HYP-MZMS-XAU-M5-007,20260722_015121,BUY,1,LOSER,TIME_EXIT_LIKE,007-E009-P530_forensics.png,85F5F1C66F20C187AB946484BAEFA6337A8FF692A6AC9E75C7C80AD7C3CFE9DB,530,2018.08.27 15:00:00,1206.18,1203.6100000000001,1210.2920000000001,2018.08.27 16:15:00,1205.71,-1.49,-0.1490643958189938,75.0,2018.08.27 15:00:00,2018.08.27 12:00:00,,,,,,False,1203.61,1210.29
007-E010-P538,EXECUTED,HYP-MZMS-XAU-M5-007,20260722_015121,SELL,-1,ANOMALY:TIME_EXIT_LIKE,TIME_EXIT_LIKE,007-E010-P538_forensics.png,8A2D88A0265D8F64CF9F0934FADCB4A893025F660222BEB0909C7CF4C892B723,538,2018.08.28 17:15:00,1210.3,1213.84,1204.636,2018.08.28 18:30:00,1209.4,1.76,0.17607757978165178,75.0,2018.08.28 17:15:00,2018.08.28 14:15:00,,,,,,False,1213.84,1204.64
