sample_id,reference_timestamp,future_timestamp,symbol,side,reference_side,reference_price,future_quote_price,pip_size,latency_ms,actual_delay_ms
Q000018-BUY,2026-07-14T13:46:58.006,2026-07-14T13:46:59.045,XAUUSD,BUY,ask,4020.46000000,4020.48000000,0.01000000,1000,1039
Q000018-SELL,2026-07-14T13:46:58.006,2026-07-14T13:46:59.045,XAUUSD,SELL,bid,4019.96000000,4019.97000000,0.01000000,1000,1039
Q000019-BUY,2026-07-14T13:46:59.045,2026-07-14T13:47:00.045,XAUUSD,BUY,ask,4020.48000000,4019.99000000,0.01000000,1000,1000
Q000019-SELL,2026-07-14T13:46:59.045,2026-07-14T13:47:00.045,XAUUSD,SELL,bid,4019.97000000,4019.51000000,0.01000000,1000,1000
Q000020-BUY,2026-07-14T13:47:00.045,2026-07-14T13:47:01.056,XAUUSD,BUY,ask,4019.99000000,4020.67000000,0.01000000,1000,1011
Q000020-SELL,2026-07-14T13:47:00.045,2026-07-14T13:47:01.056,XAUUSD,SELL,bid,4019.51000000,4020.15000000,0.01000000,1000,1011
Q000021-BUY,2026-07-14T13:47:01.056,2026-07-14T13:47:02.079,XAUUSD,BUY,ask,4020.67000000,4020.65000000,0.01000000,1000,1023
Q000021-SELL,2026-07-14T13:47:01.056,2026-07-14T13:47:02.079,XAUUSD,SELL,bid,4020.15000000,4020.11000000,0.01000000,1000,1023
Q000022-BUY,2026-07-14T13:47:02.079,2026-07-14T13:47:03.098,XAUUSD,BUY,ask,4020.65000000,4020.66000000,0.01000000,1000,1019
Q000022-SELL,2026-07-14T13:47:02.079,2026-07-14T13:47:03.098,XAUUSD,SELL,bid,4020.11000000,4020.19000000,0.01000000,1000,1019
Q000023-BUY,2026-07-14T13:47:03.098,2026-07-14T13:47:04.156,XAUUSD,BUY,ask,4020.66000000,4020.62000000,0.01000000,1000,1058
Q000023-SELL,2026-07-14T13:47:03.098,2026-07-14T13:47:04.156,XAUUSD,SELL,bid,4020.19000000,4020.16000000,0.01000000,1000,1058
Q000024-BUY,2026-07-14T13:47:04.156,2026-07-14T13:47:05.158,XAUUSD,BUY,ask,4020.62000000,4021.14000000,0.01000000,1000,1002
Q000024-SELL,2026-07-14T13:47:04.156,2026-07-14T13:47:05.158,XAUUSD,SELL,bid,4020.16000000,4020.61000000,0.01000000,1000,1002
Q000025-BUY,2026-07-14T13:47:05.158,2026-07-14T13:47:06.240,XAUUSD,BUY,ask,4021.14000000,4021.01000000,0.01000000,1000,1082
Q000025-SELL,2026-07-14T13:47:05.158,2026-07-14T13:47:06.240,XAUUSD,SELL,bid,4020.61000000,4020.55000000,0.01000000,1000,1082
Q000026-BUY,2026-07-14T13:47:06.240,2026-07-14T13:47:07.248,XAUUSD,BUY,ask,4021.01000000,4020.90000000,0.01000000,1000,1008
Q000026-SELL,2026-07-14T13:47:06.240,2026-07-14T13:47:07.248,XAUUSD,SELL,bid,4020.55000000,4020.46000000,0.01000000,1000,1008
Q000027-BUY,2026-07-14T13:47:07.248,2026-07-14T13:47:08.262,XAUUSD,BUY,ask,4020.90000000,4020.49000000,0.01000000,1000,1014
Q000027-SELL,2026-07-14T13:47:07.248,2026-07-14T13:47:08.262,XAUUSD,SELL,bid,4020.46000000,4020.05000000,0.01000000,1000,1014
Q000028-BUY,2026-07-14T13:47:08.262,2026-07-14T13:47:09.279,XAUUSD,BUY,ask,4020.49000000,4020.44000000,0.01000000,1000,1017
Q000028-SELL,2026-07-14T13:47:08.262,2026-07-14T13:47:09.279,XAUUSD,SELL,bid,4020.05000000,4019.98000000,0.01000000,1000,1017
Q000029-BUY,2026-07-14T13:47:09.279,2026-07-14T13:47:10.461,XAUUSD,BUY,ask,4020.44000000,4020.89000000,0.01000000,1000,1182
Q000029-SELL,2026-07-14T13:47:09.279,2026-07-14T13:47:10.461,XAUUSD,SELL,bid,4019.98000000,4020.44000000,0.01000000,1000,1182
Q000030-BUY,2026-07-14T13:47:10.461,2026-07-14T13:47:11.465,XAUUSD,BUY,ask,4020.89000000,4020.93000000,0.01000000,1000,1004
Q000030-SELL,2026-07-14T13:47:10.461,2026-07-14T13:47:11.465,XAUUSD,SELL,bid,4020.44000000,4020.42000000,0.01000000,1000,1004
Q000031-BUY,2026-07-14T13:47:11.465,2026-07-14T13:47:12.563,XAUUSD,BUY,ask,4020.93000000,4020.50000000,0.01000000,1000,1098
Q000031-SELL,2026-07-14T13:47:11.465,2026-07-14T13:47:12.563,XAUUSD,SELL,bid,4020.42000000,4020.04000000,0.01000000,1000,1098
