observation_date,IRSTCI01CHM156N
1972-01-01,0.00000000000000000
1972-02-01,0.00000000000000000
1972-03-01,0.03676500000000000
1972-04-01,0.33482099999999998
1972-05-01,0.82499999999999996
1972-06-01,1.43750000000000000
1972-07-01,0.83620699999999992
1972-08-01,0.04924200000000000
1972-09-01,0.39655200000000002
1972-10-01,1.50832999999999995
1972-11-01,2.32421999999999995
1972-12-01,3.26612999999999998
1973-01-01,3.89224000000000014
1973-02-01,3.37500000000000000
1973-03-01,1.25781000000000009
1973-04-01,1.54167000000000010
1973-05-01,0.44921899999999998
1973-06-01,1.06465999999999994
1973-07-01,1.99194000000000004
1973-08-01,1.71875000000000000
1973-09-01,3.03570999999999991
1973-10-01,2.54838999999999993
1973-11-01,6.63281000000000098
1973-12-01,3.78225999999999996
1974-01-01,8.04838999999999949
1974-02-01,4.97320999999999991
1974-03-01,5.50861999999999963
1974-04-01,6.66128999999999927
1974-05-01,4.63635999999999981
1974-06-01,9.75000000000000000
1974-07-01,7.83087999999999962
1974-08-01,6.87068999999999974
1974-09-01,4.51724000000000014
1974-10-01,2.42439000000000027
1974-11-01,4.16379000000000055
1974-12-01,4.85294000000000025
1975-01-01,2.69397000000000020
1975-02-01,1.07143000000000010
1975-03-01,1.16379000000000010
1975-04-01,2.95454999999999979
1975-05-01,2.91379000000000010
1975-06-01,0.57758599999999993
1975-07-01,3.29411999999999949
1975-08-01,0.97767899999999996
1975-09-01,1.58749999999999991
1975-10-01,0.89015200000000005
1975-11-01,0.81250000000000000
1975-12-01,1.03570999999999991
1976-01-01,0.50892899999999996
1976-02-01,0.78571400000000002
1976-03-01,0.97983900000000002
1976-04-01,0.45703100000000002
1976-05-01,0.62931000000000004
1976-06-01,0.36666700000000002
1976-07-01,1.12891000000000008
1976-08-01,0.74583299999999997
1976-09-01,0.63671899999999992
1976-10-01,1.58190000000000008
1976-11-01,0.94166700000000003
1976-12-01,0.36363600000000001
1977-01-01,0.75000000000000000
1977-02-01,2.29017999999999988
1977-03-01,1.82576000000000005
1977-04-01,2.98707000000000011
1977-05-01,3.02083000000000013
1977-06-01,2.35546999999999995
1977-07-01,1.77916999999999992
1977-08-01,0.92500000000000004
1977-09-01,1.48047000000000017
1977-10-01,0.96982800000000002
1977-11-01,1.57708000000000004
1977-12-01,0.58333299999999999
1978-01-01,0.00862100000000000
1978-02-01,0.00000000000000000
1978-03-01,0.43181799999999998
1978-04-01,0.02586200000000000
1978-05-01,0.78125000000000000
1978-06-01,0.86914099999999994
1978-07-01,1.77916999999999992
1978-08-01,0.41210900000000000
1978-09-01,0.22413800000000000
1978-10-01,-0.26250000000000001
1978-11-01,-0.09375000000000000
1978-12-01,-0.15524199999999999
1979-01-01,-0.20366400000000001
1979-02-01,-0.28794599999999998
1979-03-01,0.00195300000000000
1979-04-01,0.87916700000000003
1979-05-01,1.02082999999999990
1979-06-01,0.90625000000000000
1979-07-01,0.73387100000000005
1979-08-01,0.75195299999999998
1979-09-01,1.20535999999999999
1979-10-01,1.24093000000000009
1979-11-01,1.43358999999999992
1979-12-01,7.38710000000000022
1980-01-01,2.23185000000000011
1980-02-01,0.96982800000000002
1980-03-01,3.32974000000000014
1980-04-01,4.66856000000000027
1980-05-01,3.29525999999999986
1980-06-01,3.44180999999999981
1980-07-01,4.04227999999999987
1980-08-01,6.16070999999999991
1980-09-01,1.40625000000000000
1980-10-01,1.63447000000000009
1980-11-01,3.91740999999999984
1980-12-01,0.98750000000000004
1981-01-01,3.73884000000000016
1981-02-01,4.52454999999999963
1981-03-01,5.04958000000000062
1981-04-01,8.29545000000000066
1981-05-01,5.14508999999999972
1981-06-01,6.87500000000000000
1981-07-01,4.21780000000000044
1981-08-01,5.08190000000000008
1981-09-01,9.57916999999999952
1981-10-01,8.49804999999999922
1981-11-01,8.21767000000000003
1981-12-01,5.85109999999999975
1982-01-01,6.59821000000000080
1982-02-01,5.02008999999999972
1982-03-01,3.54234000000000027
1982-04-01,3.19531000000000009
1982-05-01,2.01724000000000014
1982-06-01,2.62500000000000000
1982-07-01,2.02930000000000010
1982-08-01,2.14792000000000005
1982-09-01,2.62305000000000010
1982-10-01,2.28017000000000003
1982-11-01,2.06250000000000000
1982-12-01,1.04356000000000004
1983-01-01,1.56465999999999994
1983-02-01,3.08929000000000009
1983-03-01,4.10179000000000027
1983-04-01,4.37730999999999959
1983-05-01,5.13750000000000018
1983-06-01,4.34375000000000000
1983-07-01,4.09999999999999964
1983-08-01,2.90625000000000000
1983-09-01,3.00586000000000020
1983-10-01,2.26724000000000014
1983-11-01,2.26476999999999995
1983-12-01,2.46023000000000014
1984-01-01,2.14870999999999990
1984-02-01,3.03663999999999978
1984-03-01,3.05663999999999980
1984-04-01,2.31666999999999978
1984-05-01,2.75000000000000000
1984-06-01,3.83836000000000022
